lane,representation_source,candidate_id,candidate_partition_sha256,ari,nmi,ami,fmi,homogeneity,v_measure,n_total,n_eval,observed_k_full,min_cluster_size_full,cluster_sizes_full,min_cluster_size_eval,cluster_sizes_eval,neighbor_agreement,moran_indicator_macro,geary_indicator_macro,label_access,evidence_board
A1_K10,NIGHT21B_SPARSE_PORT_STABLE700,GEOM_KMEANS_RAW,6d293d43bcf4c00afc3c2417c4494f5a2c50746cd690b96313ae7dcb8b8dcf94,0.18017530504933457,0.330330330180586,0.32592387000550915,0.3391569464503376,0.3616644382872135,0.33033033018058594,3484,3484,10,60,60|60|142|164|207|267|421|625|691|847,60,60|60|142|164|207|267|421|625|691|847,0.6470422137512354,0.577826382707151,0.4356010502472548,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
A1_K10,NIGHT21B_SPARSE_PORT_STABLE700,GEOM_GMM_FULL,114a75dcd4bf3c8cd41d7293aeb43a101d501e2bbd7712b5d19a7a369732110f,0.21159192098591517,0.34842419760563464,0.3441445856046057,0.36538446459074675,0.3814145825343931,0.34842419760563464,3484,3484,10,43,43|70|136|159|223|321|442|572|582|936,43,43|70|136|159|223|321|442|572|582|936,0.6087815897218692,0.5373056575052277,0.4773200810966521,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
A1_K10,NIGHT21B_SPARSE_PORT_STABLE700,GEOM_FEATURE_NCUT_K12,b2a9dbe18201ce746a6e36968b1828f286638e921dee71138c6c43ff403b645a,0.13737710712823858,0.2995347700265349,0.29516055791795903,0.28425950390947935,0.3482435808348492,0.29953477002653495,3484,3484,10,157,157|201|218|318|336|346|383|472|514|539,157,157|201|218|318|336|346|383|472|514|539,0.6439361852322463,0.6031748982399375,0.3963409001242407,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
A1_K10,NIGHT21B_SPARSE_PORT_STABLE700,GEOM_FEATURE_NCUT_K24,c7f2a130f24bbbc5da2106b452c61a61786968de95bbe5d4abd1ff5260887aa9,0.15390577317670404,0.3115810006680847,0.3073079581817077,0.29738446710206035,0.3644847485005657,0.31158100066808464,3484,3484,10,162,162|204|313|314|357|376|417|425|438|478,162,162|204|313|314|357|376|417|425|438|478,0.6495835098122265,0.6179932147143676,0.381671382618526,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
A1_K10,NIGHT21B_SPARSE_PORT_STABLE700,GEOM_JOINT_NCUT_S025,55d1f7b74f7ecdf090c3766e6524a9f46cdfaf5c150cf9ef5775230dfeaea943,0.1670855800771875,0.33170474281181334,0.3275115177426966,0.312585476917453,0.38381845619708516,0.33170474281181334,3484,3484,10,167,167|197|207|290|290|308|379|504|530|612,167,167|197|207|290|290|308|379|504|530|612,0.7375405901454186,0.7054958567852492,0.297208669319938,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
A1_K10,NIGHT21B_SPARSE_PORT_STABLE700,GEOM_JOINT_NCUT_S100,7e8e7d9f15a4a9c147422dae92d41c5cacf044798d153c977303b57b940c33b6,0.1525638914862215,0.3142615339555702,0.30994368192503846,0.30049488573616134,0.36228620364018016,0.31426153395557027,3484,3484,10,149,149|176|193|258|271|392|403|479|552|611,149,149|176|193|258|271|392|403|479|552|611,0.8473810532260342,0.8313393064576295,0.17193507006243414,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
A1_K10,NIGHT21B_SPARSE_PORT_STABLE700,GEOM_DENSITY_CORRECTED_NCUT,229bf7780026d8373d1f28e24c1299344ec018a87ba0164bd22941bb13640820,0.16085540322496195,0.3217033560957412,0.3174883669329741,0.30416194451353373,0.37591070685107747,0.32170335609574113,3484,3484,10,167,167|210|314|324|331|350|357|427|468|536,167,167|210|314|324|331|350|357|427|468|536,0.6526895383312156,0.6155778138265785,0.38396607525408044,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
A1_K10,NIGHT21B_SPARSE_PORT_STABLE700,GEOM_DIFFUSION_T2,6178483a2930e06061c4f33b24fbfb6f29f7b363cc9506871610ff86cbd82d06,0.11120758008208406,0.26329987350184725,0.2583554360569139,0.2939084849938032,0.2829508891669129,0.26329987350184725,3484,3484,10,47,47|107|124|204|209|212|225|457|864|1035,47,47|107|124|204|209|212|225|457|864|1035,0.8029083721586898,0.7794942127173485,0.22850522114544516,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
A1_K10,NIGHT21B_SPARSE_PORT_STABLE700,GEOM_SPATIAL_NCUT,2bbe5adadbbef2f8847105218881d4c7ee8b10970856bd4a8a966376919c7217,0.07154483254307781,0.15508556473162186,0.14988869598519491,0.21836822893524596,0.18313212386398664,0.15508556473162188,3484,3484,10,294,294|319|321|325|329|346|365|377|388|420,294,294|319|321|325|329|346|365|377|388|420,0.9551037695891571,0.9510369741462474,0.0494801751566686,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
A1_K10,NIGHT21B_SPARSE_PORT_STABLE700,GEOM_LEIDEN_FEATURE,e507f764ca1c398f470d9c4ee8ff500f41f7aa674fe589572f8817ce035c9539,0.1953496470431359,0.34724169346276396,0.34314418664689555,0.3379360623303334,0.40163008495394226,0.34724169346276396,3484,3484,10,177,177|188|218|261|292|298|416|456|585|593,177,177|188|218|261|292|298|416|456|585|593,0.672878723704645,0.6288301761219939,0.37234813707624337,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
