lane,profile,candidate,ari,nmi,selection_semantics
A1_K10,STAGE_A_GEOMETRY_CEILING_MAX_ARI,GEOM_FEATURE_NCUT_K24,0.26806593463595035,0.39594080155513667,label-assisted post-lock geometry ceiling
A1_K10,JUNCTION_PUBLIC_BENCHMARK_MAX_ARI,J02_BALANCED__SHARED_GRAPH_ONLY__S0,0.27249285560407577,0.40788757072743004,transparent label-assisted post-lock HPO
A1_K10,JUNCTION_PUBLIC_BENCHMARK_MAX_NMI,J02_BALANCED__SHARED_GRAPH_ONLY__S0,0.27249285560407577,0.40788757072743004,transparent label-assisted post-lock HPO
A1_K10,HISTORICAL_TRUSTED_FRONTIER,Night16E balanced label-assisted frontier,0.276171767,0.421937362,cross-revision context; not a Night-22A producer output
P22_K9,STAGE_A_GEOMETRY_CEILING_MAX_ARI,GEOM_LEIDEN_FEATURE,0.5034009988382184,0.641908045066574,label-assisted post-lock geometry ceiling
P22_K9,JUNCTION_PUBLIC_BENCHMARK_MAX_ARI,J01_GRAPH_LEAN__FULL__S0,0.5044962321840883,0.6432141811596417,transparent label-assisted post-lock HPO
P22_K9,JUNCTION_PUBLIC_BENCHMARK_MAX_NMI,J01_GRAPH_LEAN__FULL__S0,0.5044962321840883,0.6432141811596417,transparent label-assisted post-lock HPO
P22_K9,HISTORICAL_TRUSTED_FRONTIER,Night16H strict-LOSO reference,0.596390056,0.718243175,cross-revision context; not a Night-22A producer output
PLACENTA_K10,STAGE_A_GEOMETRY_CEILING_MAX_ARI,GEOM_LEIDEN_FEATURE,0.5351464387496713,0.5920843173869431,label-assisted post-lock geometry ceiling
PLACENTA_K10,JUNCTION_PUBLIC_BENCHMARK_MAX_ARI,J03_EMISSION_LEAN__FULL__S0,0.5510007924725191,0.625390581256051,transparent label-assisted post-lock HPO
PLACENTA_K10,JUNCTION_PUBLIC_BENCHMARK_MAX_NMI,J01_GRAPH_LEAN__FULL__S0,0.5499475674157077,0.630558755886357,transparent label-assisted post-lock HPO
PLACENTA_K10,HISTORICAL_TRUSTED_FRONTIER,Night19B concatenated-feature control frontier,0.499999398,0.631180143,cross-revision context; not a Night-22A producer output
TONSIL_S1_K4,STAGE_A_GEOMETRY_CEILING_MAX_ARI,GEOM_FEATURE_NCUT_K12,0.1943900653060564,0.2595074094203575,label-assisted post-lock geometry ceiling
TONSIL_S1_K4,JUNCTION_PUBLIC_BENCHMARK_MAX_ARI,J02_BALANCED__ADDITIVE_SHARED__S0,0.2064385780746516,0.26945381336861407,transparent label-assisted post-lock HPO
TONSIL_S1_K4,JUNCTION_PUBLIC_BENCHMARK_MAX_NMI,J01_GRAPH_LEAN__ADDITIVE_SHARED__S0,0.1759287983431081,0.28341772039534835,transparent label-assisted post-lock HPO
TONSIL_S1_K4,HISTORICAL_TRUSTED_FRONTIER,Night16C family-frozen reference,0.236682867,0.317365241,cross-revision context; not a Night-22A producer output
