round,bank,status,candidate_count
junction_replays,HUMAN_HIPPOCAMPUS_K7__GEOM_FEATURE_NCUT_K24,PASS,5
junction_replays,HUMAN_HIPPOCAMPUS_K7__GEOM_LEIDEN_FEATURE,PASS,5
junction_replays,HUMAN_HIPPOCAMPUS_K7__NIGHT16H_FROZEN_SELECTOR,PASS,5
junction_replays,MELANOMA_TUMOR_K2__GEOM_FEATURE_NCUT_K24,PASS,5
junction_replays,MELANOMA_TUMOR_K2__GEOM_LEIDEN_FEATURE,PASS,5
junction_replays,MELANOMA_TUMOR_K2__NIGHT16H_FROZEN_SELECTOR,PASS,5
junction_replays,MISAR_K7__GEOM_FEATURE_NCUT_K24,PASS,5
junction_replays,MISAR_K7__NIGHT16H_FROZEN_SELECTOR,PASS,5
junction_replays_round2,HUMAN_HIPPOCAMPUS_K7__GEOM_FEATURE_NCUT_K24,PASS,5
junction_replays_round2,HUMAN_HIPPOCAMPUS_K7__GEOM_LEIDEN_FEATURE,PASS,5
junction_replays_round2,HUMAN_HIPPOCAMPUS_K7__NIGHT16H_FROZEN_SELECTOR,PASS,5
junction_replays_round2,MELANOMA_TUMOR_K2__GEOM_FEATURE_NCUT_K24,PASS,5
junction_replays_round2,MELANOMA_TUMOR_K2__GEOM_LEIDEN_FEATURE,PASS,5
junction_replays_round2,MELANOMA_TUMOR_K2__NIGHT16H_FROZEN_SELECTOR,PASS,5
junction_replays_round2,MISAR_K7__GEOM_FEATURE_NCUT_K24,PASS,5
junction_replays_round2,MISAR_K7__NIGHT16H_FROZEN_SELECTOR,PASS,5
