lane,candidate_id,partition_sha256,ari,nmi,ami,fmi,homogeneity,v_measure,morans_i_macro,gearys_c_macro,neighbor_agreement,n_total,n_eval,k,cluster_sizes_full,cluster_sizes_eval,min_cluster_size_full,min_cluster_size_eval
MISAR_K7,RAW_EQUAL_UNION,20715f384a14841f6a7f2930d119253b124c7f33a2257a607018fc005db8216a,0.20858903947305688,0.4380819956982597,0.4346903237150385,0.4147098297501859,0.4118891882136506,0.4380819956982596,0.8162519688665864,0.18158615031709305,0.8717717416934384,1949,1949,7,"[183, 933, 465, 126, 102, 71, 69]","[183, 933, 465, 126, 102, 71, 69]",69,69
MISAR_K7,ARISE_LIKE_INTERSECTION,d9688fe62ee58513fb7535249e9014251b7b4dea8b821e5ea0d10c372ea2b837,0.19229683573573123,0.34566601533350805,0.3421682000203972,0.34984433261790504,0.3610999082314192,0.34566601533350805,0.8778155509941401,0.12967369998278916,0.882212421922723,1949,1949,7,"[513, 193, 406, 224, 96, 253, 264]","[513, 193, 406, 224, 96, 253, 264]",96,96
MISAR_K7,SPATIAL_ONLY,f4757f608db86ab864cfcd76de969160c8c3a230f29af1d279c4bf225b63c3da,0.2298225646462342,0.41395029909070363,0.410815925462283,0.37995621081399916,0.43236888657783806,0.41395029909070363,0.9618945654297981,0.04728755321830883,0.9594400454327536,1949,1949,7,"[499, 95, 351, 349, 180, 292, 183]","[499, 95, 351, 349, 180, 292, 183]",95,95
MISAR_K7,RETAINED_ONLY,2bfc2276a6da178e51dc19ddb0e03db1f7ba7965f9bfc7c69f0b9d1f3c57a3bf,0.43459645282691056,0.5587746515378754,0.5564362349699481,0.5452196448190078,0.5883545997054422,0.5587746515378755,0.9162969231445809,0.09021079983944576,0.9218368915229532,1949,1949,7,"[380, 257, 323, 429, 100, 281, 179]","[380, 257, 323, 429, 100, 281, 179]",100,100
MISAR_K7,VIEW1_ONLY,e53c3f9735f90c0b9e068d1d103b0b23f4caf08f4155668ae2c382a9c470b9bf,0.0568959352711413,0.17883578687448576,0.1737627981974484,0.3081302650733444,0.1650848578394611,0.17883578687448573,0.33500743090749385,0.6712035816795306,0.5578497209962939,1949,1949,7,"[972, 483, 137, 147, 82, 46, 82]","[972, 483, 137, 147, 82, 46, 82]",46,46
MISAR_K7,VIEW2_ONLY,4122792e7cd3ed616d3c634468382077d923b1ab235eb071a7262e43c024b070,-0.021651301036385778,0.18875992883768797,0.18225799368391504,0.3631946117537731,0.13876257369745487,0.18875992883768797,0.6609190416966653,0.3313410001404598,0.8909491831513492,1949,1949,7,"[1583, 110, 93, 49, 21, 59, 34]","[1583, 110, 93, 49, 21, 59, 34]",21,21
MISAR_K7,LOGISTIC_DIRECT,adc7368915a8ddd92294535fa641d3fcfc53bccf35dfb36df1c779202855a28f,0.19372202704794173,0.4271312743991006,0.4238881034918337,0.37266498345579996,0.42470052839829925,0.4271312743991006,0.8896922419753415,0.10758782446803518,0.9242758344422695,1949,1949,7,"[640, 574, 211, 222, 130, 88, 84]","[640, 574, 211, 222, 130, 88, 84]",84,84
MISAR_K7,MLP_NO_CONFIDENCE_ABSTENTION,59c2bb3245f00beb599809a6aece491816df04ee662d22c54e1a202f1c3a27df,0.2879248588116842,0.5095770776472761,0.5069515844446588,0.42901972468839783,0.531237190508717,0.509577077647276,0.9222559574512441,0.07712362830971971,0.9409976279084362,1949,1949,7,"[575, 334, 238, 275, 244, 109, 174]","[575, 334, 238, 275, 244, 109, 174]",109,109
MISAR_K7,SHUFFLED_TEACHER_FULL_TRANSFORM,20715f384a14841f6a7f2930d119253b124c7f33a2257a607018fc005db8216a,0.20858903947305688,0.4380819956982597,0.4346903237150385,0.4147098297501859,0.4118891882136506,0.4380819956982596,0.8162519688665864,0.18158615031709305,0.8717717416934384,1949,1949,7,"[183, 933, 465, 126, 102, 71, 69]","[183, 933, 465, 126, 102, 71, 69]",69,69
MISAR_K7,FULL_XBED,eff51337b79a3db5a25ab381d47b2e8538bb08e7fbf3591ca5c14d513b081904,0.16041416338087552,0.40470566623508425,0.4012678787076974,0.35398672233772693,0.39593714277316916,0.40470566623508425,0.8508561980646677,0.14570439892327075,0.8968961946260322,1949,1949,7,"[75, 692, 108, 77, 586, 224, 187]","[75, 692, 108, 77, 586, 224, 187]",75,75
