lane,role,candidate_id,mode,relation_scale,teacher_recovery_ari,teacher_recovery_nmi,edge_disagreement,observed_k,min_cluster_size,partition_sha256,representation_sha256
P22_K9,PRIMARY,CARRIER_ONLY,CARRIER_ONLY,0.0,0.5885177468607872,0.6728495215176538,0.16847688383642168,9,721,1cf64b77efbc54c1bddb9e4d1f7d07bb1f1c9fe0031a1a529601873a331a330a,18d6ae0893c2c637e8787350a1201d54e8dd41b8e1cbbd353015964cbdf5a700
P22_K9,PRIMARY,ORACLE_BINARY_POSITIVE__S1,ORACLE_BINARY_POSITIVE,1.0,0.8248178742508667,0.8771701821658583,0.03844529653215317,9,379,d4d8be095df43f776bb5ab2f53f15f336705bfba91467447511b122b3d67e1cb,d2f31031e11d2896a71edfb3f4f9fadaa649dead4f4f3fc9ad6f69dff15ff061
P22_K9,PRIMARY,ORACLE_SIGNED_RELATION__S1,ORACLE_SIGNED_RELATION,1.0,0.99102867443471,0.9845515344427792,0.002871573115318998,9,220,2c8fd8e623ef31efeb729d46958c218c069d3d4e785118ce38a52c6af3fb10e3,2466d9366dbadbd41a865dd2a1447cb42b7fb41ffa6537ee6ddeaf75c5334bdf
P22_K9,PRIMARY,ORACLE_BINARY_POSITIVE__S2,ORACLE_BINARY_POSITIVE,2.0,0.424644839404387,0.6862935847082182,0.05305653620715866,9,96,6ee840bb8a6dd7f1dcc45ccd6a855a51b5feddbea0f8ef2c9e31d738438455e6,23e21b1f0e30854af36225106f077f99cefe45582e9a5bd179547cc7479e30da
P22_K9,PRIMARY,ORACLE_SIGNED_RELATION__S2,ORACLE_SIGNED_RELATION,2.0,0.9654644770570312,0.9640659105024072,0.0066890761980371955,9,166,acff4e0ebcd5665e6885a51c0acd03d41e09d8fcac053709a9034f9b3dc73f33,5490236d62254922bf8144beca8d12f60360e2f374c5b1388e1ef9d0c8d9e039
P22_K9,PRIMARY,ORACLE_BINARY_POSITIVE__S4,ORACLE_BINARY_POSITIVE,4.0,0.4241010357434977,0.6859581042331391,0.052904511748112365,9,94,9b32cc35fa600ab76c19054ae98e283baa44dd5aa8b7df01aaabec7948b2d83f,68c419fc8f31e6943f21d45aa5495978e150ec614eb289387bbc9a23cafb5da8
P22_K9,PRIMARY,ORACLE_SIGNED_RELATION__S4,ORACLE_SIGNED_RELATION,4.0,0.958622807700534,0.9573622334396548,0.007753247411361294,9,166,1e3185daff172be7d4fccc5c9586e787ba3edfacd1f446d03237675b1f4fe961,c46fcc26b6f0898475e336d8b6f00eeee075cd72fe6fc69a2494196582053377
P22_K9,PRIMARY,ORACLE_BINARY_POSITIVE__S8,ORACLE_BINARY_POSITIVE,8.0,0.4239922119260079,0.685901501966435,0.05287072853499096,9,93,0293919fd809de089bd21e6af5b97f18da63d97a7d94c2c7bb45217f29831286,1cd6e319b53ac56f15777c8dc69ef8102b5457d1b4abc8e29438c03da5109c57
P22_K9,PRIMARY,ORACLE_SIGNED_RELATION__S8,ORACLE_SIGNED_RELATION,8.0,0.9588819900931975,0.9572855611736257,0.007145149575176095,9,166,8b7b7478ba94d6ea23878baac300a6b85759a50b9275e7213b69baecfa736b35,4e6d1d7a5865ff8aba205f1edb37b65ce437627085c0e5965abf1570bb184ae3
MISAR_K7,PRIMARY,CARRIER_ONLY,CARRIER_ONLY,0.0,0.5540799997609213,0.6808899656621794,0.15578007518796994,7,206,3e11aeaada098914ebb071037b10b2e6578d8a2b2bc78bf070548446751012fb,32f2dad86d545779b03377e505c341c20677d909429db0631c53814bee9cacab
