dataset,ige_weight,loss,seed,weighted_gradient_influence,weighted_gradient_share
a1,3.7201122575773122,L_rna_recon_raw,0,9.698395009897869e-05,0.24999999298824144
a1,0.059334447048579965,L_mod2_recon_raw,0,9.698395375975649e-05,0.2500000024247969
a1,0.047591837884849775,L_corr1_raw,0,9.698395377149909e-05,0.2500000024550664
a1,0.17296145748925784,L_corr2_raw,0,9.698395364612949e-05,0.2500000021318953
a1,3.836675240299387,L_rna_recon_raw,1,6.313309845351493e-05,0.2499999887670842
a1,0.03440470895295876,L_mod2_recon_raw,1,6.313310225578547e-05,0.25000000382364906
a1,0.039151471198288865,L_corr1_raw,1,6.31331022510387e-05,0.2500000038048524
a1,0.08976857954936517,L_corr2_raw,1,6.31331022004216e-05,0.2500000036044143
a1,3.7713945589299014,L_rna_recon_raw,2,8.131586317952147e-05,0.2499999914795393
a1,0.040288099056318395,L_mod2_recon_raw,2,8.131586691062794e-05,0.2500000029505678
a1,0.041646593947866704,L_corr1_raw,2,8.131586690926944e-05,0.2500000029463912
a1,0.14667074806591354,L_corr2_raw,2,8.131586680424529e-05,0.2500000026235017
a1,3.7962584139920663,L_rna_recon_raw,3,6.835524185891559e-05,0.24999998977306562
a1,0.03872605199910763,L_mod2_recon_raw,3,6.835524561644795e-05,0.2500000035157286
a1,0.04124369164488523,L_corr1_raw,3,6.83552456139303e-05,0.25000000350652063
a1,0.12377184236394129,L_corr2_raw,3,6.835524553140215e-05,0.2500000032046852
a1,3.746635371096218,L_rna_recon_raw,4,7.917415924342395e-05,0.24999999132723574
a1,0.06194240362153896,L_mod2_recon_raw,4,7.917416292811689e-05,0.25000000296200664
a1,0.06442415935442664,L_corr1_raw,4,7.917416292563515e-05,0.2500000029541703
a1,0.12699806592781648,L_corr2_raw,4,7.917416286306124e-05,0.2500000027565872
placenta,2.8989536788497805,L_rna_recon_raw,0,0.0001359422213232278,0.2499999965077927
placenta,0.1363309590148261,L_mod2_recon_raw,0,0.00013594222408585052,0.25000000158830166
placenta,0.04930540492191862,L_corr1_raw,0,0.0001359422241728761,0.25000000174834314
placenta,0.9154099572134743,L_corr2_raw,0,0.00013594222330677152,0.25000000015556245
placenta,2.830390158792978,L_rna_recon_raw,1,0.00014498772075500848,0.24999999684388766
placenta,0.10936481000160346,L_mod2_recon_raw,1,0.00014498772347603384,0.25000000153570795
placenta,0.04154560293793182,L_corr1_raw,1,0.00014498772354385305,0.2500000016526475
placenta,1.018699428267487,L_corr2_raw,1,0.0001449877225666992,0.24999999996775685
placenta,2.965124071083257,L_rna_recon_raw,2,0.0001312298450444568,0.24999999625633168
placenta,0.12553492557466311,L_mod2_recon_raw,2,0.00013122984788404592,0.2500000016659035
placenta,0.04236558154037136,L_corr1_raw,2,0.00013122984796721528,0.2500000018243457
placenta,0.8669754218017091,L_corr2_raw,2,0.00013122984714260545,0.25000000025341906
placenta,2.848236470775422,L_rna_recon_raw,3,0.00013862941106286227,0.24999999666694742
placenta,0.1260550635683544,L_mod2_recon_raw,3,0.0001386294137850437,0.2500000015760453
placenta,0.04794400536768886,L_corr1_raw,3,0.00013862941386315477,0.2500000017169084
placenta,0.9777644602885346,L_corr2_raw,3,0.0001386294129333343,0.2500000000400989
placenta,2.963310902449052,L_rna_recon_raw,4,0.0001311220844326548,0.24999999625671201
placenta,0.13234903684805407,L_mod2_recon_raw,4,0.00013112208726361667,0.2500000016542807
placenta,0.04603071674722639,L_corr1_raw,4,0.000131122087349935,0.25000000181885695
placenta,0.8583093439556677,L_corr2_raw,4,0.0001311220865376564,0.2500000002701503
p22,3.5536824992631835,L_rna_recon_raw,0,2.406661623752098e-05,0.24999997347277447
p22,0.11576245504606313,L_mod2_recon_raw,0,2.4066619675441023e-05,0.25000000918531134
p22,0.11748875095417993,L_corr1_raw,0,2.406661967371473e-05,0.25000000916737886
p22,0.2130662947365738,L_corr2_raw,0,2.406661957813718e-05,0.2500000081745353
p22,3.494110662061776,L_rna_recon_raw,1,2.5661864520089282e-05,0.2499999757021706
p22,0.1208497389929057,L_mod2_recon_raw,1,2.5661867893350205e-05,0.25000000856475346
p22,0.1741418976427344,L_corr1_raw,1,2.566186784005805e-05,0.2500000080455769
p22,0.21089770130258345,L_corr2_raw,1,2.5661867803302248e-05,0.2500000076874989
p22,3.501595689860278,L_rna_recon_raw,2,2.543796316425802e-05,0.24999997541474303
p22,0.1325868922326053,L_mod2_recon_raw,2,2.5437966533266824e-05,0.25000000852478854
p22,0.15202931128271654,L_corr1_raw,2,2.54379665138244e-05,0.25000000833371167
p22,0.21378810662440043,L_corr2_raw,2,2.5437966452065607e-05,0.2500000077267568
p22,3.574317922195696,L_rna_recon_raw,3,2.237092804038344e-05,0.24999997123143908
p22,0.11164296459218087,L_mod2_recon_raw,3,2.23709315030584e-05,0.25000000992758253
p22,0.12539367096411932,L_corr1_raw,3,2.2370931489307692e-05,0.25000000977391534
p22,0.1886454422480032,L_corr2_raw,3,2.237093142605592e-05,0.2500000090670631
p22,3.587566067234847,L_rna_recon_raw,4,2.1028681463815363e-05,0.24999996923766057
p22,0.1165407767292429,L_mod2_recon_raw,4,2.1028684934840655e-05,0.25000001050302556
p22,0.13227713909790273,L_corr1_raw,4,2.102868491910429e-05,0.25000001031594343
p22,0.16361601693800804,L_corr2_raw,4,2.102868488776541e-05,0.25000000994337046
