dataset,delta,interpretation,metric,night2c_value,night2c_variant_code,night3af_value,night3af_variant,paired_preprocessing_test,seed
a1,0.0015662129620991339,diagnostic bridge across different preprocessing,ari,0.2332646569236288,V0,0.23483086988572793,C0,False,0
a1,0.001478031305808647,diagnostic bridge across different preprocessing,nmi,0.3667075295326137,V0,0.36818556083842235,C0,False,0
a1,0.0015786452353616642,diagnostic bridge across different preprocessing,spatial_neighbor_agreement,0.5574531190202832,V0,0.5590317642556448,C0,False,0
a1,0.0017736665116333539,diagnostic bridge across different preprocessing,spatial_cluster_moran_mean,0.5029030420987736,V0,0.5046767086104069,C0,False,0
a1,-0.045743630016090386,diagnostic bridge across different preprocessing,ari,0.2248026987879877,V0,0.1790590687718973,C0,False,1
a1,-0.008828147612294113,diagnostic bridge across different preprocessing,nmi,0.361378668412128,V0,0.3525505207998339,C0,False,1
a1,-0.05737338946294179,diagnostic bridge across different preprocessing,spatial_neighbor_agreement,0.5956595228983289,V0,0.5382861334353871,C0,False,1
a1,-0.023818307946871675,diagnostic bridge across different preprocessing,spatial_cluster_moran_mean,0.5251029871994469,V0,0.5012846792525752,C0,False,1
a1,-0.029614509313373172,diagnostic bridge across different preprocessing,ari,0.2570039124003631,V0,0.2273894030869899,C0,False,2
a1,-0.0013825553249817157,diagnostic bridge across different preprocessing,nmi,0.3759525563668314,V0,0.3745700010418497,C0,False,2
a1,-0.039147212654675356,diagnostic bridge across different preprocessing,spatial_neighbor_agreement,0.6328294425309351,V0,0.5936822298762597,C0,False,2
a1,-0.03698515434280891,diagnostic bridge across different preprocessing,spatial_cluster_moran_mean,0.5822527203482489,V0,0.54526756600544,C0,False,2
a1,-0.04758792541559298,diagnostic bridge across different preprocessing,ari,0.2649583339839532,V0,0.2173704085683602,C0,False,3
a1,-0.018345242371587855,diagnostic bridge across different preprocessing,nmi,0.3823409575610802,V0,0.36399571518949236,C0,False,3
a1,-0.028606965174129417,diagnostic bridge across different preprocessing,spatial_neighbor_agreement,0.630214313050134,V0,0.6016073478760046,C0,False,3
a1,-0.007112492213864674,diagnostic bridge across different preprocessing,spatial_cluster_moran_mean,0.5543947246991108,V0,0.5472822324852461,C0,False,3
a1,0.015029689058527168,diagnostic bridge across different preprocessing,ari,0.1867775164312471,V0,0.20180720548977427,C0,False,4
a1,0.005203041022206312,diagnostic bridge across different preprocessing,nmi,0.3406059007765319,V0,0.3458089417987382,C0,False,4
a1,-0.021463196836331133,diagnostic bridge across different preprocessing,spatial_neighbor_agreement,0.6184143385635923,V0,0.5969511417272612,C0,False,4
a1,-0.017395405814393472,diagnostic bridge across different preprocessing,spatial_cluster_moran_mean,0.5647361489594367,V0,0.5473407431450432,C0,False,4
a1,0.00030441878775908093,diagnostic bridge across different preprocessing,ari,0.2356037568405106,V1,0.23590817562826968,C1,False,0
