dataset,hungarian_f1,seed,true_domain,variant
a1,0.3571428571428571,0,capsule,C0
a1,0.7068021892103206,0,cortex,C0
a1,0.41428571428571426,0,follicle,C0
a1,0.14035087719298245,0,hilum,C0
a1,0.4587053571428571,0,medulla cords,C0
a1,0.46399999999999997,0,medulla sinuses,C0
a1,0.02711864406779661,0,medulla vessels,C0
a1,0.5506607929515418,0,pericapsular adipose tissue,C0
a1,0.07023411371237458,0,subcapsular sinus,C0
a1,0.0,0,trabeculae,C0
a1,0.33744855967078186,1,capsule,C0
a1,0.5402843601895735,1,cortex,C0
a1,0.427536231884058,1,follicle,C0
a1,0.010869565217391304,1,hilum,C0
a1,0.35793357933579334,1,medulla cords,C0
a1,0.4003322259136212,1,medulla sinuses,C0
a1,0.02475247524752475,1,medulla vessels,C0
a1,0.6244897959183674,1,pericapsular adipose tissue,C0
a1,0.0814663951120163,1,subcapsular sinus,C0
a1,0.03125,1,trabeculae,C0
a1,0.35388739946380704,2,capsule,C0
a1,0.6264020707506471,2,cortex,C0
a1,0.4028268551236749,2,follicle,C0
a1,0.0036900369003690036,2,hilum,C0
a1,0.4120541205412055,2,medulla cords,C0
a1,0.49222447599729546,2,medulla sinuses,C0
a1,0.04929577464788732,2,medulla vessels,C0
a1,0.784452296819788,2,pericapsular adipose tissue,C0
a1,0.2429906542056075,2,subcapsular sinus,C0
a1,0.0,2,trabeculae,C0
a1,0.3498542274052478,3,capsule,C0
a1,0.5396536007292616,3,cortex,C0
a1,0.49557522123893805,3,follicle,C0
a1,0.10416666666666666,3,hilum,C0
a1,0.5021276595744681,3,medulla cords,C0
a1,0.431081081081081,3,medulla sinuses,C0
a1,0.02066115702479339,3,medulla vessels,C0
a1,0.6040816326530613,3,pericapsular adipose tissue,C0
a1,0.0735632183908046,3,subcapsular sinus,C0
a1,0.04692082111436951,3,trabeculae,C0
a1,0.30848329048843187,4,capsule,C0
a1,0.6256323777403036,4,cortex,C0
a1,0.4098939929328622,4,follicle,C0
a1,0.028571428571428574,4,hilum,C0
a1,0.42865329512893985,4,medulla cords,C0
a1,0.44003055767761656,4,medulla sinuses,C0
a1,0.02977667493796526,4,medulla vessels,C0
a1,0.5847457627118645,4,pericapsular adipose tissue,C0
a1,0.035634743875278395,4,subcapsular sinus,C0
a1,0.0,4,trabeculae,C0
a1,0.380952380952381,0,capsule,C1
a1,0.7039370078740157,0,cortex,C1
a1,0.41877256317689526,0,follicle,C1
a1,0.1532258064516129,0,hilum,C1
a1,0.46273106738223013,0,medulla cords,C1
a1,0.443952802359882,0,medulla sinuses,C1
a1,0.1277533039647577,0,medulla vessels,C1
