step,fraction_of_training,state_sha256,state_file_saved
0,0.0,5f4d40bae0f229a31cb71b7278d630d355323a2154e08dd82150b4ca2338aaea,False
1,0.000625,6c6cc297d7f5381dab77a78ce40e94e11c96ae3ee4cf54588fe34c4d92628804,False
5,0.003125,de7a488b6af067c17a938f245b16047e3e8c673828068df1404b979cc67b1f17,False
10,0.00625,c4649487d747093294a22d56848b433c6b17a4fa2df733c3bbf956abd5308a91,False
20,0.0125,be0e8c55bda51541cae6544490bc855c33aa69d633da6c3917b4fa3341f59f17,False
40,0.025,359afdeb1d6231f972ca74f78e8be81e11dc5be91e45a337e9deb4440f24faff,False
80,0.05,badf063de1267097f2e1d21df88b1525dc6e643834421cafe6babfc6a34d4d39,False
320,0.2,229a6910a5f5d3a027d87201b45fab9e308c5b008aa941ba2904e8153c376db6,False
800,0.5,ea79c5505a894a8502de2519efde50936b7a3a247807d4d53e749efb26864a41,False
1600,1.0,11f80f4ffe2493e2b8a4a109976220204c6f267d83d1f2027dcafa7260449cc5,True
