step,fraction_of_training,diagnostic_parameter_state_unchanged,diagnostic_grad_fields_unchanged,diagnostic_rng_state_unchanged,diagnostic_optimizer_state_unchanged,rna_recon_raw_rms_gradient,rna_recon_weighted_gradient_influence,rna_recon_weighted_gradient_share,mod2_recon_raw_rms_gradient,mod2_recon_weighted_gradient_influence,mod2_recon_weighted_gradient_share,corr1_raw_rms_gradient,corr1_weighted_gradient_influence,corr1_weighted_gradient_share,corr2_raw_rms_gradient,corr2_weighted_gradient_influence,corr2_weighted_gradient_share
0,0.0,True,True,True,True,5.8615454017577e-06,2.013724644483054e-05,0.015618423934963778,0.00018044057639612246,0.0009022028819806123,0.6997474617358428,0.00015897444608111897,0.00023846166912167845,0.18495058153978794,0.00012852461135837788,0.00012852461135837788,0.0996835327894056
1,0.000625,True,True,True,True,5.659279751914427e-06,1.9442366006474404e-05,0.015617000183765582,0.0001744752381138562,0.000872376190569281,0.7007325715345731,0.00015225877810998219,0.00022838816716497327,0.18345185186810753,0.00012474209982946152,0.00012474209982946152,0.10019857641355373
5,0.003125,True,True,True,True,4.910783491767485e-06,1.6870918952751482e-05,0.015087013354313103,0.00015571440502184982,0.000778572025109249,0.6962469900433091,0.00014153667020877343,0.00021230500531316016,0.18985619332992976,0.00011049318666309927,0.00011049318666309927,0.09880980327244804
10,0.00625,True,True,True,True,4.209182797794193e-06,1.4460580874304176e-05,0.014015254533503291,0.00013985843242069482,0.0006992921621034741,0.6777568432662033,0.0001488186263771215,0.00022322793956568225,0.21635343830218512,9.479372010733246e-05,9.479372010733246e-05,0.09187446389810823
20,0.0125,True,True,True,True,3.845644027878082e-06,1.3211649184743938e-05,0.014181979768793712,0.00012103770888651553,0.0006051885444325777,0.6496366633288619,0.00016185404354393637,0.00024278106531590456,0.26061213921213244,7.03987743294847e-05,7.03987743294847e-05,0.07556921769021196
40,0.025,True,True,True,True,4.247192519421312e-06,1.459116267129498e-05,0.017775877578557316,0.0001029516915811635,0.0005147584579058175,0.6271113232300538,0.0001654703365572459,0.0002482055048358689,0.3023796504555621,4.3285511388883595e-05,4.3285511388883595e-05,0.05273314873582688
80,0.05,True,True,True,True,4.308665457029913e-06,1.4802351975388895e-05,0.020766317154593716,8.530138000884288e-05,0.0004265069000442144,0.598349341352428,0.00016337761669408382,0.0002450664250411257,0.3438053030226489,2.643015486380502e-05,2.643015486380502e-05,0.0370790384703295
320,0.2,True,True,True,True,5.537524612939261e-06,1.9024078153797825e-05,0.046242625696077996,4.0571022000978074e-05,0.00020285511000489036,0.49308843491163895,0.00011275192934741674,0.0001691278940211251,0.41110627462511373,2.0389932315653113e-05,2.0389932315653113e-05,0.049562664767169355
800,0.5,True,True,True,True,4.585129886718303e-06,1.575214114740404e-05,0.07462607771006151,1.887038327422934e-05,9.435191637114671e-05,0.4469940547965949,5.7817308439550294e-05,8.672596265932544e-05,0.41086594948149663,1.4250899934320035e-05,1.4250899934320035e-05,0.06751391801184696
1600,1.0,True,True,True,True,4.811785417559922e-06,1.653081263586046e-05,0.10485131720377865,1.4049310850345597e-05,7.024655425172799e-05,0.4455584794629179,4.233912285014438e-05,6.350868427521657e-05,0.4028216486883404,7.373509791806639e-06,7.373509791806639e-06,0.04676855464496305
