step,fraction_of_training,wall_seconds,gradient_norm,embedding_l2_mean,embedding_finite,total_loss,checkpoint_state_sha256,L_rna_recon_raw,rna_recon_coefficient,rna_recon_contribution,rna_recon_contribution_fraction,L_mod2_recon_raw,mod2_recon_coefficient,mod2_recon_contribution,mod2_recon_contribution_fraction,L_corr1_raw,corr1_coefficient,corr1_contribution,corr1_contribution_fraction,L_corr2_raw,corr2_coefficient,corr2_contribution,corr2_contribution_fraction,cross_omics_rna_attention,cross_omics_modality2_attention,rna_spatial_attention,rna_feature_attention,modality2_spatial_attention,modality2_feature_attention
0,0.0,0.035147422924637794,0.040448356087392466,2.272970199584961,True,3.665280126966536,5433a390e72bc7bf9cc8e07c3d33f178a13bc7e6ac6235caef81251a9d5caf94,1.0023996829986572,3.4941106652683263,3.502495288848877,0.9555873405364017,1.0317693948745728,0.1208497391619188,0.12468905746936798,0.03401897076078693,0.08276732265949249,0.17414189622872556,0.014413258992135525,0.003932375832911916,0.11229388415813446,0.21089769934102948,0.023682521656155586,0.006461312869899455,0.5010280013084412,0.49897199869155884,0.500251293182373,0.49974876642227173,0.5002002120018005,0.49979984760284424
1,0.000625,0.13535761460661888,0.04044835608502282,2.2532849311828613,True,3.663573914207518,3d11f5dc0018368075cc95f218e1bf24a13ccf9ce061eafdb0cb5092994dce40,1.0022492408752441,3.4941106652683263,3.501969575881958,0.9558888827931517,1.0294982194900513,0.1208497391619188,0.1244145855307579,0.03395989502170874,0.08135151863098145,0.17414189622872556,0.01416670810431242,0.0038669093175309594,0.10916688293218613,0.21089769934102948,0.02302304469048977,0.00628431286760867,0.5006221532821655,0.49937787652015686,0.5002341270446777,0.49976590275764465,0.500129222869873,0.49987083673477173
5,0.003125,0.34458030946552753,0.030802235392084275,2.1896650791168213,True,3.65773652959615,a0ea4c8051a66d4675c4d6e1a4606ba618b38ab63a6856556b79f586389a4866,1.0017725229263306,3.4941106652683263,3.5003039836883545,0.9569590251692685,1.0220041275024414,0.1208497391619188,0.12350893020629883,0.03376649171063598,0.07673453539609909,0.17414189622872556,0.013362697325646877,0.003653269506298271,0.09749237447977066,0.21089769934102948,0.020560918375849724,0.005621213613797343,0.49909311532974243,0.5009068846702576,0.5001440048217773,0.49985599517822266,0.49984315037727356,0.5001568794250488
10,0.00625,0.5719886608421803,0.023705476054898925,2.137064218521118,True,3.6521295476704836,5bc93f7ad5165f1b5cde65d7b9c684452bad820ae3950c7ecfddc60fc3321724,1.0013736486434937,3.4941106652683263,3.4989101886749268,0.958046570638961,1.0152167081832886,0.1208497391619188,0.1226886734366417,0.033593735335839564,0.07252832502126694,0.17414189622872556,0.012630220502614975,0.003458316671891111,0.08487747609615326,0.21089769934102948,0.017900465056300163,0.004901377353308292,0.4974018633365631,0.5025981664657593,0.49999821186065674,0.5000017881393433,0.49949324131011963,0.5005067586898804
20,0.0125,0.9402150791138411,0.017144893109450256,2.067030906677246,True,3.643931582570076,7939e8ef2b417a5130aa958d6d10b2fab508eda6352d2b2e22c5a9dcb2323769,1.0007929801940918,3.4941106652683263,3.4968812465667725,0.9596451435293996,1.0047329664230347,0.1208497391619188,0.12142171710729599,0.03332162373412535,0.06705688685178757,0.17414189622872556,0.011677413247525692,0.0032046192369203533,0.06615152955055237,0.21089769934102948,0.013951205648481846,0.003828613499554791,0.49577200412750244,0.5042280554771423,0.4996466040611267,0.5003533959388733,0.49888455867767334,0.5011155009269714
40,0.025,1.5585602521896362,0.012089419559654101,2.004503011703491,True,3.6334376987069845,fe26c88f4d262a9367b2c8a9babcd454b35fd9e8f99e914a216ae369b9c7fe47,0.9998005628585815,3.4941106652683263,3.4934136867523193,0.9614623880837437,0.9879448413848877,0.1208497391619188,0.11939287185668945,0.03285947957747487,0.061277613043785095,0.17414189622872556,0.010670999996364117,0.0029368881156711614,0.04722735285758972,0.21089769934102948,0.009960140101611614,0.0027412442231102754,0.49511221051216125,0.5048878192901611,0.499043732881546,0.5009562969207764,0.4983678460121155,0.5016321539878845
80,0.05,2.6911089662462473,0.010599757729203659,2.099776029586792,True,3.6181866275146604,6ef7fa81102967c5582a3afedbd3c803f9a6c4c53993121e8aa2d5213270f69d,0.9971974492073059,3.4941106652683263,3.484318256378174,0.9630012531364528,0.9609565138816833,0.1208497391619188,0.11613134294748306,0.032096559659017344,0.05823070555925369,0.17414189622872556,0.010140405967831612,0.0028026210396994026,0.03602041304111481,0.21089769934102948,0.007596622221171856,0.0020995661648304724,0.49634888768196106,0.5036511421203613,0.4986991286277771,0.5013008713722229,0.49910447001457214,0.5008955597877502
320,0.2,8.893059842288494,0.0053494787984824125,2.817379951477051,True,3.5713080363348126,bc1183b6c1cb0307368906af70a2b67d962debafe28addd58403e88a3bdd86fa,0.987796425819397,3.4941106652683263,3.451469898223877,0.9664441888261411,0.8764291405677795,0.1208497391619188,0.10591623187065125,0.029657545860802225,0.05087342858314514,0.17414189622872556,0.008859195746481419,0.0024806585308092036,0.024005526676774025,0.21089769934102948,0.005062710493803024,0.001417606782247442,0.5600336790084839,0.4399663209915161,0.516287088394165,0.48371294140815735,0.5092883706092834,0.49071162939071655
800,0.5,21.456413995474577,0.0031047759210472434,3.9796392917633057,True,3.5157020268961787,73184fd1d84b7571d53f670882a21fe0acd370d56f8e65626b8da0682d3552d1,0.9725601077079773,3.4941106652683263,3.3982324600219727,0.9665871663822677,0.8266788125038147,0.1208497391619188,0.09990391880273819,0.02841649207994396,0.08025582879781723,0.17414189622872556,0.013975902460515499,0.003975280713096741,0.017021264880895615,0.21089769934102948,0.0035897456109523773,0.0010210608246915532,0.806699275970459,0.1933007836341858,0.7396401762962341,0.26035985350608826,0.5527763366699219,0.4472236931324005
1600,1.0,42.16974581591785,0.0015331165788785525,4.075652599334717,True,3.473229960538447,49bcad8f907503b30cf7201bf9a18719fb9f38ad9b5c3478c852bd1888b39e77,0.9612890481948853,3.4941106652683263,3.3588502407073975,0.9670681984404749,0.8075644373893738,0.1208497391619188,0.09759394824504852,0.028098901988602782,0.08451154828071594,0.17414189622872556,0.014717001467943192,0.004237266646652342,0.00980935338884592,0.21089769934102948,0.002068770118057728,0.0005956329242700104,0.8645997643470764,0.13540019094944,0.9054551720619202,0.09454479068517685,0.7007313370704651,0.2992686629295349
