step,fraction_of_training,state_sha256,state_file_saved
0,0.0,bb57e92b5764579114a1c6ddd18da72ae18bcf09aad986f0b44fcd2101f65279,False
1,0.000625,74d15b338fc2623db27ec77873250282ac92bfab1232586ee845b0c333094ce2,False
5,0.003125,8ed30c88b38607cece57f5c32f4946e22619bc7d3f1059ce8d18637e66de145d,False
10,0.00625,29b78d3be38912345053cae25c4cda382acd3187c02327a371188ed8e46ed8f7,False
20,0.0125,04076df5978c80411d1c2161521f82cc34836587f99af5e16865bbf6314087fd,False
40,0.025,6c19a99291bb5397af80907d36c640ab6e72ddde957e77abd556636c3269f957,False
80,0.05,43b4dec339342f9d8873d62c58962112a760bf0db966c4ce5901dc6fcee8c48a,False
320,0.2,9540d997977688c5be5a395bfedc8913aa95d9a211aaf9c7dc5ffc0b4abd5162,False
800,0.5,023a5b96fe049bcbc94f42ef8abecc6a7b3d51c73361c8669b4832a8edb38fb8,False
1600,1.0,d27d7d0a49cce32b8d46eca37bbb0d9523e2a334a4d4f73c9cf932b1a03c9beb,True
