step,fraction_of_training,diagnostic_parameter_state_unchanged,diagnostic_grad_fields_unchanged,diagnostic_rng_state_unchanged,diagnostic_optimizer_state_unchanged,rna_recon_raw_rms_gradient,rna_recon_weighted_gradient_influence,rna_recon_weighted_gradient_share,mod2_recon_raw_rms_gradient,mod2_recon_weighted_gradient_influence,mod2_recon_weighted_gradient_share,corr1_raw_rms_gradient,corr1_weighted_gradient_influence,corr1_weighted_gradient_share,corr2_raw_rms_gradient,corr2_weighted_gradient_influence,corr2_weighted_gradient_share
0,0.0,True,True,True,True,6.258796356990074e-06,2.2370927996860953e-05,0.2499999712279645,0.00020037923255066523,2.237093151670493e-05,0.25000001056298415,0.00017840558743344276,2.237093145589835e-05,0.2500000098834575,0.00011858718185814731,2.2370931316494912e-05,0.2500000083255938
1,0.000625,True,True,True,True,5.781793511859739e-06,2.0665968178062766e-05,0.24392889411145774,0.00019274767943517626,2.1518922304275527e-05,0.25399666131898413,0.00016623717812776803,2.0845089948237495e-05,0.2460431417931313,0.00011498448901440267,2.1691299733224415e-05,0.25603130277642683
5,0.003125,True,True,True,True,4.474266196321731e-06,1.5992449858975516e-05,0.22735900488018893,0.00016946704905393143,1.8919803716510387e-05,0.26897615959071475,0.00012994105622059183,1.629378599536499e-05,0.23164299418189688,0.00010142856895941096,1.9134037205096626e-05,0.2720218413471995
10,0.00625,True,True,True,True,3.6767122459661035e-06,1.3141738479447872e-05,0.21878281159309504,0.00015312681843602458,1.70955319321181e-05,0.2846053090797369,0.00010772858158210762,1.3508482268323409e-05,0.22488833845242007,8.652080881487447e-05,1.6321756205998968e-05,0.2717235408747479
20,0.0125,True,True,True,True,3.053436433951505e-06,1.0913952573425984e-05,0.2202044185574744,0.0001377654799887138,1.5380546571432948e-05,0.3103242653908091,9.020332508908275e-05,1.1310926029235547e-05,0.22821391909645797,6.338556338879738e-05,1.1957397610850638e-05,0.24125739695525858
40,0.025,True,True,True,True,3.0580982230713697e-06,1.0930615289831602e-05,0.25465797155125225,0.00012611808680666837,1.4080197069606248e-05,0.3280359183552469,8.596132542334143e-05,1.0779006120652831e-05,0.25112582972136344,3.781120388609011e-05,7.132911263053117e-06,0.1661802803721374
80,0.05,True,True,True,True,3.499227603267839e-06,1.2507351939947021e-05,0.29762103173806714,0.0001165318902437231,1.3009965668449957e-05,0.3095810706944343,9.730258265980804e-05,1.2201127994248064e-05,0.2903342225797881,2.282576622161046e-05,4.305976753885859e-06,0.10246367498771056
320,0.2,True,True,True,True,2.397182498661555e-06,8.568292370305334e-06,0.2766779317920866,8.05850384551206e-05,8.996752575617902e-06,0.2905133004207215,8.798149334652865e-05,1.1032322391679857e-05,0.3562436959751802,1.2569098650019439e-05,2.3711031681837347e-06,0.07656507181201169
800,0.5,True,True,True,True,2.66501011830104e-06,9.525593431528389e-06,0.3348586784652318,4.9961809325599544e-05,5.5778844975416915e-06,0.19608259001442851,8.680932349394904e-05,1.0885339711350343e-05,0.38265862348515467,1.302862103140026e-05,2.457789970848118e-06,0.086400108035185
1600,1.0,True,True,True,True,1.9071824249811188e-06,6.816876324547739e-06,0.33621467339111094,3.805910050970983e-05,4.249030801506989e-06,0.20956614659606887,5.6420490123866736e-05,7.074772351174763e-06,0.34893434501681303,1.1315877994770948e-05,2.134688803969289e-06,0.10528483499600705
