step,fraction_of_training,state_sha256,state_file_saved
0,0.0,1280b01fd58ef7b77188a9b0072ace34226f2aa6498496f8fbdd386482c71d60,False
1,0.000625,c3bfb52728140e4b939f08321defde1c1b6cf9740168d6f35343215610b409d4,False
5,0.003125,60a31bb96510135fa5fc1387f27f3e8361a410a5ae93510009dfc38357f6fe3e,False
10,0.00625,02751b4e0bfef286034dfe02179b32816a6a72975473efa0c0d33206efad6f99,False
20,0.0125,9462e3e63a05d28209f23ba60d2d41976814bb5e99a174cf5a1b4216c75dbe5e,False
40,0.025,19acaba3baae18845812a30fe64b4d8885d77301d22cfd4ad0292b088e7323dd,False
80,0.05,54240f858ade53e37c87768036fef62da0b412d959d85f2c0e84f35ed2452e2a,False
320,0.2,9c67ef078c6388f2ba9825f7f4cc609f9cba7da1ac4001cfc3f58e2c5aeac921,False
800,0.5,5ea20a365a822d893de479ba512f9e6727d9563f01341670935feed744556e73,False
1600,1.0,ed2d4dac7656de76799694767e91096cc19bf01c1fca13a505b398ceac311056,True
