step,fraction_of_training,diagnostic_parameter_state_unchanged,diagnostic_grad_fields_unchanged,diagnostic_rng_state_unchanged,diagnostic_optimizer_state_unchanged,rna_recon_raw_rms_gradient,rna_recon_weighted_gradient_influence,rna_recon_weighted_gradient_share,mod2_recon_raw_rms_gradient,mod2_recon_weighted_gradient_influence,mod2_recon_weighted_gradient_share,corr1_raw_rms_gradient,corr1_weighted_gradient_influence,corr1_weighted_gradient_share,corr2_raw_rms_gradient,corr2_weighted_gradient_influence,corr2_weighted_gradient_share
0,0.0,True,True,True,True,7.264677412274001e-06,7.2464123862344795e-06,0.0022154326204578013,0.00019185883407497794,0.00018630588633394854,0.056958963410860056,0.00016732277652455169,0.0020030016826154714,0.6123741004483579,0.00011898681728989531,0.0010743251775787192,0.3284515035203241
1,0.000625,True,True,True,True,7.047638939705477e-06,7.029919596994763e-06,0.0023132439639976664,0.00018874490941815354,0.0001832820876333889,0.06031024638006881,0.000151408342907291,0.001812491831085677,0.5964130499936845,0.00011476246117538106,0.0010361837074877574,0.34096345966224906
5,0.003125,True,True,True,True,6.2807912693961595e-06,6.264999953474754e-06,0.0027168804473179896,0.00017835085805639273,0.00017318887008158898,0.07510510108731812,0.00010301624807856308,0.0012331956385376957,0.5347877323131714,9.893782629220517e-05,0.0008933039829249415,0.3873902861521924
10,0.00625,True,True,True,True,5.525962703158424e-06,5.512069195306846e-06,0.0031016167384525666,0.00016920473388263484,0.00016430746110749709,0.09245507513903545,7.265040946138329e-05,0.0008696896825191121,0.4893705033415524,8.169846614216495e-05,0.0007376507847272596,0.4150728047809596
20,0.0125,True,True,True,True,4.552351983081156e-06,4.540906350633449e-06,0.0036464673598063826,0.00015923998921927131,0.00015463112488065485,0.1241728646548272,4.880869501889501e-05,0.0005842832654331848,0.4691948460874966,5.558058016856936e-05,0.0005018338839507508,0.4029858218978698
40,0.025,True,True,True,True,3.967826469994433e-06,3.957850465599206e-06,0.004929080011012718,0.00015074996616712495,0.00014638682757033323,0.18230915794421107,3.262487552170153e-05,0.0003905486265672853,0.48638659931024725,2.9025098980024054e-05,0.000262065960970975,0.32637516273452893
80,0.05,True,True,True,True,3.868332071071731e-06,3.858606217878543e-06,0.006977650228552622,0.00014246751909815768,0.00013834409839584582,0.2501723874589644,2.21777868700327e-05,0.00026548773179630234,0.480090589151872,1.6093206185170367e-05,0.0001453046395095262,0.262759373160611
320,0.2,True,True,True,True,4.871964030105831e-06,4.8597148213903624e-06,0.01430819248125509,0.00012601620758842012,0.00012236893526637658,0.3602841614925533,1.1119487279137682e-05,0.0001331101012817943,0.3919087889594265,8.783626575798894e-06,7.930686269084427e-05,0.23349885706676504
800,0.5,True,True,True,True,8.058568837177975e-06,8.038307790293271e-06,0.03440071477174424,9.312597105264709e-05,9.043063699059459e-05,0.3870066475306105,7.008002673586737e-06,8.389199270135389e-05,0.35902388759453474,5.682386749263538e-06,5.1305945419148056e-05,0.21956875010311058
1600,1.0,True,True,True,True,9.816137346953432e-06,9.791457379203357e-06,0.0766168268649722,5.002209265694397e-05,4.857430909378321e-05,0.3800873849309271,3.4448164274310695e-06,4.1237500618652474e-05,0.3226778530389252,3.1226771554406405e-06,2.819447369002509e-05,0.22061793516517558
