channel,dataset,n_observations,p_value,seed_a,seed_b,spearman_rho
cross_omics_rna_attention,a1,3484,0.0,0,1,0.7163011117913979
cross_omics_rna_attention,a1,3484,0.0,0,2,0.7733737327760144
cross_omics_rna_attention,a1,3484,0.0,0,3,0.7073104596925666
cross_omics_rna_attention,a1,3484,0.0,0,4,0.7770682243586085
cross_omics_rna_attention,a1,3484,0.0,1,2,0.6974243893801456
cross_omics_rna_attention,a1,3484,0.0,1,3,0.778744102602041
cross_omics_rna_attention,a1,3484,0.0,1,4,0.79361466284594
cross_omics_rna_attention,a1,3484,0.0,2,3,0.7280480549916627
cross_omics_rna_attention,a1,3484,0.0,2,4,0.8260213972191107
cross_omics_rna_attention,a1,3484,0.0,3,4,0.7619205024554253
cross_omics_modality2_attention,a1,3484,0.0,0,1,0.7163011881728901
cross_omics_modality2_attention,a1,3484,0.0,0,2,0.7733737485793998
cross_omics_modality2_attention,a1,3484,0.0,0,3,0.7073104596925666
cross_omics_modality2_attention,a1,3484,0.0,0,4,0.7770681878406875
cross_omics_modality2_attention,a1,3484,0.0,1,2,0.6974245751981625
cross_omics_modality2_attention,a1,3484,0.0,1,3,0.778744092583905
cross_omics_modality2_attention,a1,3484,0.0,1,4,0.7936147974887168
cross_omics_modality2_attention,a1,3484,0.0,2,3,0.7280480143241561
cross_omics_modality2_attention,a1,3484,0.0,2,4,0.8260213624588575
cross_omics_modality2_attention,a1,3484,0.0,3,4,0.7619205565989946
rna_spatial_attention,a1,3484,1.0554738761503504e-65,0,1,0.28414525731836765
rna_spatial_attention,a1,3484,7.187083544036496e-92,0,2,0.33455163412189376
rna_spatial_attention,a1,3484,3.3818060648228955e-90,0,3,0.3316060819027305
rna_spatial_attention,a1,3484,1.510714758809801e-66,0,4,0.28593898186894406
rna_spatial_attention,a1,3484,1.6360879458985097e-82,1,2,0.31763614438777543
rna_spatial_attention,a1,3484,3.190401245061191e-107,1,3,0.3601923636385806
rna_spatial_attention,a1,3484,7.489926644359167e-113,1,4,0.36902815497795627
rna_spatial_attention,a1,3484,1.9969314853963053e-160,2,3,0.4344912971087428
rna_spatial_attention,a1,3484,2.3384264103355656e-163,2,4,0.43808434303604515
rna_spatial_attention,a1,3484,6.980234858272471e-108,3,4,0.3612428210447092
rna_feature_attention,a1,3484,1.0554933029570517e-65,0,1,0.2841452402727805
rna_feature_attention,a1,3484,7.186168205015672e-92,0,2,0.3345517310012342
rna_feature_attention,a1,3484,3.3818585758764346e-90,0,3,0.3316060699614055
rna_feature_attention,a1,3484,1.5109328026689063e-66,0,4,0.2859388491921831
rna_feature_attention,a1,3484,1.6360879458985097e-82,1,2,0.31763614438777543
rna_feature_attention,a1,3484,3.190401245061191e-107,1,3,0.3601923636385806
rna_feature_attention,a1,3484,7.489926644359167e-113,1,4,0.36902815497795627
rna_feature_attention,a1,3484,1.9969314853963053e-160,2,3,0.4344912971087428
rna_feature_attention,a1,3484,2.3384264103355656e-163,2,4,0.43808434303604515
rna_feature_attention,a1,3484,6.980234858272471e-108,3,4,0.3612428210447092
modality2_spatial_attention,a1,3484,6.407247455853491e-251,0,1,0.529344679970982
modality2_spatial_attention,a1,3484,0.0,0,2,0.7583040033765288
modality2_spatial_attention,a1,3484,5.639100264772745e-240,0,3,0.5193448583066411
modality2_spatial_attention,a1,3484,0.0,0,4,0.7655065370813943
modality2_spatial_attention,a1,3484,1.869345752743862e-195,1,2,0.4748345685417691
modality2_spatial_attention,a1,3484,0.0,1,3,0.6379614254345289
modality2_spatial_attention,a1,3484,0.0,1,4,0.6412472303532125
modality2_spatial_attention,a1,3484,6.00308259795895e-298,2,3,0.5688442206418199
modality2_spatial_attention,a1,3484,0.0,2,4,0.7606948700267376
modality2_spatial_attention,a1,3484,0.0,3,4,0.5894323745117791
modality2_feature_attention,a1,3484,6.4056489859128034e-251,0,1,0.5293447773372423
modality2_feature_attention,a1,3484,0.0,0,2,0.7583039492327031
modality2_feature_attention,a1,3484,5.629638799756422e-240,0,3,0.5193455359187611
modality2_feature_attention,a1,3484,0.0,0,4,0.7655062762209817
modality2_feature_attention,a1,3484,1.869345752743862e-195,1,2,0.4748345685417691
modality2_feature_attention,a1,3484,0.0,1,3,0.6379615559175702
modality2_feature_attention,a1,3484,0.0,1,4,0.6412470013611772
modality2_feature_attention,a1,3484,6.001269345046276e-298,2,3,0.5688443237471976
modality2_feature_attention,a1,3484,0.0,2,4,0.7606947919935161
modality2_feature_attention,a1,3484,0.0,3,4,0.5894325966518287
cross_omics_rna_attention,placenta,1662,0.0,0,1,0.8644877560401387
cross_omics_rna_attention,placenta,1662,0.0,0,2,0.8649357360342552
cross_omics_rna_attention,placenta,1662,0.0,0,3,0.8713269502187421
cross_omics_rna_attention,placenta,1662,0.0,0,4,0.8720384298215199
cross_omics_rna_attention,placenta,1662,0.0,1,2,0.8672142327967964
cross_omics_rna_attention,placenta,1662,0.0,1,3,0.8637235338087764
cross_omics_rna_attention,placenta,1662,0.0,1,4,0.8743418043430816
cross_omics_rna_attention,placenta,1662,0.0,2,3,0.8719580650116016
cross_omics_rna_attention,placenta,1662,0.0,2,4,0.8810923051056463
cross_omics_rna_attention,placenta,1662,0.0,3,4,0.8820228874572054
cross_omics_modality2_attention,placenta,1662,0.0,0,1,0.8644877560401387
cross_omics_modality2_attention,placenta,1662,0.0,0,2,0.8649357360342552
