channel,dataset,extreme_below_005_or_above_095_fraction,iqr,mean,median,n_observations,normalized_two_way_entropy,p05,p95,sd,seed,variant
cross_omics_rna_attention,a1,0.014351320321469576,0.2864795997738838,0.5719804080581692,0.5631134212017059,3484,0.8635993164273018,0.26592010706663133,0.9040241092443466,0.194487702733089,0,FULL_IGE
cross_omics_modality2_attention,a1,0.014351320321469576,0.2864795997738838,0.4280195926085123,0.43688657879829407,3484,0.8635993170400443,0.09597587436437607,0.7340798884630203,0.19448770274355004,0,FULL_IGE
rna_spatial_attention,a1,0.0,0.20873422920703888,0.5024256709124786,0.5053544044494629,3484,0.938050087832413,0.2614899069070816,0.7321999073028564,0.14365231659275898,0,FULL_IGE
rna_feature_attention,a1,0.0,0.20873423665761948,0.49757432934200446,0.4946455806493759,3484,0.9380500872069732,0.2678001433610916,0.7385101020336151,0.1436523172707682,0,FULL_IGE
modality2_spatial_attention,a1,0.0,0.1400337889790535,0.5012945555937481,0.49105478823184967,3484,0.9596606627586495,0.33116324096918104,0.7210783660411835,0.11604306883444085,0,FULL_IGE
modality2_feature_attention,a1,0.0,0.1400337964296341,0.4987054443036032,0.5089451968669891,3484,0.9596606629637826,0.2789216384291649,0.6688367843627929,0.11604306856192279,0,FULL_IGE
cross_omics_rna_attention,a1,0.022388059701492536,0.37838584184646606,0.5403288292102986,0.5343425869941711,3484,0.8225094707162324,0.1817744679749012,0.9231195509433746,0.23220031970383598,1,FULL_IGE
cross_omics_modality2_attention,a1,0.022388059701492536,0.3783858194947243,0.4596711704520836,0.46565739810466766,3484,0.8225094697422521,0.07688048593699932,0.8182255297899246,0.23220032021244727,1,FULL_IGE
rna_spatial_attention,a1,0.0,0.20066498965024948,0.5060831025097386,0.5080088973045349,3484,0.9371234188919754,0.2602207764983177,0.7412302553653717,0.14447735086949418,1,FULL_IGE
rna_feature_attention,a1,0.0,0.20066498219966888,0.49391689808262956,0.4919911324977875,3484,0.9371234188672999,0.25876974910497663,0.7397792190313339,0.14447735087246577,1,FULL_IGE
modality2_spatial_attention,a1,0.0,0.13102831691503525,0.5048241479072109,0.4917413294315338,3484,0.9591069269719857,0.3358138918876648,0.7402151256799697,0.11630565288799821,1,FULL_IGE
modality2_feature_attention,a1,0.0,0.13102830201387405,0.4951758513100933,0.5082586705684662,3484,0.9591069266195534,0.2597849041223526,0.6641861170530319,0.11630565332505487,1,FULL_IGE
cross_omics_rna_attention,a1,0.02497129735935706,0.35100559145212173,0.5376456582493199,0.5038594305515289,3484,0.842623097829114,0.2205083265900612,0.9199731260538101,0.21876844232429135,2,FULL_IGE
cross_omics_modality2_attention,a1,0.02497129735935706,0.35100559890270233,0.4623543417792827,0.4961405396461487,3484,0.842623099318677,0.0800269078463316,0.7794916987419128,0.21876844137624224,2,FULL_IGE
rna_spatial_attention,a1,0.0,0.19337648898363113,0.5019286851538719,0.5020672678947449,3484,0.9447814445799281,0.2759010776877403,0.7282010525465011,0.13594897670719575,2,FULL_IGE
rna_feature_attention,a1,0.0,0.19337649643421173,0.4980713153465402,0.4979327768087387,3484,0.9447814440136374,0.2717989519238472,0.7240988671779632,0.13594897736960074,2,FULL_IGE
modality2_spatial_attention,a1,0.000574052812858783,0.16294917464256287,0.5027448427312752,0.48957037925720215,3484,0.9490750623612034,0.3165473610162735,0.7464466214179992,0.12974224741313706,2,FULL_IGE
modality2_feature_attention,a1,0.000574052812858783,0.16294915974140167,0.49725515735426534,0.5104296207427979,3484,0.9490750624978457,0.2535533532500267,0.6834526479244232,0.12974224726631975,2,FULL_IGE
cross_omics_rna_attention,a1,0.010907003444316877,0.32199956476688385,0.5435917673934033,0.5473584532737732,3484,0.8545085508295837,0.19989439100027084,0.892106693983078,0.21054214145374564,3,FULL_IGE
cross_omics_modality2_attention,a1,0.010907003444316877,0.32199953496456146,0.456408232630655,0.4526415169239044,3484,0.8545085516914724,0.10789335891604424,0.8001055926084518,0.21054214083561398,3,FULL_IGE
