attention_exact,attention_max_abs_difference,clusters_exact,dataset,embedding_exact,embedding_max_abs_difference,final_state_sha256_exact,initial_state_sha256_exact,passed,seed
False,2.980232238769531e-07,True,a1,False,1.601874828338623e-07,False,True,False,0
False,2.086162567138672e-07,True,a1,False,1.4901161193847656e-07,False,True,False,1
False,2.086162567138672e-07,True,a1,False,2.123415470123291e-07,False,True,False,2
False,2.384185791015625e-07,True,a1,False,1.564621925354004e-07,False,True,False,3
False,2.384185791015625e-07,True,a1,False,1.341104507446289e-07,False,True,False,4
False,4.172325134277344e-07,True,placenta,False,1.4156103134155273e-07,False,True,False,0
False,6.854534149169922e-07,True,placenta,False,3.203749656677246e-07,False,True,False,1
False,4.172325134277344e-07,True,placenta,False,1.4156103134155273e-07,False,True,False,2
False,3.5762786865234375e-07,True,placenta,False,1.317384885624051e-07,False,True,False,3
False,5.364418029785156e-07,True,placenta,False,1.341104507446289e-07,False,True,False,4
False,1.9073486328125e-06,True,p22,False,9.5367431640625e-07,False,True,False,0
False,4.231929779052734e-06,True,p22,False,1.2367963790893555e-06,False,True,False,1
False,6.157159805297852e-05,True,p22,False,1.0833144187927246e-05,False,True,False,2
False,5.304813385009766e-06,True,p22,False,1.0132789611816406e-06,False,True,False,3
False,0.43869704008102417,False,p22,False,0.13243800401687622,False,True,False,4
