dataset,exploratory_only,loss,outcome,p_value,spearman_rho,used_for_tuning
a1,True,rna_recon,ari,0.03738607346849874,0.8999999999999998,False
a1,True,rna_recon,nmi,0.6238376647810728,-0.3,False
a1,True,mod2_recon,ari,1.4042654220543672e-24,-0.9999999999999999,False
a1,True,mod2_recon,nmi,0.8728885715695383,0.09999999999999999,False
a1,True,corr1,ari,1.4042654220543672e-24,-0.9999999999999999,False
a1,True,corr1,nmi,0.8728885715695383,0.09999999999999999,False
a1,True,corr2,ari,0.1881204043741873,-0.7,False
a1,True,corr2,nmi,0.8728885715695383,0.09999999999999999,False
placenta,True,rna_recon,ari,0.6238376647810728,0.3,False
placenta,True,rna_recon,nmi,0.6238376647810728,0.3,False
placenta,True,mod2_recon,ari,0.747060078104662,-0.19999999999999998,False
placenta,True,mod2_recon,nmi,0.747060078104662,-0.19999999999999998,False
placenta,True,corr1,ari,0.8728885715695383,-0.09999999999999999,False
placenta,True,corr1,nmi,0.8728885715695383,-0.09999999999999999,False
placenta,True,corr2,ari,0.8728885715695383,0.09999999999999999,False
placenta,True,corr2,nmi,0.8728885715695383,0.09999999999999999,False
p22,True,rna_recon,ari,0.747060078104662,0.19999999999999998,False
p22,True,rna_recon,nmi,0.39100221895577053,0.49999999999999994,False
p22,True,mod2_recon,ari,0.39100221895577053,0.49999999999999994,False
p22,True,mod2_recon,nmi,0.6238376647810728,0.3,False
p22,True,corr1,ari,0.5046315754686911,0.39999999999999997,False
p22,True,corr1,nmi,0.6238376647810728,0.3,False
p22,True,corr2,ari,1.0,0.0,False
p22,True,corr2,nmi,0.5046315754686911,-0.39999999999999997,False
