dataset,hungarian_f1,seed,true_domain,variant
a1,0.3416149068322981,0,capsule,FULL_IGE
a1,0.5688729874776386,0,cortex,FULL_IGE
a1,0.44881889763779526,0,follicle,FULL_IGE
a1,0.15441176470588233,0,hilum,FULL_IGE
a1,0.4376762549351382,0,medulla cords,FULL_IGE
a1,0.6394721055788842,0,medulla sinuses,FULL_IGE
a1,0.024948024948024946,0,medulla vessels,FULL_IGE
a1,0.6208333333333333,0,pericapsular adipose tissue,FULL_IGE
a1,0.0650887573964497,0,subcapsular sinus,FULL_IGE
a1,0.0,0,trabeculae,FULL_IGE
a1,0.34895833333333337,1,capsule,FULL_IGE
a1,0.6923658352229781,1,cortex,FULL_IGE
a1,0.4367816091954023,1,follicle,FULL_IGE
a1,0.0,1,hilum,FULL_IGE
a1,0.3449116392443632,1,medulla cords,FULL_IGE
a1,0.6362017804154302,1,medulla sinuses,FULL_IGE
a1,0.03174603174603175,1,medulla vessels,FULL_IGE
a1,0.7635726795096323,1,pericapsular adipose tissue,FULL_IGE
a1,0.1728395061728395,1,subcapsular sinus,FULL_IGE
a1,0.0,1,trabeculae,FULL_IGE
a1,0.33423180592991913,2,capsule,FULL_IGE
a1,0.596918085969181,2,cortex,FULL_IGE
a1,0.46913580246913583,2,follicle,FULL_IGE
a1,0.17751479289940827,2,hilum,FULL_IGE
a1,0.43552036199095023,2,medulla cords,FULL_IGE
a1,0.6015485407980942,2,medulla sinuses,FULL_IGE
a1,0.03508771929824561,2,medulla vessels,FULL_IGE
a1,0.7902097902097901,2,pericapsular adipose tissue,FULL_IGE
a1,0.0704225352112676,2,subcapsular sinus,FULL_IGE
a1,0.0,2,trabeculae,FULL_IGE
a1,0.3353658536585366,3,capsule,FULL_IGE
a1,0.6793893129770994,3,cortex,FULL_IGE
a1,0.3957597173144876,3,follicle,FULL_IGE
a1,0.15637860082304528,3,hilum,FULL_IGE
a1,0.3582458307597282,3,medulla cords,FULL_IGE
a1,0.6243032329988851,3,medulla sinuses,FULL_IGE
a1,0.12722646310432567,3,medulla vessels,FULL_IGE
a1,0.6956521739130436,3,pericapsular adipose tissue,FULL_IGE
a1,0.05128205128205128,3,subcapsular sinus,FULL_IGE
