dataset,max,mean,median,metric,min,n_seeds,sd,variant
a1,0.2612917888533778,0.24685877115776084,0.24560192444896342,ari,0.23542060893812203,5,0.009615991415881413,FULL_IGE
a1,0.3784402540802451,0.37246846360634606,0.3734507847867272,nmi,0.3646425650971038,5,0.006199760970676157,FULL_IGE
a1,0.3744541309083556,0.36843064891114446,0.36943001117406893,ami,0.36055087057767304,5,0.0062520009412656155,FULL_IGE
a1,0.4011646032473045,0.3895340710186411,0.3883099340330396,fmi,0.37937477928279384,5,0.008478102921649844,FULL_IGE
a1,0.42825629910281376,0.420242910991331,0.42251231312500903,homogeneity,0.41100444138368836,5,0.00836640310917886,FULL_IGE
a1,0.3784402540802452,0.3724684636063461,0.37345078478672716,v_measure,0.3646425650971038,5,0.00619976097067618,FULL_IGE
a1,0.3510589434775992,0.34271924766006573,0.34273774148400105,hungarian_macro_f1,0.3301737032845445,5,0.00786986385790725,FULL_IGE
a1,0.5186005663213054,0.5075827442087684,0.5063600106666353,hungarian_weighted_f1,0.4918417899360001,5,0.010356910669805805,FULL_IGE
a1,0.4816854287484061,0.439352299262576,0.43342434853292316,hungarian_balanced_accuracy,0.3885243351171884,5,0.03633637196837332,FULL_IGE
a1,0.5908916953693073,0.5766296721520603,0.5766679423395842,spatial_neighbor_agreement,0.5529563719862227,5,0.014676843351162972,FULL_IGE
a1,0.49231128120401246,0.48348663476856285,0.4883071809623184,spatial_cluster_moran_mean,0.4673736833508636,5,0.010400786466648044,FULL_IGE
a1,0.5431955372763317,0.526283123552439,0.522277005548345,spatial_cluster_geary_mean,0.5179337675649442,5,0.010524633101913516,FULL_IGE
a1,0.4470436280137773,0.4233703278479398,0.4233320576604158,boundary_disagreement,0.4091083046306927,5,0.014676843351162972,FULL_IGE
a1,0.1697135716676712,0.1513757050037384,0.1543259173631668,embedding_silhouette,0.12633776664733887,5,0.016883509271819197,FULL_IGE
a1,2.05397747315894,1.9506346391105354,1.9453672251369407,embedding_davies_bouldin,1.7925609122740682,5,0.10933618905031543,FULL_IGE
a1,17.85895782150328,12.852332139387727,12.577706286683679,runtime_seconds,9.634900918230414,5,3.095221545302234,FULL_IGE
a1,747.2646484375,747.1912109375,747.1728515625,gpu_peak_allocated_mib,747.1728515625,5,0.041052810524410205,FULL_IGE
a1,840.0,840.0,840.0,gpu_peak_reserved_mib,840.0,5,0.0,FULL_IGE
a1,1357.39453125,1337.87265625,1352.9453125,cpu_peak_rss_mib,1290.9765625,5,28.463874890237445,FULL_IGE
a1,0.2549616624991458,0.2145815135431855,0.20468604511602775,ari,0.1830876426022314,5,0.027787040343037136,DROP_RNA_RECON
a1,0.3743380466467944,0.35438490197374317,0.35680147643670296,nmi,0.3269181360299787,5,0.019155903505530526,DROP_RNA_RECON
a1,0.3702933581299014,0.3502618788667294,0.35270701675464755,ami,0.32268654289331294,5,0.019244607194610505,DROP_RNA_RECON
a1,0.39608438934398815,0.3587891393225897,0.35241416889768323,fmi,0.32708640159875646,5,0.026156773715411585,DROP_RNA_RECON
a1,0.41980483629953186,0.40244942414022483,0.4068439141797834,homogeneity,0.37745942798651194,5,0.018691436594419464,DROP_RNA_RECON
a1,0.3743380466467944,0.35438490197374317,0.356801476436703,v_measure,0.3269181360299787,5,0.01915590350553053,DROP_RNA_RECON
a1,0.33392718564416884,0.3029121339061283,0.29427572838956173,hungarian_macro_f1,0.27578558528597086,5,0.023177374478571298,DROP_RNA_RECON
a1,0.5216185415018697,0.4772036542534373,0.47926076741890217,hungarian_weighted_f1,0.4410735948032781,5,0.029966168235316865,DROP_RNA_RECON
a1,0.45982655561220903,0.36378310408800785,0.3272701126639276,hungarian_balanced_accuracy,0.30630508973836923,5,0.06569880480940067,DROP_RNA_RECON
a1,0.6485680571501466,0.6084736573542544,0.6062954458476847,spatial_neighbor_agreement,0.5601798698813624,5,0.033403665703059,DROP_RNA_RECON
a1,0.5896688431858064,0.5511681261879081,0.5516725999478819,spatial_cluster_moran_mean,0.5130042211311407,5,0.032412224314115855,DROP_RNA_RECON
a1,0.49669393601963263,0.45814393508668055,0.4606951926595503,spatial_cluster_geary_mean,0.4188482073547468,5,0.032960148564725456,DROP_RNA_RECON
a1,0.43982013011863763,0.39152634264574565,0.3937045541523153,boundary_disagreement,0.35143194284985335,5,0.03340366570305899,DROP_RNA_RECON
a1,0.133325457572937,0.11210358142852783,0.1150267943739891,embedding_silhouette,0.08749005943536758,5,0.018443644934161833,DROP_RNA_RECON
a1,2.190151856079104,2.0124992955276864,1.9757116947642281,embedding_davies_bouldin,1.8222772010425186,5,0.14772580318024814,DROP_RNA_RECON
a1,17.421238087117672,13.520306042954326,12.654147982597351,runtime_seconds,11.240959662944078,5,2.4429727504766374,DROP_RNA_RECON
a1,747.1728515625,747.1728515625,747.1728515625,gpu_peak_allocated_mib,747.1728515625,5,0.0,DROP_RNA_RECON
a1,780.0,780.0,780.0,gpu_peak_reserved_mib,780.0,5,0.0,DROP_RNA_RECON
a1,1357.39453125,1357.39453125,1357.39453125,cpu_peak_rss_mib,1357.39453125,5,0.0,DROP_RNA_RECON
a1,0.26952554935059503,0.2559620411905041,0.2601750458363467,ari,0.23255305030449894,5,0.014488690578963601,DROP_MOD2_RECON
a1,0.37757379540816877,0.3716788372739072,0.3752443342480113,nmi,0.35989564455572787,5,0.0075323273056656015,DROP_MOD2_RECON
a1,0.3735192788373485,0.36762167385249156,0.3711997223546094,ami,0.3557427304668157,5,0.007581740804811061,DROP_MOD2_RECON
a1,0.41040451613974643,0.3977045638029783,0.4001520111385576,fmi,0.37974656776990673,5,0.012075432646590797,DROP_MOD2_RECON
a1,0.4271274656945422,0.41764075191134004,0.42007681723716034,homogeneity,0.4025475045425729,5,0.009110993688064457,DROP_MOD2_RECON
a1,0.3775737954081687,0.37167883727390727,0.3752443342480113,v_measure,0.3598956445557278,5,0.007532327305665629,DROP_MOD2_RECON
a1,0.34813721769503536,0.3414299778008427,0.3453041775856223,hungarian_macro_f1,0.32304654399924987,5,0.01042363192986442,DROP_MOD2_RECON
a1,0.5495893476652274,0.5168562464625636,0.5214664831188249,hungarian_weighted_f1,0.46810618471121135,5,0.03022347789956465,DROP_MOD2_RECON
a1,0.4369166751032151,0.4174468733529687,0.418944499991545,hungarian_balanced_accuracy,0.39629212796676794,5,0.018163369365541516,DROP_MOD2_RECON
a1,0.5915614236509759,0.5729812476081132,0.5741165965046562,spatial_neighbor_agreement,0.5508993494068121,5,0.014498794902077831,DROP_MOD2_RECON
a1,0.4946323368691242,0.4786627395628134,0.4832128812140408,spatial_cluster_moran_mean,0.46080218080264934,5,0.014944697352080896,DROP_MOD2_RECON
a1,0.5495054639700518,0.5314687128665715,0.5253599778543646,spatial_cluster_geary_mean,0.5160043577519337,5,0.015391417188419462,DROP_MOD2_RECON
a1,0.44910065059318793,0.42701875239188675,0.4258834034953438,boundary_disagreement,0.40843857634902414,5,0.014498794902077831,DROP_MOD2_RECON
a1,0.16756264865398407,0.14249050468206406,0.13935744762420654,embedding_silhouette,0.11096633225679398,5,0.021658332917122033,DROP_MOD2_RECON
a1,2.0286920690015204,1.8704195011543387,1.797503855384204,embedding_davies_bouldin,1.7679649560068842,5,0.11900237786661345,DROP_MOD2_RECON
a1,13.919162822887301,13.098222019150853,13.128767380490899,runtime_seconds,12.107538672164083,5,0.6961420790199213,DROP_MOD2_RECON
