dataset,geary_c,mean_one_vs_rest_geary_c,predicted_cluster,seed,variant
a1,0.7120710968037375,0.5431955372763317,1,0,FULL_IGE
a1,0.6512569229509231,0.5431955372763317,2,0,FULL_IGE
a1,0.4053009965333485,0.5431955372763317,3,0,FULL_IGE
a1,0.4896761048006667,0.5431955372763317,4,0,FULL_IGE
a1,0.7251727402960931,0.5431955372763317,5,0,FULL_IGE
a1,0.45912387696439166,0.5431955372763317,6,0,FULL_IGE
a1,0.5458958858223263,0.5431955372763317,7,0,FULL_IGE
a1,0.6125016472252514,0.5431955372763317,8,0,FULL_IGE
a1,0.5207797725186747,0.5431955372763317,9,0,FULL_IGE
a1,0.3101763288479049,0.5431955372763317,10,0,FULL_IGE
a1,0.5722131114363943,0.5295227282155452,1,1,FULL_IGE
a1,0.5651025890486269,0.5295227282155452,2,1,FULL_IGE
a1,0.43716533499964405,0.5295227282155452,3,1,FULL_IGE
a1,0.6173861373911053,0.5295227282155452,4,1,FULL_IGE
a1,0.5851241094996268,0.5295227282155452,5,1,FULL_IGE
a1,0.44997039512619286,0.5295227282155452,6,1,FULL_IGE
a1,0.49246273918595224,0.5295227282155452,7,1,FULL_IGE
a1,0.6677032137591477,0.5295227282155452,8,1,FULL_IGE
a1,0.5996041703282112,0.5295227282155452,9,1,FULL_IGE
a1,0.3084954813805511,0.5295227282155452,10,1,FULL_IGE
a1,0.5024035726557433,0.518486579157029,1,2,FULL_IGE
a1,0.39367306775979327,0.518486579157029,2,2,FULL_IGE
a1,0.6085620337237869,0.518486579157029,3,2,FULL_IGE
a1,0.3056444241082795,0.518486579157029,4,2,FULL_IGE
a1,0.6294668540068887,0.518486579157029,5,2,FULL_IGE
a1,0.4292231926235517,0.518486579157029,6,2,FULL_IGE
a1,0.6376990173299534,0.518486579157029,7,2,FULL_IGE
a1,0.47452164236985594,0.518486579157029,8,2,FULL_IGE
a1,0.6169737289665238,0.518486579157029,9,2,FULL_IGE
a1,0.5866982580259129,0.518486579157029,10,2,FULL_IGE
a1,0.5928652047514164,0.5179337675649442,1,3,FULL_IGE
a1,0.4750592948429044,0.5179337675649442,2,3,FULL_IGE
a1,0.5164333563313132,0.5179337675649442,3,3,FULL_IGE
a1,0.47801319216649363,0.5179337675649442,4,3,FULL_IGE
a1,0.6732231567818897,0.5179337675649442,5,3,FULL_IGE
a1,0.40893790385648593,0.5179337675649442,6,3,FULL_IGE
a1,0.6048603224611111,0.5179337675649442,7,3,FULL_IGE
a1,0.607015931789993,0.5179337675649442,8,3,FULL_IGE
a1,0.5222451650064467,0.5179337675649442,9,3,FULL_IGE
a1,0.3006841476613883,0.5179337675649442,10,3,FULL_IGE
a1,0.5271479947923128,0.522277005548345,1,4,FULL_IGE
a1,0.44356604828870977,0.522277005548345,2,4,FULL_IGE
a1,0.6048069048807075,0.522277005548345,3,4,FULL_IGE
a1,0.5093199492193117,0.522277005548345,4,4,FULL_IGE
a1,0.5439448132048533,0.522277005548345,5,4,FULL_IGE
a1,0.6253486153097805,0.522277005548345,6,4,FULL_IGE
a1,0.4211488685826045,0.522277005548345,7,4,FULL_IGE
a1,0.6868071269867785,0.522277005548345,8,4,FULL_IGE
a1,0.5944030455430089,0.522277005548345,9,4,FULL_IGE
a1,0.2662766886753812,0.522277005548345,10,4,FULL_IGE
a1,0.6197888332641677,0.48280569490392694,1,0,DROP_RNA_RECON
a1,0.4733774491909685,0.48280569490392694,2,0,DROP_RNA_RECON
a1,0.3890120686640853,0.48280569490392694,3,0,DROP_RNA_RECON
a1,0.3377970968760985,0.48280569490392694,4,0,DROP_RNA_RECON
a1,0.4774005393197431,0.48280569490392694,5,0,DROP_RNA_RECON
a1,0.6225664143475659,0.48280569490392694,6,0,DROP_RNA_RECON
a1,0.2729865855932162,0.48280569490392694,7,0,DROP_RNA_RECON
a1,0.6090527320853836,0.48280569490392694,8,0,DROP_RNA_RECON
a1,0.5857529709658732,0.48280569490392694,9,0,DROP_RNA_RECON
a1,0.4403222587321675,0.48280569490392694,10,0,DROP_RNA_RECON
a1,0.42070440198388337,0.49669393601963263,1,1,DROP_RNA_RECON
a1,0.5323373823747765,0.49669393601963263,2,1,DROP_RNA_RECON
a1,0.6925817643343349,0.49669393601963263,3,1,DROP_RNA_RECON
a1,0.39569557060784405,0.49669393601963263,4,1,DROP_RNA_RECON
a1,0.33483771388729006,0.49669393601963263,5,1,DROP_RNA_RECON
a1,0.713999716277327,0.49669393601963263,6,1,DROP_RNA_RECON
a1,0.5592838565754413,0.49669393601963263,7,1,DROP_RNA_RECON
a1,0.4350897635714341,0.49669393601963263,8,1,DROP_RNA_RECON
a1,0.23568127005977899,0.49669393601963263,9,1,DROP_RNA_RECON
a1,0.6467279205242159,0.49669393601963263,10,1,DROP_RNA_RECON
a1,0.37267753424856137,0.4188482073547468,1,2,DROP_RNA_RECON
a1,0.3928368414565129,0.4188482073547468,2,2,DROP_RNA_RECON
a1,0.48942916918810997,0.4188482073547468,3,2,DROP_RNA_RECON
a1,0.36118370677184103,0.4188482073547468,4,2,DROP_RNA_RECON
a1,0.3800231920490349,0.4188482073547468,5,2,DROP_RNA_RECON
a1,0.5233120579571013,0.4188482073547468,6,2,DROP_RNA_RECON
a1,0.5194868871994007,0.4188482073547468,7,2,DROP_RNA_RECON
a1,0.6106392412908499,0.4188482073547468,8,2,DROP_RNA_RECON
a1,0.2723259773357818,0.4188482073547468,9,2,DROP_RNA_RECON
a1,0.26656746605027454,0.4188482073547468,10,2,DROP_RNA_RECON
a1,0.4562286665943532,0.4606951926595503,1,3,DROP_RNA_RECON
a1,0.5717212730278437,0.4606951926595503,2,3,DROP_RNA_RECON
a1,0.3993918932947252,0.4606951926595503,3,3,DROP_RNA_RECON
a1,0.3515273996728535,0.4606951926595503,4,3,DROP_RNA_RECON
a1,0.5447343143477268,0.4606951926595503,5,3,DROP_RNA_RECON
a1,0.5914540565135845,0.4606951926595503,6,3,DROP_RNA_RECON
a1,0.4552367539634235,0.4606951926595503,7,3,DROP_RNA_RECON
a1,0.4113849356490436,0.4606951926595503,8,3,DROP_RNA_RECON
a1,0.23672257757524023,0.4606951926595503,9,3,DROP_RNA_RECON
a1,0.588550055956709,0.4606951926595503,10,3,DROP_RNA_RECON
a1,0.4538559771473769,0.4316766444955462,1,4,DROP_RNA_RECON
a1,0.4091527955625473,0.4316766444955462,2,4,DROP_RNA_RECON
a1,0.47202574495219385,0.4316766444955462,3,4,DROP_RNA_RECON
a1,0.3377970968760985,0.4316766444955462,4,4,DROP_RNA_RECON
a1,0.3863503096893398,0.4316766444955462,5,4,DROP_RNA_RECON
a1,0.3452161128578962,0.4316766444955462,6,4,DROP_RNA_RECON
a1,0.5549063593324651,0.4316766444955462,7,4,DROP_RNA_RECON
a1,0.50931748399391,0.4316766444955462,8,4,DROP_RNA_RECON
a1,0.6294047895861737,0.4316766444955462,9,4,DROP_RNA_RECON
a1,0.21873977495746155,0.4316766444955462,10,4,DROP_RNA_RECON
a1,0.5547564051718185,0.5462665165346282,1,0,DROP_MOD2_RECON
a1,0.41334588603926303,0.5462665165346282,2,0,DROP_MOD2_RECON
a1,0.6496686739243154,0.5462665165346282,3,0,DROP_MOD2_RECON
