ablation,ari_bootstrap_ci_high,ari_bootstrap_ci_low,ari_full_minus_ablation,ari_full_minus_ablation_macro_mean,ari_full_minus_ablation_max,ari_full_minus_ablation_mean,ari_full_minus_ablation_median,ari_full_minus_ablation_min,ari_full_minus_ablation_sd,ari_full_win_count,ari_full_win_count_15,boundary_disagreement_bootstrap_ci_high,boundary_disagreement_bootstrap_ci_low,boundary_disagreement_full_minus_ablation,boundary_disagreement_full_minus_ablation_macro_mean,boundary_disagreement_full_minus_ablation_max,boundary_disagreement_full_minus_ablation_mean,boundary_disagreement_full_minus_ablation_median,boundary_disagreement_full_minus_ablation_min,boundary_disagreement_full_minus_ablation_sd,boundary_disagreement_full_win_count,boundary_disagreement_full_win_count_15,dataset,nmi_bootstrap_ci_high,nmi_bootstrap_ci_low,nmi_full_minus_ablation,nmi_full_minus_ablation_macro_mean,nmi_full_minus_ablation_max,nmi_full_minus_ablation_mean,nmi_full_minus_ablation_median,nmi_full_minus_ablation_min,nmi_full_minus_ablation_sd,nmi_full_win_count,nmi_full_win_count_15,row_type,seed,spatial_cluster_geary_mean_bootstrap_ci_high,spatial_cluster_geary_mean_bootstrap_ci_low,spatial_cluster_geary_mean_full_minus_ablation,spatial_cluster_geary_mean_full_minus_ablation_macro_mean,spatial_cluster_geary_mean_full_minus_ablation_max,spatial_cluster_geary_mean_full_minus_ablation_mean,spatial_cluster_geary_mean_full_minus_ablation_median,spatial_cluster_geary_mean_full_minus_ablation_min,spatial_cluster_geary_mean_full_minus_ablation_sd,spatial_cluster_geary_mean_full_win_count,spatial_cluster_geary_mean_full_win_count_15,spatial_cluster_moran_mean_bootstrap_ci_high,spatial_cluster_moran_mean_bootstrap_ci_low,spatial_cluster_moran_mean_full_minus_ablation,spatial_cluster_moran_mean_full_minus_ablation_macro_mean,spatial_cluster_moran_mean_full_minus_ablation_max,spatial_cluster_moran_mean_full_minus_ablation_mean,spatial_cluster_moran_mean_full_minus_ablation_median,spatial_cluster_moran_mean_full_minus_ablation_min,spatial_cluster_moran_mean_full_minus_ablation_sd,spatial_cluster_moran_mean_full_win_count,spatial_cluster_moran_mean_full_win_count_15,spatial_neighbor_agreement_bootstrap_ci_high,spatial_neighbor_agreement_bootstrap_ci_low,spatial_neighbor_agreement_full_minus_ablation,spatial_neighbor_agreement_full_minus_ablation_macro_mean,spatial_neighbor_agreement_full_minus_ablation_max,spatial_neighbor_agreement_full_minus_ablation_mean,spatial_neighbor_agreement_full_minus_ablation_median,spatial_neighbor_agreement_full_minus_ablation_min,spatial_neighbor_agreement_full_minus_ablation_sd,spatial_neighbor_agreement_full_win_count,spatial_neighbor_agreement_full_win_count_15
DROP_RNA_RECON,,,-0.012689126413918589,,,,,,,,,,,0.04546179359612201,,,,,,,,,a1,,,0.004102207433450744,,,,,,,,,seed,0,,,0.0603898423724048,,,,,,,,,,,-0.05824600753639719,,,,,,,,,,,-0.04546179359612201,,,,,,,,
DROP_RNA_RECON,,,0.0597634929718768,,,,,,,,,,,-0.016488072458221814,,,,,,,,,a1,,,0.021370527812499207,,,,,,,,,seed,1,,,0.032828792195912615,,,,,,,,,,,-0.03415402493562103,,,,,,,,,,,0.016488072458221814,,,,,,,,
DROP_RNA_RECON,,,0.04091587933293567,,,,,,,,,,,0.0620614874346217,,,,,,,,,a1,,,0.019883160573012426,,,,,,,,,seed,2,,,0.09963837180228219,,,,,,,,,,,-0.0973575619817939,,,,,,,,,,,-0.0620614874346217,,,,,,,,
DROP_RNA_RECON,,,0.021063075846092044,,,,,,,,,,,0.015403750478377387,,,,,,,,,a1,,,-0.0014707364126963496,,,,,,,,,seed,3,,,0.05723857490539397,,,,,,,,,,,-0.06108176781778174,,,,,,,,,,,-0.015403750478377387,,,,,,,,
DROP_RNA_RECON,,,0.05233296633589063,,,,,,,,,,,0.052780966960071396,,,,,,,,,a1,,,0.04653264875674851,,,,,,,,,seed,4,,,0.09060036105279878,,,,,,,,,,,-0.08756809482513239,,,,,,,,,,,-0.052780966960071396,,,,,,,,
DROP_RNA_RECON,0.05302175958969411,0.007562194942087791,,,0.0597634929718768,0.03227725761457531,0.04091587933293567,-0.012689126413918589,0.029069244645151666,4,,0.05502934047710164,0.0037441000127566683,,,0.0620614874346217,0.031843985202194135,0.04546179359612201,-0.016488072458221814,0.032183724408519535,4,,a1,0.032716662855341735,0.004212105201572181,,,0.04653264875674851,0.018083561632602906,0.019883160573012426,-0.0014707364126963496,0.018716584213591674,4,,dataset_summary,,0.08935081027300787,0.04810491531500359,,,0.09963837180228219,0.06813918846575848,0.0603898423724048,0.032828792195912615,0.027029625646932603,5,,-0.04917636655236364,-0.08618661628632687,,,-0.03415402493562103,-0.06768149141934525,-0.06108176781778174,-0.0973575619817939,0.025163574247243543,0,,-0.0037441000127566683,-0.05502934047710164,,,0.016488072458221814,-0.031843985202194135,-0.04546179359612201,-0.0620614874346217,0.032183724408519535,1,
DROP_RNA_RECON,,,0.3383593764734259,,,,,,,,,,,0.017448856799037404,,,,,,,,,placenta,,,0.2629308634988284,,,,,,,,,seed,0,,,0.03919782631258162,,,,,,,,,,,-0.036677495794213366,,,,,,,,,,,-0.017448856799037293,,,,,,,,
DROP_RNA_RECON,,,0.2600445366817167,,,,,,,,,,,0.016245487364620947,,,,,,,,,placenta,,,0.23319533129444853,,,,,,,,,seed,1,,,-0.04705987355225005,,,,,,,,,,,0.025628635589268423,,,,,,,,,,,-0.016245487364620892,,,,,,,,
DROP_RNA_RECON,,,0.34480065426822737,,,,,,,,,,,0.017448856799037404,,,,,,,,,placenta,,,0.2670120756042895,,,,,,,,,seed,2,,,0.010129877142555865,,,,,,,,,,,-0.012202197198473708,,,,,,,,,,,-0.017448856799037293,,,,,,,,
DROP_RNA_RECON,,,0.1697460207607253,,,,,,,,,,,-0.0403128760529482,,,,,,,,,placenta,,,0.1381590316786,,,,,,,,,seed,3,,,-0.0718447000215322,,,,,,,,,,,0.10797623761472752,,,,,,,,,,,0.040312876052948254,,,,,,,,
