fraction_of_training,state_file_saved,state_sha256,step
0.0,False,5433a390e72bc7bf9cc8e07c3d33f178a13bc7e6ac6235caef81251a9d5caf94,0
0.000625,False,ade8543f7e4bb3a73ddb55666399d3dc0c7bb047166c0dca4ca8e887752d6253,1
0.003125,False,63b86e1c7b51e3929a77f5afb5da2452ae61c913de666b4467bfd8553ceedfb8,5
0.00625,False,14a7647910f5b3a709e46a803a7490d01ac25c27edf27d82c9f9943c4a4245d6,10
0.0125,False,6f29da187c19a0c403e2524caa20de2526868e449555f2fc4bfa15c0a1d0fa70,20
0.025,False,2af32fa1f63a82384722e5cf39f0cbe391e68fcd8e98fc4de7da6b6e4e279353,40
0.05,False,4266282f8c6d675dca67f0b5f3d26978dd4fc9136338e3df2b23c7593f149560,80
0.2,False,d1aa73bdc51501268121972f54a92451be7c91573a5f473fd90a52a9f532f1ef,320
0.5,False,35e71700d367e65a08a3d3fa6bddea06257432d130614e1fdee1d2b97ccb19ee,800
1.0,False,dc859cf7d473b505fbdf54664a24e48f60a79a7df587ba868189cbcac940e27a,1600
