fraction_of_training,state_file_saved,state_sha256,step
0.0,False,1280b01fd58ef7b77188a9b0072ace34226f2aa6498496f8fbdd386482c71d60,0
0.000625,False,14ab22389d19088ffb7fff3cde0f7871f4d14f92b0e1a3a1028f26f971f5e40c,1
0.003125,False,245814e6b356e607fc63ef817d21813abd19517e00a9a609c8181297e8befc76,5
0.00625,False,7074477b5b1ee918efa3b1549c056e4569433f7a06c0c6c6cbe5b72b4f49df5e,10
0.0125,False,7f1b7b1fc4549ab02e8a398ab13e92bc3f8ac1fb2c5ecb6ce98a4dbe1d0fe4d4,20
0.025,False,16df05d37dd615aa1ff627acc5c1609cc281363a53da7960d4bdaa18a33e32fb,40
0.05,False,cf9b5b33d72f2451790cb8c3798269fce0f25d2ba4335582f5d48e06cfe1ee10,80
0.2,False,fe590e93aed62a021651fc707d7204a901f68d31b983d4cc31d524548b0a1d72,320
0.5,False,4670db96f4c8b2ab7bc550dab516d0fd3b7965ea80e5cefcb358424d1e3559cb,800
1.0,False,fa663911f27cbb42335b542c78df03f06fee3fa3f2112c3a19e7405f71b83345,1600
