fraction_of_training,state_file_saved,state_sha256,step
0.0,False,444eaef47d8295ef702a7983d43591a1a249f8b41c4ddc814f0d17e9e134c818,0
0.000625,False,9ecc29df70581280d605bd4b764347779966b08caaa5222dea584aeb55da3fc0,1
0.003125,False,1f545f3d1cd4aa821dcd7ea7b41d7bca2cac0e291ace3c34f984baa6775d8da1,5
0.00625,False,b9360c69316e6a90d27f8933a4a83fd0d451b6ce8da35d7597b869bfc4c69ec8,10
0.0125,False,6ce5a48930b1af3108d65cd65cf075bc41352d952946e634eb805b6162ec4c62,20
0.025,False,f8dde1c19559b97f1d5aee972f7277c286aee9d260c57e32ddb925f1b6cb332f,40
0.05,False,3b13346f5d6f40cd4cd6627723401ae9a4cad237b264672def0afd4defea749c,80
0.2,False,83f8658ec0b5c05e64a3dc834a372ed30c3da05a809cdeead084ae1e6a11b0f5,320
0.5,False,4924dc90dbde925ee26008ebd36b2b8a4446a2b32ef7b44a6f05cfb3d4a412f6,800
1.0,False,338f200e47c692226f3caa93b0d5b6d177cc115d73e26a3e95058fdd5735815e,1600
