fraction_of_training,state_file_saved,state_sha256,step
0.0,False,5433a390e72bc7bf9cc8e07c3d33f178a13bc7e6ac6235caef81251a9d5caf94,0
0.000625,False,7e68cf9d565b12be013eba819573e37ab6f426f5558dfa50127223534ce42662,1
0.003125,False,5e1977a488c17b79413072f3017392c32be994772086a3f8a7495c2fe5f4f833,5
0.00625,False,f9478a78b3029fced92709103f1e78baffea68e9ba2c91f0aa4296c0b9a88329,10
0.0125,False,cb1da5971f15fa476cd2664101e96809ec885b6457df0dafbd6ce63a57011426,20
0.025,False,0e55cd019d0f55a148642dabb9bfc74d859a5689dc8663a99a6d86b68a0772f4,40
0.05,False,09b3f84a704a512d3ee966fb21ba3a66fe53d518eac62002d7e7b647354b473b,80
0.2,False,1ec10f5a6c35e2480a58cbd43b6f94bcd5f5c692be517c3d3e291b2aaadb3a4d,320
0.5,False,a7430165b19953832eb48cb14e2ba355f50b3a7e66072271bc3adc02b2e63a56,800
1.0,False,da739c12e8de5279fd43c2fe498eedc894e147a0183f43e84618f9e4f53514b4,1600
