fraction_of_training,state_file_saved,state_sha256,step
0.0,False,5433a390e72bc7bf9cc8e07c3d33f178a13bc7e6ac6235caef81251a9d5caf94,0
0.000625,False,2dd9ec69adcde8a3f8fd7e1b8445859f8038984cdbce478af0d09590343ede37,1
0.003125,False,68e3c5060467bfc8dd73b126a40c0add09407f42c18ad56b85c5a3d6be3ffdf1,5
0.00625,False,16ff7f7ced7b1045f101d6fa0ded49ae4770423520c9032857eb881023599875,10
0.0125,False,b223aba56e0f00cc04d81e89a7ba4fd3506d992107ee2779a9e859846a519e5d,20
0.025,False,521529c8704f1cc1720aacebc3a45bccb7ca4173737b61bb4cc0a90cf9a79ab9,40
0.05,False,5238a470b880d6d5f8d00875b0047be6788948045444825b6e08aa1f84174427,80
0.2,False,f5b24bf22a705c921a5def460ece2a314243c80338e84eda6e1dcf6e1e19e59a,320
0.5,False,c854797cdd2a16ab648e132a0cede04da938ddc10ccb39862e3b88f33c90f88b,800
1.0,False,2d3e23171088e89da37686aa9f375725e4c29c8c332ec8b50a0af74ef0118d59,1600
