corr1_raw_rms_gradient,corr1_weighted_gradient_influence,corr1_weighted_gradient_share,corr2_raw_rms_gradient,corr2_weighted_gradient_influence,corr2_weighted_gradient_share,diagnostic_grad_fields_unchanged,diagnostic_optimizer_state_unchanged,diagnostic_parameter_state_unchanged,diagnostic_rng_state_unchanged,fraction_of_training,mod2_recon_raw_rms_gradient,mod2_recon_weighted_gradient_influence,mod2_recon_weighted_gradient_share,rna_recon_raw_rms_gradient,rna_recon_weighted_gradient_influence,rna_recon_weighted_gradient_share,step
0.00014782697334789996,1.5178204114057336e-05,0.2500000148936991,0.00011331929683523153,1.5178204066536341e-05,0.2500000141109814,True,True,True,True,0.0,0.00018253164666979862,1.5178204133542714e-05,0.25000001521464255,4.124254605021426e-06,1.5178200525139483e-05,0.2499999557806769,0
0.00013918008002974632,1.4290380269984301e-05,0.24284232987608545,0.00011007322898445576,1.474341950972307e-05,0.25054101265603457,True,True,True,True,0.000625,0.00018066519747718575,1.5023001748820835e-05,0.2552920690346448,4.018644199304379e-06,1.4789530069740585e-05,0.25132458843323513,1
0.00011306197220536249,1.1608691247653469e-05,0.22038708807019117,9.787165980049248e-05,1.3109117919629042e-05,0.2488721823883285,True,True,True,True,0.003125,0.0001742601015669463,1.4490393540906062e-05,0.27509523419506166,3.6589834090040864e-06,1.3465896075476157e-05,0.2556454953464186,5
9.588276541494837e-05,9.844808099150859e-06,0.20753998927041223,8.441717244988295e-05,1.130699806606945e-05,0.23836465207636,True,True,True,True,0.00625,0.00016822371846862602,1.3988445212678267e-05,0.29489267237209044,3.3409512992082493e-06,1.2295465149597535e-05,0.2592026862811373,10
8.459843613660488e-05,8.686184275649815e-06,0.20841033115542174,6.332029921103966e-05,8.481242381663747e-06,0.20349309631008333,True,True,True,True,0.0125,0.00015996665545155598,1.3301838860831052e-05,0.31915517262664406,3.0457386740884982e-06,1.1209015148143967e-05,0.2689413999078509,20
8.508397712639867e-05,8.736037425463603e-06,0.2281478067694593,3.950450129492909e-05,5.291308708639657e-06,0.138186275770472,True,True,True,True,0.025,0.00014961556857884823,1.2441106421145086e-05,0.32490830859954334,3.212484482086461e-06,1.1822677870963752e-05,0.3087576088605252,40
9.824799722874431e-05,1.0087659389641457e-05,0.26784353840041897,2.5903846550124474e-05,3.469610913820928e-06,0.09212373536172089,True,True,True,True,0.05,0.00013710820978884639,1.140107172935529e-05,0.30271674286338507,3.4520043813776397e-06,1.27041658995584e-05,0.3373159833744749,80
6.250811515423115e-05,6.418050164384287e-06,0.2962811609751585,1.574781723777968e-05,2.109292859318423e-06,0.0973728346131473,True,True,True,True,0.2,8.472839369274344e-05,7.045489803212389e-06,0.32524611760099353,1.6545691484061422e-06,6.0891930111786175e-06,0.2810998868107007,320
4.7320655795347166e-05,4.858670621514371e-06,0.32049780687426205,1.5037406565936518e-05,2.014139090724544e-06,0.1328608608409302,True,True,True,True,0.5,4.075143001737638e-05,3.3886371751001154e-06,0.2235283820440738,1.330981266747252e-06,4.898315573751782e-06,0.32311295024073394,800
4.2504648455887434e-05,4.3641847996265995e-06,0.3478848357250348,1.4185619196140207e-05,1.9000490559190413e-06,0.15145973051930758,True,True,True,True,1.0,2.7430421152888046e-05,2.2809443695029707e-06,0.18182226319801503,1.0868167266022493e-06,3.999734204178439e-06,0.31883317055764265,1600
