fraction_of_training,state_file_saved,state_sha256,step
0.0,False,5433a390e72bc7bf9cc8e07c3d33f178a13bc7e6ac6235caef81251a9d5caf94,0
0.000625,False,c24fdc1a542990629391df62ae8a1ffedc96e7a4481bcedd3fe8fd4d57a36e28,1
0.003125,False,5d008e9d3215d3202ec5144db47b675c7c9898ac7f4e8eb5c69d9aa6c20a2c32,5
0.00625,False,1fc1ad6ca95178f6b3b32b5afe4b914ebce13c193afadf4b9a2e60985c694935,10
0.0125,False,d7d1d27b730197fb87760f3a4682fca4b1dd4e8399f2c5ed2cae12a01c171d67,20
0.025,False,18a2e90514d320e2add7f10f25ff1853fe2622df93aa0b47a4fdd78882062414,40
0.05,False,d340a37347d06edc6b89cc1cf8539c6abaf93a90b79e7c51cbd06fa2944fe7a6,80
0.2,False,48014f38c2d923f298c91bbe7f14b17c1fbf589bc5769bb27f5682c28ed82d63,320
0.5,False,6a52ac8afd7ddc1e7d752ffbbfb4981b93bb00304cb156a2915038628ef718d5,800
1.0,False,32dd5b466cb9fd79d41ee91e98cc9becbfa2351a47c1795a3c7422bdcc51c98f,1600
