fraction_of_training,state_file_saved,state_sha256,step
0.0,False,444eaef47d8295ef702a7983d43591a1a249f8b41c4ddc814f0d17e9e134c818,0
0.000625,False,374d1a4a464529884885d9e74fd639f44c6adc3ee95a5d66a127e605304743a7,1
0.003125,False,4fb191daa0e67f96cd8775361e1daafe4e86b609e3f3da924eb12f30bb8abb99,5
0.00625,False,29e9938870a2f70ce233adebe1dbe575998898c329fe716ad0d943fc14bd420e,10
0.0125,False,e80340f11f2ba2d92c3880ce8f39f2bf15916475d0aea46edffb506d3871de40,20
0.025,False,b1e2d89d7394712c27eaceef4d7a0b0e32930a35e5454e30ff1a23345f4b687a,40
0.05,False,fdead62b3ad59faac8d60dbcda99a36acbdf756c8711c20c4e418c0dd8a0d21b,80
0.2,False,21e6bb121866a32cfbef06d35426b115403dfa9452edd5d84ca9fd581d1f324b,320
0.5,False,843ee219bab1076059bc697b3ff60eca0d9501a128f42f9e50aab639887136a2,800
1.0,False,852f11777aa04e67459d9ca0771364f5436215265becb2fcdae6aadbc3bfc714,1600
