ablation,dataset,metric,scope,n_finite,n_missing,positive_delta_count,negative_delta_count,tie_count,full_win_count_corrected,direction,full_win_rule,delta_definition,delta_mean,delta_sd
DROP_RNA_RECON,a1,ari,five_seed,5,0,4,1,0,4,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.03227725761457531,0.029069244645151666
DROP_RNA_RECON,placenta,ari,five_seed,5,0,5,0,0,5,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.27827754819928646,0.0709695539661238
DROP_RNA_RECON,p22,ari,five_seed,5,0,2,3,0,2,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.017587520797881083,0.043803069884096345
DROP_RNA_RECON,ALL,ari,fifteen_seed,15,0,11,4,0,11,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.09765576167199357,0.1419505934170371
DROP_RNA_RECON,a1,nmi,five_seed,5,0,4,1,0,4,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.018083561632602906,0.018716584213591674
DROP_RNA_RECON,placenta,nmi,five_seed,5,0,5,0,0,5,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.2253609802262467,0.05199011506900484
DROP_RNA_RECON,p22,nmi,five_seed,5,0,2,3,0,2,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.0004130017022588639,0.010424137465633558
DROP_RNA_RECON,ALL,nmi,fifteen_seed,15,0,11,4,0,11,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.08101051338553025,0.11012363754375555
DROP_RNA_RECON,a1,spatial_neighbor_agreement,five_seed,5,0,1,4,0,1,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.031843985202194135,0.032183724408519535
DROP_RNA_RECON,placenta,spatial_neighbor_agreement,five_seed,5,0,1,4,0,1,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.003008423586040898,0.024851836856875302
DROP_RNA_RECON,p22,spatial_neighbor_agreement,five_seed,5,0,0,5,0,0,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.027419530230535026,0.011628327442030293
DROP_RNA_RECON,ALL,spatial_neighbor_agreement,fifteen_seed,15,0,2,13,0,2,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.020757313006256686,0.026139882249334313
DROP_RNA_RECON,a1,spatial_cluster_moran_mean,five_seed,5,0,0,5,0,0,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.06768149141934525,0.025163574247243543
DROP_RNA_RECON,placenta,spatial_cluster_moran_mean,five_seed,5,0,3,2,0,3,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.019958196291503038,0.05487521648463894
DROP_RNA_RECON,p22,spatial_cluster_moran_mean,five_seed,5,0,0,5,0,0,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.022206272952755613,0.007103240008922984
DROP_RNA_RECON,ALL,spatial_cluster_moran_mean,fifteen_seed,15,0,3,12,0,3,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.02330985602686594,0.04927381574946857
DROP_RNA_RECON,a1,spatial_cluster_geary_mean,five_seed,5,0,5,0,0,0,lower_is_better,delta < 0,FULL_IGE - ABLATION,0.06813918846575848,0.027029625646932603
DROP_RNA_RECON,placenta,spatial_cluster_geary_mean,five_seed,5,0,2,3,0,3,lower_is_better,delta < 0,FULL_IGE - ABLATION,-0.015316015332323695,0.04441711351516435
DROP_RNA_RECON,p22,spatial_cluster_geary_mean,five_seed,5,0,5,0,0,0,lower_is_better,delta < 0,FULL_IGE - ABLATION,0.020720356279473474,0.006683557989110311
DROP_RNA_RECON,ALL,spatial_cluster_geary_mean,fifteen_seed,15,0,12,3,0,3,lower_is_better,delta < 0,FULL_IGE - ABLATION,0.02451450980430275,0.04512878155253334
DROP_RNA_RECON,a1,boundary_disagreement,five_seed,5,0,4,1,0,1,lower_is_better,delta < 0,FULL_IGE - ABLATION,0.031843985202194135,0.032183724408519535
DROP_RNA_RECON,placenta,boundary_disagreement,five_seed,5,0,4,1,0,1,lower_is_better,delta < 0,FULL_IGE - ABLATION,0.0030084235860409645,0.024851836856875316
DROP_RNA_RECON,p22,boundary_disagreement,five_seed,5,0,5,0,0,0,lower_is_better,delta < 0,FULL_IGE - ABLATION,0.027419530230535026,0.011628327442030293
DROP_RNA_RECON,ALL,boundary_disagreement,fifteen_seed,15,0,13,2,0,2,lower_is_better,delta < 0,FULL_IGE - ABLATION,0.02075731300625671,0.026139882249334296
DROP_MOD2_RECON,a1,ari,five_seed,5,0,2,3,0,2,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.009103270032743272,0.017095554910398703
DROP_MOD2_RECON,placenta,ari,five_seed,5,0,2,3,0,2,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.010159819463183895,0.07188641567135241
DROP_MOD2_RECON,p22,ari,five_seed,5,0,5,0,0,5,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.1269457259480359,0.05260249484745807
DROP_MOD2_RECON,ALL,ari,fifteen_seed,15,0,9,6,0,9,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.03589421215070292,0.08241375399142378
DROP_MOD2_RECON,a1,nmi,five_seed,5,0,2,3,0,2,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.0007896263324387864,0.012978286100356317
DROP_MOD2_RECON,placenta,nmi,five_seed,5,0,4,1,0,4,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.028813726081801105,0.03366341129316216
DROP_MOD2_RECON,p22,nmi,five_seed,5,0,5,0,0,5,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.0760409176361532,0.03832512308606403
DROP_MOD2_RECON,ALL,nmi,fifteen_seed,15,0,11,4,0,11,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.03521475668346437,0.04271675480178873
DROP_MOD2_RECON,a1,spatial_neighbor_agreement,five_seed,5,0,3,2,0,3,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.00364842454394696,0.017570684727451744
DROP_MOD2_RECON,placenta,spatial_neighbor_agreement,five_seed,5,0,0,5,0,0,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.05174488567990374,0.020279542173709655
DROP_MOD2_RECON,p22,spatial_neighbor_agreement,five_seed,5,0,3,2,0,3,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.0018690191387559895,0.026935969954522132
DROP_MOD2_RECON,ALL,spatial_neighbor_agreement,fifteen_seed,15,0,6,9,0,6,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.016655160091570923,0.032833903270633034
