candidate_id,family,final,r0,r1,r2,r3
C00_FULL_IGE,reference,REFERENCE,PASS,REFERENCE,REFERENCE,REFERENCE
C01_DROP_CORR2,historical_replication,STOPPED,PASS,FAIL_GATE,NOT_RUN,NOT_RUN
C02_UNIFORM_ALL,historical_replication,STOPPED,PASS,FAIL_GATE,NOT_RUN,NOT_RUN
C03_SIMPLE_BASE,simplified_base,STOPPED,PASS,ADVANCE,PASS_GATE_CAP_STOP,NOT_RUN
C04_SHRINK25,fusion,SELECTED_FOR_LOCKED_P22,PASS,ADVANCE,ADVANCE,SELECT
C05_SHRINK50,fusion,STOPPED,PASS,FAIL_GATE,NOT_RUN,NOT_RUN
C06_RELIABILITY25,fusion,STOPPED,PASS,PASS_GATE_CAP_STOP,NOT_RUN,NOT_RUN
C07_RELIABILITY50,fusion,STOPPED,PASS,PASS_GATE_CAP_STOP,NOT_RUN,NOT_RUN
C08_RNA_ANCHOR05,graph,STOPPED,PASS,PASS_GATE_CAP_STOP,NOT_RUN,NOT_RUN
C09_RNA_ANCHOR10,graph,STOPPED,PASS,ADVANCE,ADVANCE,FAIL_GATE
C10_MNN_TRIPLET01,metric_learning,STOPPED,PASS,ADVANCE,ADVANCE,FAIL_GATE
C11_MNN_TRIPLET03,metric_learning,STOPPED,PASS,FAIL_GATE,NOT_RUN,NOT_RUN
C12_NEIGHBOR_CONTRAST,metric_learning,STOPPED,PASS,FAIL_GATE,NOT_RUN,NOT_RUN
C13_HYBRID_IGE25,loss_calibration,STOPPED,PASS,ADVANCE,FAIL_GATE,NOT_RUN
C14_HYBRID_IGE50,loss_calibration,STOPPED,PASS,PASS_GATE_CAP_STOP,NOT_RUN,NOT_RUN
C15_RESIDUAL_ENCODER,encoder,STOPPED,PASS,FAIL_GATE,NOT_RUN,NOT_RUN
C16_DGI01,global_contrast,STOPPED,PASS,FAIL_GATE,NOT_RUN,NOT_RUN
