candidate_id,config_sha256,five_seed_available,invalidated,future_p22_locked,terminal_status
B00_C00_FULL_IGE,c07fc7067c342250897fc538147a1c68648653fb04f2325cb4662d8e889b91ac,False,False,False,BUDGET_EXHAUSTED
B01_C04_SHRINK25,d643bfdebfbba447d7656ba334ccdfb9cc932874c7f34ba23d9c95ff840b3820,True,False,False,BUDGET_EXHAUSTED
B02_C09_RNA_ANCHOR10,9b899da8fb845f1076f08a5ae6dd9bb0250698205de590878bba7ad654111376,True,False,False,BUDGET_EXHAUSTED
B03_C10_MNN_TRIPLET01,8a0310567085e05b092775eb5e5148c7ccfe33ad6d8e61b425b4886330708bd6,True,False,False,BUDGET_EXHAUSTED
B04_SECONDLOOK_RELIABILITY25,348aec3bc80f2caad6fa00644ebb3464a1a0c57eb3ac92a1103ed3f8db5b9aaa,False,False,False,BUDGET_EXHAUSTED
B05_SECONDLOOK_RELIABILITY50,0f190a069ed78c0b31d74965f9230199c027c852732cca2a3ff88b12f60c4a96,False,False,False,BUDGET_EXHAUSTED
B06_SECONDLOOK_RNA_ANCHOR05,19cc0feaafd1cc2554eb33f2fe0a4e71a374be41d608668a90ff64355f648843,True,False,False,BUDGET_EXHAUSTED
B07_SECONDLOOK_HYBRID_IGE50,641d51390a71303b9a9c56cbd38c7c123a681cafcfa1ab0e4dbcba268348ab84,False,False,False,BUDGET_EXHAUSTED
B08_SECONDLOOK_DGI01,7f1a870c42a2c634a912b8af812e89017b19632d6fd636b8774b17e60a699906,False,False,False,BUDGET_EXHAUSTED
B09_SHRINK25_ANCHOR05,18961ffadad43f88d1227f392a7dc6eadd26cd2ee584eb8f88aa54febc1c450b,True,False,False,BUDGET_EXHAUSTED
B10_SHRINK25_ANCHOR10,4984e467294a3047924984952eaf0e8e63ee63c64319c2ffe8b4f3bd60e3d22f,True,False,False,BUDGET_EXHAUSTED
B11_SHRINK25_MNN005,14a887c5d64e5ada30b57c441842b0fdca99665f3522ccd7e6aa7c96a2245a82,False,False,False,BUDGET_EXHAUSTED
B12_SHRINK25_MNN010,2ca5ea986611fb9567dba2ca79b72f79e8eb2a997f4d2130e428192afa3644ef,False,False,False,BUDGET_EXHAUSTED
B13_SHRINK25_DGI010,d6a782b64b549efe98fbe74f2e6950f1c037102d070b7cbd52fdbbee2e0b3ace,False,False,False,BUDGET_EXHAUSTED
B14_LATENT_RELIABILITY25,6eff0375dd86c47f482f90232b5cd94367040991325614373cb2d3e18b52ef33,False,False,False,BUDGET_EXHAUSTED
B15_LATENT_RELIABILITY50,b220a7fd1067b423bab99a4ce01823b2706d2dd131c0dfd5ee17361196e3a8a2,True,False,False,BUDGET_EXHAUSTED
B16_SHRINK25_ANCHOR05_MNN005,59c27a972e7b1b390dbbdf5b0b2e2c7867f61390e9f993ddd17e34fcaf7b7750,False,False,False,BUDGET_EXHAUSTED
B17_C09_DIFFUSE10,fda31ad9ccef53f07606d42004bdd8556794c41b1824cc49ad52656760bfc738,True,False,False,BUDGET_EXHAUSTED
B18_C09_DIFFUSE25,3784046c7630e5dd6ee48be321eef2d47706c8d1b66763472e5edc38054b7e73,True,False,False,BUDGET_EXHAUSTED
B19_C10_DIFFUSE10,9dd154092001d51d03d6d4ee74b581519d205a355da5ddb2f1860a084da12d48,True,False,False,BUDGET_EXHAUSTED
B20_C10_DIFFUSE25,340ca99b132b4d981618a83e1fefa0d4e68f97d20a6986b0bf5c884be9834aa4,True,False,False,BUDGET_EXHAUSTED
B21_C09_LAPLACIAN005,cebf5449516bd4a4647b0a3861b496dff279272fd782183a0309b1f1f4b4048f,False,True,False,BUDGET_EXHAUSTED
B22_C09_LAPLACIAN010,b08142a817499e91323658a9cbd6e712916a9a048cebf270a2a31a0aeced4e55,False,True,False,BUDGET_EXHAUSTED
B23_C10_LAPLACIAN005,d26fe46a9ba39a7f7d9c1fcb8ff88ec2aa960c987182f1349e347a095a60f955,False,True,False,BUDGET_EXHAUSTED
B24_C10_LAPLACIAN010,c600f9e2b0708328a6fe4027fc259d4973faddf598bf68fe806cbd34ad6f33b6,False,True,False,BUDGET_EXHAUSTED
