accuracy_frontier,balanced_frontier,candidate_id,complete,dataset_delta_q,dev_macro_delta_ari,dev_macro_delta_nmi,dev_macro_delta_q,gpu_peak_ratio,invalidated_by_final_audit,paired_q_total,paired_q_wins,runtime_ratio,runtime_seconds_mean,spatial_protection_failed,worst_dataset_delta_q
False,True,B01_C04_SHRINK25,True,"{'a1': 0.013413417225611379, 'placenta': 0.05183514562648104}",0.040029788213187756,0.025218774638904602,0.03262428142604621,0.9680401513237136,False,10,8,0.842730729286388,4.021237077843398,False,0.013413417225611379
True,False,B02_C09_RNA_ANCHOR10,True,"{'a1': 0.005086545209451199, 'placenta': 0.10884526414738038}",0.060776408916170976,0.05315540044066058,0.056965904678415794,0.8868090998354081,False,10,9,0.6454332368361195,3.0797975830733777,True,0.005086545209451199
True,False,B03_C10_MNN_TRIPLET01,True,"{'a1': -0.0023331220240252136, 'placenta': 0.13307520158559932}",0.06956927053864619,0.06117280902292793,0.06537103978078705,0.8885177322101488,False,10,7,0.6921132484976432,3.302539423573762,True,-0.0023331220240252136
True,False,B06_SECONDLOOK_RNA_ANCHOR05,True,"{'a1': 0.0034458707484030125, 'placenta': 0.10208774591921357}",0.053612616885527445,0.05192099978208908,0.05276680833380829,0.8877110659000877,False,10,8,0.6630042524934833,3.163640757650137,True,0.0034458707484030125
False,True,B09_SHRINK25_ANCHOR05,True,"{'a1': 0.01283507446174672, 'placenta': 0.057122398522673826}",0.044682689615242896,0.025274783369177586,0.034978736492210276,0.9670846944290222,False,10,9,0.8981517341847609,4.285688096471131,False,0.01283507446174672
False,True,B10_SHRINK25_ANCHOR10,True,"{'a1': 0.013639151144201367, 'placenta': 0.0552581549402229}",0.04206079893457771,0.02683650714984656,0.03444865304221213,0.9670846944290222,False,10,9,0.8535913107428522,4.073060241900384,False,0.013639151144201367
False,False,B15_LATENT_RELIABILITY50,True,"{'a1': -0.0017418841653993212, 'placenta': 0.07757206075108958}",0.04872192908993194,0.027108247495758252,0.03791508829284513,0.9687933268037631,False,10,8,0.9016264048511161,4.302268095314503,False,-0.0017418841653993212
True,True,B17_C09_DIFFUSE10,True,"{'a1': 0.013591890052601242, 'placenta': 0.11018527640478581}",0.07075586375458867,0.05302130270279839,0.061888583228693526,0.0,False,10,8,0.0,0.0,False,0.013591890052601242
False,True,B18_C09_DIFFUSE25,True,"{'a1': 0.0008115500019452382, 'placenta': 0.09687976271855418}",0.061148378431957404,0.036542934288542,0.04884565636024971,0.0,False,10,8,0.0,0.0,False,0.0008115500019452382
True,True,B19_C10_DIFFUSE10,True,"{'a1': 0.002452906332490112, 'placenta': 0.1184494668447916}",0.0667708237298726,0.054131549447409166,0.060451186588640855,0.0,False,10,8,0.0,0.0,False,0.002452906332490112
False,False,B20_C10_DIFFUSE25,True,"{'a1': -0.01163921950687854, 'placenta': 0.0754259608994671}",0.03860102382160926,0.02518571757097931,0.031893370696294276,0.0,False,10,6,0.0,0.0,False,-0.01163921950687854
