accuracy_frontier,balanced_frontier,candidate_id,complete,dataset_delta_q,dataset_means,dev_macro_delta_ari,dev_macro_delta_nmi,dev_macro_delta_q,effective_resource_gate_pass,eligibility_tier,gpu_peak_ratio,paired_q_total,paired_q_wins,relative_b01,runtime_ratio,runtime_seconds_mean,spatial_protection_failed,worst_dataset_delta_q
False,True,B01_C04_SHRINK25,True,"{'a1': 0.013413417225611379, 'placenta': 0.05183514562648104}","{'a1': {'ari': 0.2622351455168253, 'nmi': 0.38391892369850433, 'q': 0.3230770346076648, 'spatial_neighbor_agreement': 0.5875430539609644, 'spatial_cluster_moran_mean': 0.5045959800637767, 'spatial_cluster_geary_mean': 0.5036413091900733, 'boundary_disagreement': 0.4230453626119618}, 'placenta': {'ari': 0.6690881996117426, 'nmi': 0.698623025908311, 'q': 0.6838556127600268, 'spatial_neighbor_agreement': 0.48844765342960283, 'spatial_cluster_moran_mean': 0.4883387899018114, 'spatial_cluster_geary_mean': 0.6696986501177035, 'boundary_disagreement': 0.655756698044895}}",0.0400297882131877,0.0252187746389046,0.0326242814260462,True,canonical_eligible,0.9680401513237136,10,8,"{'macro_delta_ari': 0.0, 'macro_delta_nmi': 0.0, 'macro_delta_q': 0.0}",0.842730729286388,4.021237077843398,False,0.0134134172256113
True,False,B02_C09_RNA_ANCHOR10,True,"{'a1': 0.005086545209451199, 'placenta': 0.10884526414738038}","{'a1': {'ari': 0.25037554303799936, 'nmi': 0.3791247821450099, 'q': 0.3147501625915046, 'spatial_neighbor_agreement': 0.5763681592039801, 'spatial_cluster_moran_mean': 0.48571006726964294, 'spatial_cluster_geary_mean': 0.522995110633304, 'boundary_disagreement': 0.434891649812193}, 'placenta': {'ari': 0.7224410434965349, 'nmi': 0.7592904190653175, 'q': 0.7408657312809263, 'spatial_neighbor_agreement': 0.41564380264741274, 'spatial_cluster_moran_mean': 0.3687850933331173, 'spatial_cluster_geary_mean': 0.7329915182464761, 'boundary_disagreement': 0.6860246198406952}}",0.0607764089161709,0.0531554004406605,0.0569659046784157,True,canonical_eligible,0.8868090998354081,10,9,"{'macro_delta_ari': 0.020746620702983214, 'macro_delta_nmi': 0.027936625801755984, 'macro_delta_q': 0.024341623252369576}",0.6454332368361195,3.0797975830733777,True,0.0050865452094511
True,False,B03_C10_MNN_TRIPLET01,True,"{'a1': -0.0023331220240252136, 'placenta': 0.13307520158559932}","{'a1': {'ari': 0.24153397342653538, 'nmi': 0.373127017289521, 'q': 0.30733049535802814, 'spatial_neighbor_agreement': 0.5685833652251563, 'spatial_cluster_moran_mean': 0.4854358382979728, 'spatial_cluster_geary_mean': 0.5222784803518806, 'boundary_disagreement': 0.44202253683906384}, 'placenta': {'ari': 0.7488683363529492, 'nmi': 0.7813230010853409, 'q': 0.7650956687191452, 'spatial_neighbor_agreement': 0.4126353790613718, 'spatial_cluster_moran_mean': 0.37061749069101385, 'spatial_cluster_geary_mean': 0.7316946308699321, 'boundary_disagreement': 0.6847212165097755}}",0.0695692705386461,0.0611728090229279,0.065371039780787,True,canonical_eligible,0.8885177322101488,10,7,"{'macro_delta_ari': 0.029539482325458423, 'macro_delta_nmi': 0.03595403438402333, 'macro_delta_q': 0.03274675835474084}",0.6921132484976432,3.302539423573762,True,-0.0023331220240252
True,False,B06_SECONDLOOK_RNA_ANCHOR05,True,"{'a1': 0.0034458707484030016, 'placenta': 0.10208774591921357}","{'a1': {'ari': 0.24781437475000506, 'nmi': 0.37840460151090777, 'q': 0.31310948813045647, 'spatial_neighbor_agreement': 0.5704362801377727, 'spatial_cluster_moran_mean': 0.49487553925924077, 'spatial_cluster_geary_mean': 0.5138136613250505, 'boundary_disagreement': 0.4409823750361167}, 'placenta': {'ari': 0.7106746277232421, 'nmi': 0.7575417983822768, 'q': 0.7341082130527594, 'spatial_neighbor_agreement': 0.4107099879663056, 'spatial_cluster_moran_mean': 0.37690849327551856, 'spatial_cluster_geary_mean': 0.7221478012924438, 'boundary_disagreement': 0.6873280231716147}}",0.0536126168855274,0.051920999782089,0.0527668083338082,True,canonical_eligible,0.8877110659000877,10,8,"{'macro_delta_ari': 0.013582828672339673, 'macro_delta_nmi': 0.02670222514318448, 'macro_delta_q': 0.020142526907762068}",0.6630042524934833,3.163640757650137,True,0.003445870748403
False,True,B09_SHRINK25_ANCHOR05,True,"{'a1': 0.012835074461746709, 'placenta': 0.057122398522673826}","{'a1': {'ari': 0.26196378961700506, 'nmi': 0.38303359407059523, 'q': 0.32249869184380014, 'spatial_neighbor_agreement': 0.5754847557086362, 'spatial_cluster_moran_mean': 0.49662586498233985, 'spatial_cluster_geary_mean': 0.5123091878419312, 'boundary_disagreement': 0.4354695174804969}, 'placenta': {'ari': 0.678665358315673, 'nmi': 0.6996203729967662, 'q': 0.6891428656562197, 'spatial_neighbor_agreement': 0.4871239470517449, 'spatial_cluster_moran_mean': 0.48737518018671383, 'spatial_cluster_geary_mean': 0.6661474677566422, 'boundary_disagreement': 0.6559015206372194}}",0.0446826896152428,0.0252747833691775,0.0349787364922102,True,canonical_eligible,0.9670846944290222,10,9,"{'macro_delta_ari': 0.004652901402055135, 'macro_delta_nmi': 5.600873027297726e-05, 'macro_delta_q': 0.0023544550661640626}",0.8981517341847609,4.285688096471131,False,0.0128350744617467
False,True,B10_SHRINK25_ANCHOR10,True,"{'a1': 0.013639151144201367, 'placenta': 0.0552581549402229}","{'a1': {'ari': 0.260814657955284, 'nmi': 0.3857908790972255, 'q': 0.3233027685262548, 'spatial_neighbor_agreement': 0.5820098226814644, 'spatial_cluster_moran_mean': 0.4836473885174325, 'spatial_cluster_geary_mean': 0.5263604001691545, 'boundary_disagreement': 0.42973129153423867}, 'placenta': {'ari': 0.6745707086160637, 'nmi': 0.6999865355314737, 'q': 0.6872786220737688, 'spatial_neighbor_agreement': 0.4808664259927798, 'spatial_cluster_moran_mean': 0.4796273699153756, 'spatial_cluster_geary_mean': 0.6751084256987427, 'boundary_disagreement': 0.662563359884142}}",0.0420607989345777,0.0268365071498465,0.0344486530422121,True,canonical_eligible,0.9670846944290222,10,9,"{'macro_delta_ari': 0.00203101072138995, 'macro_delta_nmi': 0.001617732510941955, 'macro_delta_q': 0.0018243716161659262}",0.8535913107428522,4.073060241900384,False,0.0136391511442013
False,False,B15_LATENT_RELIABILITY50,True,"{'a1': -0.0017418841653993322, 'placenta': 0.07757206075108958}","{'a1': {'ari': 0.2437202304113543, 'nmi': 0.3721232360219539, 'q': 0.30792173321665406, 'spatial_neighbor_agreement': 0.5754528638856997, 'spatial_cluster_moran_mean': 0.506356033505851, 'spatial_cluster_geary_mean': 0.5027588369518049, 'boundary_disagreement': 0.4353943946836175}, 'placenta': {'ari': 0.7049873964707019, 'nmi': 0.7141976592985689, 'q': 0.7095925278846354, 'spatial_neighbor_agreement': 0.489410348977136, 'spatial_cluster_moran_mean': 0.4892821673298899, 'spatial_cluster_geary_mean': 0.6808569063198314, 'boundary_disagreement': 0.6587979724837074}}",0.0487219290899319,0.0271082474957582,0.0379150882928451,True,canonical_eligible,0.9687933268037632,10,8,"{'macro_delta_ari': 0.008692140876744177, 'macro_delta_nmi': 0.001889472856853652, 'macro_delta_q': 0.0052908068667989186}",0.901626404851116,4.302268095314503,False,-0.0017418841653993
True,True,B17_C09_DIFFUSE10,True,"{'a1': 0.013591890052601242, 'placenta': 0.11018527640478581}","{'a1': {'ari': 0.26208126111167485, 'nmi': 0.3844297537576345, 'q': 0.3232555074346547, 'spatial_neighbor_agreement': 0.6034475060594463, 'spatial_cluster_moran_mean': 0.5195257043790928, 'spatial_cluster_geary_mean': 0.4881526383164935, 'boundary_disagreement': 0.4079052297023981}, 'placenta': {'ari': 0.7306942350996948, 'nmi': 0.7537172519769685, 'q': 0.7422057435383316, 'spatial_neighbor_agreement': 0.43730445246690736, 'spatial_cluster_moran_mean': 0.4193935959096485, 'spatial_cluster_geary_mean': 0.6997445731904264, 'boundary_disagreement': 0.6755973931933382}}",0.0707558637545886,0.0530213027027983,0.0618885832286935,True,canonical_eligible,0.8868090998354081,10,8,"{'macro_delta_ari': 0.030726075541400916, 'macro_delta_nmi': 0.02780252806389379, 'macro_delta_q': 0.02926430180264732}",0.6454332368361195,3.0797975830733777,False,0.0135918900526012
False,True,B18_C09_DIFFUSE25,True,"{'a1': 0.0008115500019452382, 'placenta': 0.09687976271855418}","{'a1': {'ari': 0.2429946168322276, 'nmi': 0.37795571793576976, 'q': 0.31047516738399866, 'spatial_neighbor_agreement': 0.630523663732619, 'spatial_cluster_moran_mean': 0.5617492022702099, 'spatial_cluster_geary_mean': 0.44655749294787805, 'boundary_disagreement': 0.38082057208899156}, 'placenta': {'ari': 0.7305659087338795, 'nmi': 0.7272345509703204, 'q': 0.7289002298521, 'spatial_neighbor_agreement': 0.49891696750902526, 'spatial_cluster_moran_mean': 0.4971159126723113, 'spatial_cluster_geary_mean': 0.6658546721865728, 'boundary_disagreement': 0.649239681390297}}",0.0611483784319574,0.036542934288542,0.0488456563602497,True,canonical_eligible,0.8868090998354081,10,8,"{'macro_delta_ari': 0.021118590218769634, 'macro_delta_nmi': 0.0113241596496374, 'macro_delta_q': 0.01622137493420352}",0.6454332368361195,3.0797975830733777,False,0.0008115500019452
True,True,B19_C10_DIFFUSE10,True,"{'a1': 0.002452906332490112, 'placenta': 0.1184494668447916}","{'a1': {'ari': 0.24643010682819075, 'nmi': 0.37780294060089636, 'q': 0.3121165237145435, 'spatial_neighbor_agreement': 0.5885061870136497, 'spatial_cluster_moran_mean': 0.5091475047385705, 'spatial_cluster_geary_mean': 0.49916580351855444, 'boundary_disagreement': 0.4226235192140999}, 'placenta': {'ari': 0.7383753093337467, 'nmi': 0.7625645586229282, 'q': 0.7504699339783374, 'spatial_neighbor_agreement': 0.44560770156438023, 'spatial_cluster_moran_mean': 0.42534246109408197, 'spatial_cluster_geary_mean': 0.6982846003376981, 'boundary_disagreement': 0.6657494569152788}}",0.0667708237298726,0.0541315494474091,0.0604511865886408,True,canonical_eligible,0.8885177322101488,10,8,"{'macro_delta_ari': 0.02674103551668483, 'macro_delta_nmi': 0.02891277480850457, 'macro_delta_q': 0.027826905162594645}",0.6921132484976432,3.302539423573762,False,0.0024529063324901
