stage,dataset,candidate_id,seed,semantic_match,registered_changes,actual_mechanisms,graph_sha256,parameter_count,initial_neighbor_cosine,final_neighbor_cosine,initial_pairwise_variance,final_pairwise_variance
R1,a1,N00,0,True,[],[],0fcf2328dc8e03dfab36b84a7e9838a4eb42ead2a010478b6371b7d283782d51,400320,0.6205959916114807,0.7224305868148804,0.015406881459057331,0.01497753243893385
R1,a1,N00,1,True,[],[],0fcf2328dc8e03dfab36b84a7e9838a4eb42ead2a010478b6371b7d283782d51,400320,0.6249680519104004,0.7163417339324951,0.015411343425512314,0.015014849603176117
R2,a1,N00,2,True,[],[],0fcf2328dc8e03dfab36b84a7e9838a4eb42ead2a010478b6371b7d283782d51,400320,0.6236875057220459,0.723054826259613,0.015341936610639095,0.014970611780881882
R3,a1,N00,3,True,[],[],0fcf2328dc8e03dfab36b84a7e9838a4eb42ead2a010478b6371b7d283782d51,400320,0.6354862451553345,0.7298353314399719,0.015440660528838634,0.01497722789645195
R3,a1,N00,4,True,[],[],0fcf2328dc8e03dfab36b84a7e9838a4eb42ead2a010478b6371b7d283782d51,400320,0.6310849785804749,0.7369975447654724,0.01545039378106594,0.014993559569120407
R1,a1,N01,0,True,"[""hard_prune""]","{""alignment"": null, ""graph"": [""hard"", null], ""optimization"": null, ""staged"": false}",e5669266ffbca6d5363fa51524f43479c2b0b6292c84217bd0ac5565a5de57af,400320,,,,
R1,a1,N01,1,True,"[""hard_prune""]","{""alignment"": null, ""graph"": [""hard"", null], ""optimization"": null, ""staged"": false}",e5669266ffbca6d5363fa51524f43479c2b0b6292c84217bd0ac5565a5de57af,400320,,,,
R1,a1,N02,0,True,"[{""soft_prune_epsilon"": 0.1}]","{""alignment"": null, ""graph"": [""soft"", 0.1], ""optimization"": null, ""staged"": false}",af64abc8dc8065559cddd6f3255fb479bfe14105cfff6ec79b35cf60a4be34ca,400320,,,,
R1,a1,N02,1,True,"[{""soft_prune_epsilon"": 0.1}]","{""alignment"": null, ""graph"": [""soft"", 0.1], ""optimization"": null, ""staged"": false}",af64abc8dc8065559cddd6f3255fb479bfe14105cfff6ec79b35cf60a4be34ca,400320,,,,
R1,a1,N03,0,True,"[{""soft_prune_epsilon"": 0.25}]","{""alignment"": null, ""graph"": [""soft"", 0.25], ""optimization"": null, ""staged"": false}",37b5f77940bda9bce6dd03c826dc0ffa3766622ba8196da75a749675c3725d1b,400320,,,,
R1,a1,N03,1,True,"[{""soft_prune_epsilon"": 0.25}]","{""alignment"": null, ""graph"": [""soft"", 0.25], ""optimization"": null, ""staged"": false}",37b5f77940bda9bce6dd03c826dc0ffa3766622ba8196da75a749675c3725d1b,400320,,,,
R1,a1,N04,0,True,"[{""soft_prune_epsilon"": 0.5}]","{""alignment"": null, ""graph"": [""soft"", 0.5], ""optimization"": null, ""staged"": false}",97c04bc226995bba3f18e9651df7bf0bb2e82e64ec223ed51dc92f2e41d366ea,400320,,,,
R1,a1,N04,1,True,"[{""soft_prune_epsilon"": 0.5}]","{""alignment"": null, ""graph"": [""soft"", 0.5], ""optimization"": null, ""staged"": false}",97c04bc226995bba3f18e9651df7bf0bb2e82e64ec223ed51dc92f2e41d366ea,400320,,,,
R1,a1,N05,0,True,"[""pcgrad""]","{""alignment"": null, ""graph"": null, ""optimization"": ""pcgrad"", ""staged"": false}",0fcf2328dc8e03dfab36b84a7e9838a4eb42ead2a010478b6371b7d283782d51,400320,,,,
R1,a1,N05,1,True,"[""pcgrad""]","{""alignment"": null, ""graph"": null, ""optimization"": ""pcgrad"", ""staged"": false}",0fcf2328dc8e03dfab36b84a7e9838a4eb42ead2a010478b6371b7d283782d51,400320,,,,
R1,a1,N06,0,True,"[""minnorm""]","{""alignment"": null, ""graph"": null, ""optimization"": ""minnorm"", ""staged"": false}",0fcf2328dc8e03dfab36b84a7e9838a4eb42ead2a010478b6371b7d283782d51,400320,,,,
R1,a1,N06,1,True,"[""minnorm""]","{""alignment"": null, ""graph"": null, ""optimization"": ""minnorm"", ""staged"": false}",0fcf2328dc8e03dfab36b84a7e9838a4eb42ead2a010478b6371b7d283782d51,400320,,,,
R1,a1,N07,0,True,"[""barlow_alignment""]","{""alignment"": ""barlow_alignment"", ""graph"": null, ""optimization"": null, ""staged"": false}",0fcf2328dc8e03dfab36b84a7e9838a4eb42ead2a010478b6371b7d283782d51,404416,,,,
R1,a1,N07,1,True,"[""barlow_alignment""]","{""alignment"": ""barlow_alignment"", ""graph"": null, ""optimization"": null, ""staged"": false}",0fcf2328dc8e03dfab36b84a7e9838a4eb42ead2a010478b6371b7d283782d51,404416,,,,
R1,a1,N08,0,True,"[""neighbor_alignment""]","{""alignment"": ""neighbor_alignment"", ""graph"": null, ""optimization"": null, ""staged"": false}",0fcf2328dc8e03dfab36b84a7e9838a4eb42ead2a010478b6371b7d283782d51,404416,,,,
R1,a1,N08,1,True,"[""neighbor_alignment""]","{""alignment"": ""neighbor_alignment"", ""graph"": null, ""optimization"": null, ""staged"": false}",0fcf2328dc8e03dfab36b84a7e9838a4eb42ead2a010478b6371b7d283782d51,404416,,,,
R1,a1,N09,0,True,"[""barlow_alignment"", ""staging""]","{""alignment"": ""barlow_alignment"", ""graph"": null, ""optimization"": null, ""staged"": true}",0fcf2328dc8e03dfab36b84a7e9838a4eb42ead2a010478b6371b7d283782d51,404416,,,,
R1,a1,N09,1,True,"[""barlow_alignment"", ""staging""]","{""alignment"": ""barlow_alignment"", ""graph"": null, ""optimization"": null, ""staged"": true}",0fcf2328dc8e03dfab36b84a7e9838a4eb42ead2a010478b6371b7d283782d51,404416,,,,
R1,a1,N10,0,True,"[{""soft_prune_epsilon"": 0.1}, ""pcgrad""]","{""alignment"": null, ""graph"": [""soft"", 0.1], ""optimization"": ""pcgrad"", ""staged"": false}",af64abc8dc8065559cddd6f3255fb479bfe14105cfff6ec79b35cf60a4be34ca,400320,,,,
R1,a1,N10,1,True,"[{""soft_prune_epsilon"": 0.1}, ""pcgrad""]","{""alignment"": null, ""graph"": [""soft"", 0.1], ""optimization"": ""pcgrad"", ""staged"": false}",af64abc8dc8065559cddd6f3255fb479bfe14105cfff6ec79b35cf60a4be34ca,400320,,,,
R1,a1,N11,0,True,"[{""soft_prune_epsilon"": 0.1}, ""barlow_alignment""]","{""alignment"": ""barlow_alignment"", ""graph"": [""soft"", 0.1], ""optimization"": null, ""staged"": false}",af64abc8dc8065559cddd6f3255fb479bfe14105cfff6ec79b35cf60a4be34ca,404416,,,,
R1,a1,N11,1,True,"[{""soft_prune_epsilon"": 0.1}, ""barlow_alignment""]","{""alignment"": ""barlow_alignment"", ""graph"": [""soft"", 0.1], ""optimization"": null, ""staged"": false}",af64abc8dc8065559cddd6f3255fb479bfe14105cfff6ec79b35cf60a4be34ca,404416,,,,
R1,a1,N12,0,True,"[{""soft_prune_epsilon"": 0.1}, ""neighbor_alignment""]","{""alignment"": ""neighbor_alignment"", ""graph"": [""soft"", 0.1], ""optimization"": null, ""staged"": false}",af64abc8dc8065559cddd6f3255fb479bfe14105cfff6ec79b35cf60a4be34ca,404416,,,,
R1,a1,N12,1,True,"[{""soft_prune_epsilon"": 0.1}, ""neighbor_alignment""]","{""alignment"": ""neighbor_alignment"", ""graph"": [""soft"", 0.1], ""optimization"": null, ""staged"": false}",af64abc8dc8065559cddd6f3255fb479bfe14105cfff6ec79b35cf60a4be34ca,404416,,,,
R1,a1,N13,0,True,"[{""soft_prune_epsilon"": 0.25}, ""pcgrad""]","{""alignment"": null, ""graph"": [""soft"", 0.25], ""optimization"": ""pcgrad"", ""staged"": false}",37b5f77940bda9bce6dd03c826dc0ffa3766622ba8196da75a749675c3725d1b,400320,,,,
R1,a1,N13,1,True,"[{""soft_prune_epsilon"": 0.25}, ""pcgrad""]","{""alignment"": null, ""graph"": [""soft"", 0.25], ""optimization"": ""pcgrad"", ""staged"": false}",37b5f77940bda9bce6dd03c826dc0ffa3766622ba8196da75a749675c3725d1b,400320,,,,
R1,a1,N14,0,True,"[{""soft_prune_epsilon"": 0.1}, ""pcgrad"", ""barlow_alignment""]","{""alignment"": ""barlow_alignment"", ""graph"": [""soft"", 0.1], ""optimization"": ""pcgrad"", ""staged"": false}",af64abc8dc8065559cddd6f3255fb479bfe14105cfff6ec79b35cf60a4be34ca,404416,,,,
R1,a1,N14,1,True,"[{""soft_prune_epsilon"": 0.1}, ""pcgrad"", ""barlow_alignment""]","{""alignment"": ""barlow_alignment"", ""graph"": [""soft"", 0.1], ""optimization"": ""pcgrad"", ""staged"": false}",af64abc8dc8065559cddd6f3255fb479bfe14105cfff6ec79b35cf60a4be34ca,404416,,,,
R1,a1,N15,0,True,"[{""soft_prune_epsilon"": 0.1}, ""pcgrad"", ""barlow_alignment"", ""staging""]","{""alignment"": ""barlow_alignment"", ""graph"": [""soft"", 0.1], ""optimization"": ""pcgrad"", ""staged"": true}",af64abc8dc8065559cddd6f3255fb479bfe14105cfff6ec79b35cf60a4be34ca,404416,,,,
R1,a1,N15,1,True,"[{""soft_prune_epsilon"": 0.1}, ""pcgrad"", ""barlow_alignment"", ""staging""]","{""alignment"": ""barlow_alignment"", ""graph"": [""soft"", 0.1], ""optimization"": ""pcgrad"", ""staged"": true}",af64abc8dc8065559cddd6f3255fb479bfe14105cfff6ec79b35cf60a4be34ca,404416,,,,
R3,placenta,N00,0,True,[],[],cf0dcd9734797d7c6e5a4c74be6c649e7eb29c455118f416f9e3da1d3e392c25,833408,0.6839354634284973,0.6777194738388062,0.0077959876507520676,0.007788880728185177
R3,placenta,N00,1,True,[],[],cf0dcd9734797d7c6e5a4c74be6c649e7eb29c455118f416f9e3da1d3e392c25,833408,0.6744507551193237,0.6733324527740479,0.007802620064467192,0.007789009250700474
