dataset,candidate_id,seed,artifact,path,size_bytes,sha256
a1,N00,0,clusters.csv,/root/autodl-fs/night6a_raw_runs_20260814/a1/N00/seed_0/clusters.csv,83745,191e1860cc959c22288b11ed175608fe45a8131ed4914bd79d541305f0274e16
a1,N00,0,embedding.npz,/root/autodl-fs/night6a_raw_runs_20260814/a1/N00/seed_0/embedding.npz,827574,4223b7fa899a9824aa52ef7c47ad188cea8a177f0da02f4e7ae9e24ec5cf8511
a1,N00,0,loss_trajectory.csv,/root/autodl-fs/night6a_raw_runs_20260814/a1/N00/seed_0/loss_trajectory.csv,4981,df55295ac58676f2aaf30b954107fbc36cd6b531553b1e462302aba0f433d8bd
a1,N00,0,model_final.pt,/root/autodl-fs/night6a_raw_runs_20260814/a1/N00/seed_0/model_final.pt,1604728,85a97b671e6bda5b34797ca42dea4f5954a1068e9242839156a31706585a8b85
a1,N00,0,observation_ids.csv,/root/autodl-fs/night6a_raw_runs_20260814/a1/N00/seed_0/observation_ids.csv,76663,eb32884ae2bd2e126731f88dbe3a1e542b6948ae1db6392f05168129a4bc0e80
a1,N00,0,semantic_contract.json,/root/autodl-fs/night6a_raw_runs_20260814/a1/N00/seed_0/semantic_contract.json,978,0326183743dae84c8de1386cab2cdfc3a6e76a758e9cb1ddc83eab6917d7fd3f
a1,N00,1,clusters.csv,/root/autodl-fs/night6a_raw_runs_20260814/a1/N00/seed_1/clusters.csv,83869,405e59305398e9af810a061b1547394fd78ef5be8a8d5f6b14ca819d5c9002a9
a1,N00,1,embedding.npz,/root/autodl-fs/night6a_raw_runs_20260814/a1/N00/seed_1/embedding.npz,827534,445af408db9dac57fe53f0db003e1074b5cd49d999c08272d1f085d04a822537
a1,N00,1,loss_trajectory.csv,/root/autodl-fs/night6a_raw_runs_20260814/a1/N00/seed_1/loss_trajectory.csv,4968,8113479a9385c512180fe78cbb190fdb37da5980a40b0be78ce646a701e4203f
a1,N00,1,model_final.pt,/root/autodl-fs/night6a_raw_runs_20260814/a1/N00/seed_1/model_final.pt,1604728,1e4985826ae8933363abac5cc373291e56f756411afe99a5be0ea33768d47363
a1,N00,1,observation_ids.csv,/root/autodl-fs/night6a_raw_runs_20260814/a1/N00/seed_1/observation_ids.csv,76663,eb32884ae2bd2e126731f88dbe3a1e542b6948ae1db6392f05168129a4bc0e80
