stage,dataset,graph_id,seed,head_id,ari,nmi,q,neighbor_agreement,moran_i,geary_c,boundary_disagreement,training_runtime_seconds,head_runtime_seconds,effective_runtime_seconds,peak_gpu_allocated_mib,process_peak_rss_mib,checkpoint_file_sha256,cluster_file_sha256
R1,a1,G00_SP18_F20_CORR_UNION,0,H00_FUSED_PCA20_MCLUST_EEE,0.2775974946617373,0.3961175777608735,0.3368575362113054,0.5635943368968506,0.4783803317174876,0.5260364341033084,0.4364056631031494,22.988198567181826,6.36909362860024,29.357292195782065,768.0126953125,1134.05859375,50d56b443fb88e215b8f65ee9d0b57cdf458eae4a3cc5a09a84d111f630461af,4fca57e8b1fb4e71768a2f021bce565cc7e09e40f31944b7d6b1d986b8a893a3
R1,a1,G00_SP18_F20_CORR_UNION,1,H00_FUSED_PCA20_MCLUST_EEE,0.2624608191534193,0.3855494280524003,0.3240051236029098,0.5491765385726669,0.4580431283635056,0.5443769405393313,0.4508234614273331,23.48107868805528,6.936917062848806,30.417995750904083,768.7939453125,1168.12890625,85a38c96651f68ccd63dff24198059aaccee1247e5030cafeb1264c48cbb2035,181db3a378580c78650e02b4abaf4601843aa49b0061aa0438f7d031a9328568
R2,a1,G00_SP18_F20_CORR_UNION,2,H00_FUSED_PCA20_MCLUST_EEE,0.2786746518016423,0.3910716010512209,0.3348731264264316,0.6306847731869402,0.5306103541757351,0.4750034772299929,0.3693152268130598,21.977365670725703,5.784668272361159,27.762033943086863,768.0126953125,1159.21484375,a3bb30b1620c6b08276b5fc1e91fa1222b7c1a5901f6943a12052a24c3e593b7,94357b8c79708faa2750d3377407c86fdfe40795856a91790662c7f971703208
R2,a1,G00_SP18_F20_CORR_UNION,3,H00_FUSED_PCA20_MCLUST_EEE,0.267403875177611,0.3883494472917432,0.327876661234677,0.5640277376480786,0.4926127155279495,0.5110700256942241,0.4359722623519214,28.135897278785706,8.23126863874495,36.367165917530656,768.7939453125,1192.0234375,f056398b5b3d9fe7284c68d4989ba3aaf012ea66ff15f107c5e2cb2a3280791f,b25225bb4c26b78a971d8ba2c159eb33db35c8c65f7d3ff9756cf62c20cfdcd4
R2,a1,G00_SP18_F20_CORR_UNION,4,H00_FUSED_PCA20_MCLUST_EEE,0.2718407698686843,0.3876270073760756,0.3297338886223799,0.607743426755273,0.5345789462236745,0.4720021947205534,0.3922565732447269,23.35439022444189,6.395592367276549,29.749982591718435,768.7939453125,1196.234375,81fe061452536d28f15ac34746aec17814a39f6190b7603f0b49fe13a342d0ea,44509014bb4d2fd83901a2e22691512dfc7b33b3aaf2f4c5052abb27fb7772b9
R1,tonsil,G00_SP18_F20_CORR_UNION,0,H00_FUSED_PCA20_MCLUST_EEE,0.0883931228547157,0.1626705702535457,0.1255318465541307,0.6760995410410757,0.5446298691849103,0.4535532049519613,0.3239004589589243,21.257022758945823,4.685472212731838,25.94249497167766,943.36083984375,1190.8984375,e0fc52394c9a7ff7146f4a0e982e940cdbfde9599fd54d058ebf826e5ba6765e,257d19004ba695914c88ea51036097e36f8c1de6f84b67e0fbfcca867b36ad62
R1,tonsil,G00_SP18_F20_CORR_UNION,1,H00_FUSED_PCA20_MCLUST_EEE,0.0641588206510533,0.1565684415178518,0.1103636310844526,0.7587352106829032,0.5805747152517059,0.4169991961582921,0.2412647893170968,19.91769831068813,4.445197256281972,24.36289556697011,943.36083984375,1199.3515625,4313be7f5b4bb16d6e8494ba51db5d47b944b6965c35a3c6a5c09c4b4dc6b7c1,1b948ce0d9ee5b0baca188c9b9605364f4906b37a6d283cc94d085ebc304e052
R2,tonsil,G00_SP18_F20_CORR_UNION,2,H00_FUSED_PCA20_MCLUST_EEE,0.0527464991867933,0.1474984429419685,0.1001224710643809,0.7589427800456653,0.6019348510391738,0.3961879485666948,0.2410572199543347,19.352999614551663,4.271181799471378,23.62418141402304,943.36083984375,1248.3359375,ac7c1923908458e9f1107c99f8a06f903d13d78a1e08539f21875d22a4b65e6b,9fbaf7f0b9132e6823c562e3dfc8baa9a38df299a7c44a6e1fd03fd1e09508e7
R2,tonsil,G00_SP18_F20_CORR_UNION,3,H00_FUSED_PCA20_MCLUST_EEE,0.0676809577122361,0.1534605142465616,0.1105707359793989,0.7543301275398417,0.5844221152369531,0.4131142511650911,0.2456698724601582,19.223955092951652,4.238946594297886,23.46290168724954,943.36083984375,1248.3359375,87dbbd22ac99edf3f4896a134ae4164e3ea662afd9ce4ae4172c46a769d349a5,4ab58c3f9b24e19538dcf37719795c4a9a446d9959e996c6cc4a7434379c9554
R2,tonsil,G00_SP18_F20_CORR_UNION,4,H00_FUSED_PCA20_MCLUST_EEE,0.1549066753138766,0.248033601457079,0.2014701383854778,0.7265388961922553,0.5884382685954972,0.4115388242505582,0.2734611038077447,20.464451307430863,4.418699869886041,24.883151177316904,943.36083984375,1252.01953125,623ecf92ded4674be93c1fcc6d5b798bd5ea256a3e6cac662242d52c6fed38a7,07305603e349d91f7d0dafba094211976ecbf66b966f633c51f14e954f0b9ff4
