dataset,graph_id,head_id,seed,transform_status,training_runtime_seconds,head_runtime_seconds,effective_runtime_seconds,peak_gpu_allocated_mib,process_peak_rss_mib
d1,G00_SP18_F20_CORR_UNION,H00_FUSED_PCA20_MCLUST_EEE,0,success,26.330935108475387,6.8537345211952925,33.18466962967068,741.99560546875,1130.4140625
d1,G00_SP18_F20_CORR_UNION,H00_FUSED_PCA20_MCLUST_EEE,1,success,23.7369417026639,6.060862632468343,29.79780433513224,741.4765625,1160.94140625
d1,G00_SP18_F20_CORR_UNION,H00_FUSED_PCA20_MCLUST_EEE,2,success,24.513854605145752,6.7695088451728225,31.283363450318575,741.4765625,1166.171875
d1,G00_SP18_F20_CORR_UNION,H00_FUSED_PCA20_MCLUST_EEE,3,success,20.28786595351994,4.494707406498492,24.782573360018432,741.4765625,1196.34375
d1,G00_SP18_F20_CORR_UNION,H00_FUSED_PCA20_MCLUST_EEE,4,success,22.730383798480034,7.120901493355632,29.851285291835666,741.4765625,1196.34375
d1,G00_SP18_F20_CORR_UNION,H00_FUSED_PCA20_MCLUST_EEE,5,success,26.215744741261005,7.076377854682505,33.29212259594351,741.4765625,1196.34375
d1,G00_SP18_F20_CORR_UNION,H00_FUSED_PCA20_MCLUST_EEE,6,success,21.991154582239687,5.199903103522956,27.191057685762644,741.4765625,1202.51953125
d1,G00_SP18_F20_CORR_UNION,H00_FUSED_PCA20_MCLUST_EEE,7,success,22.187626232393086,5.691915265284479,27.879541497677565,741.4765625,1204.05859375
d1,G00_SP18_F20_CORR_UNION,H00_FUSED_PCA20_MCLUST_EEE,8,success,24.03880866803229,6.407806809991598,30.446615478023887,741.4765625,1219.2734375
d1,G00_SP18_F20_CORR_UNION,H00_FUSED_PCA20_MCLUST_EEE,9,success,21.242768396623433,6.180312088690698,27.42308048531413,741.4765625,1219.2734375
d1,G00_SP18_F20_CORR_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,0,success,26.330935108475387,5.094770540483296,31.425705648958683,741.99560546875,1130.4140625
d1,G00_SP18_F20_CORR_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,1,success,23.7369417026639,4.544951022602618,28.281892725266516,741.4765625,1160.94140625
d1,G00_SP18_F20_CORR_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,2,success,24.513854605145752,4.62473083846271,29.138585443608463,741.4765625,1166.171875
d1,G00_SP18_F20_CORR_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,3,success,20.28786595351994,4.165369468741119,24.45323542226106,741.4765625,1196.34375
d1,G00_SP18_F20_CORR_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,4,success,22.730383798480034,5.181291945278645,27.91167574375868,741.4765625,1196.34375
d1,G00_SP18_F20_CORR_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,5,success,26.215744741261005,3.8148279013112187,30.030572642572224,741.4765625,1196.34375
d1,G00_SP18_F20_CORR_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,6,success,21.991154582239687,3.9267909293994308,25.917945511639118,741.4765625,1202.51953125
d1,G00_SP18_F20_CORR_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,7,success,22.187626232393086,3.4521035319194198,25.639729764312506,741.4765625,1204.05859375
d1,G00_SP18_F20_CORR_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,8,success,24.03880866803229,3.470323346555233,27.50913201458752,741.4765625,1219.2734375
