candidate_id,complete_datasets,dataset_balanced,macro_mean_ari,macro_mean_delta_ari,macro_mean_nmi,macro_mean_delta_nmi,macro_mean_q,macro_mean_delta_q,macro_mean_neighbor_agreement,macro_mean_delta_neighbor_agreement,macro_mean_moran_i,macro_mean_delta_moran_i,macro_mean_geary_c,macro_mean_delta_geary_c,macro_mean_boundary_disagreement,macro_mean_delta_boundary_disagreement,worst_dataset_mean_delta_q,total_directional_q_wins
C00_G04_H05_CONFIRMED,4,True,0.2709085329223202,0.028262052483739232,0.4123397380800285,0.04836175543405291,0.3416241355011743,0.038311903958896075,0.7184340002959878,0.029895088465616407,0.6359671051361817,0.031507621930666446,0.3691266116012431,-0.029567803405058806,0.28156599970401214,-0.029895088465616407,0.008270401379070636,28.0
C01_G00_H05,4,True,0.27807598433847036,0.035429503899889365,0.413868056244602,0.04989007359862648,0.3459720202915362,0.04265978874925794,0.7365018026041501,0.04796289077377859,0.6609045901726398,0.05644510696712464,0.34434896855613933,-0.05434544645016251,0.26349819739584995,-0.04796289077377859,-0.0053544110966705525,26.0
C02_DUAL_ARITHMETIC_MEAN,4,True,0.2797090784167776,0.03706259797819668,0.4188290023841682,0.05485101973819269,0.3492690404004729,0.045956808858194684,0.7301106662433129,0.04157175441294146,0.6530477666854633,0.04858828347994802,0.35211743663188605,-0.04657697837441581,0.2698893337566871,-0.04157175441294146,0.0045774766357052025,29.0
C03_DUAL_ELEMENTWISE_MAX,4,True,0.2804225747719526,0.037776094333371625,0.41850959188015124,0.05453160923417569,0.3494660833260519,0.04615385178377366,0.7242500443321462,0.03571113250177488,0.6451887351602221,0.04072925195470707,0.35984918406563543,-0.03884523094066644,0.27574995566785376,-0.03571113250177488,0.002148547951276092,28.0
C04_DUAL_ELEMENTWISE_MIN,3,False,,,,,,,,,,,,,,,,
C05_DUAL_HARMONIC_INTERSECTION,3,False,,,,,,,,,,,,,,,,
C06_DUAL_ROW_STOCHASTIC_MEAN,4,True,0.2841357634619893,0.04148928302340839,0.42110247773665954,0.05712449509068402,0.3526191205993245,0.04930688905704621,0.7324091642257744,0.043870252395402945,0.6560339080438838,0.05157442483836856,0.3490610797975496,-0.04963333520875232,0.2675908357742256,-0.043870252395402945,0.005068731185650333,29.0
C07_DUAL_LOCAL_RELIABILITY,4,True,0.2785782292351533,0.03593174879657232,0.4179877462356547,0.05400976358967913,0.34828298773540395,0.044970756193125724,0.7311675085799757,0.04262859674960416,0.654693446612554,0.050233963407038756,0.3505523627929752,-0.04814205221332671,0.26883249142002447,-0.04262859674960416,0.004138806721235589,29.0
C08_SIX_VIEW_SUPPORT_MEDIAN,4,True,0.27973886246847013,0.03709238202988921,0.41876996349632767,0.054791980850352195,0.34925441298239895,0.0459421814401207,0.7299194493020178,0.0413805374716463,0.6529634782271544,0.04850399502163916,0.35222724966036073,-0.04646716534594117,0.27008055069798226,-0.0413805374716463,0.004408529692208951,29.0
C09_DUAL_SPARSE_SNF10,4,True,0.22983188725097353,-0.012814593187607394,0.36942596402572836,0.0054479813797528535,0.299628925638351,-0.0036833059039272694,0.7994251395110242,0.11088622768065283,0.7342231095087706,0.12976362630325533,0.2704691256891841,-0.12822528931711774,0.20057486048897574,-0.11088622768065283,-0.052686568284058176,9.0
C10_DUAL_MEAN_SPATIAL05,4,True,0.28357273460971677,0.04092625417113581,0.42053784988822124,0.056559867242245654,0.3520552922489689,0.04874306070669074,0.740022815811725,0.05148390398135365,0.6675533610502058,0.0630938778446905,0.3377269976774294,-0.060967417328872384,0.259977184188275,-0.05148390398135365,0.0012451698618030304,27.0
C11_DUAL_MEAN_SPATIAL10,4,True,0.2853119842487235,0.04266550381014253,0.4159750824344264,0.05199709978845084,0.35064353334157494,0.04733130179929669,0.7516850241407934,0.06314611231042194,0.6853561146837288,0.08089663147821355,0.32024011885794945,-0.07845429614835239,0.24831497585920662,-0.06314611231042194,-0.003962246677234782,26.0
