dataset,seed,candidate_id,delta_ari_vs_c00,delta_nmi_vs_c00,delta_q_vs_c00
a1,0,C00_G04_H05_CONFIRMED,0.0,0.0,0.0
a1,0,C01_G00_H05,-0.009154531151214396,-0.019445546265403513,-0.014300038708308982
a1,0,C02_DUAL_ARITHMETIC_MEAN,-0.0020046333805979755,-0.007142708168722645,-0.00457367077466031
a1,0,C03_DUAL_ELEMENTWISE_MAX,-0.0055691679991802245,-0.010956004895740723,-0.008262586447460474
a1,0,C04_DUAL_ELEMENTWISE_MIN,-0.005226745645993458,-0.01640287903709975,-0.010814812341546576
a1,0,C05_DUAL_HARMONIC_INTERSECTION,-0.006210224061236724,-0.018097933229694385,-0.012154078645465582
a1,0,C06_DUAL_ROW_STOCHASTIC_MEAN,-0.0016911214308792388,-0.006134578639589994,-0.003912850035234616
a1,0,C07_DUAL_LOCAL_RELIABILITY,-0.0019087590404956445,-0.006540071848337714,-0.0042244154444166515
a1,0,C08_SIX_VIEW_SUPPORT_MEDIAN,-0.002634240793666809,-0.007388989303528326,-0.005011615048597595
a1,0,C09_DUAL_SPARSE_SNF10,-0.04421558092805608,-0.03382565496224871,-0.03902061794515238
a1,0,C10_DUAL_MEAN_SPATIAL05,-0.006776179847830688,-0.009885116456749665,-0.008330648152290177
a1,0,C11_DUAL_MEAN_SPATIAL10,-0.013214577091171908,-0.012893273440126307,-0.01305392526564908
a1,1,C00_G04_H05_CONFIRMED,0.0,0.0,0.0
a1,1,C01_G00_H05,-0.010151878014483029,-0.020432514499036658,-0.015292196256759871
a1,1,C02_DUAL_ARITHMETIC_MEAN,-0.004035935037797145,-0.00727413696437762,-0.00565503600108741
a1,1,C03_DUAL_ELEMENTWISE_MAX,-0.008537404712918861,-0.013489941816614448,-0.011013673264766655
a1,1,C04_DUAL_ELEMENTWISE_MIN,-0.01454453577097553,-0.022440689790783896,-0.01849261278087977
a1,1,C05_DUAL_HARMONIC_INTERSECTION,-0.01571064462298527,-0.023601501120066093,-0.01965607287152571
a1,1,C06_DUAL_ROW_STOCHASTIC_MEAN,-0.0034614239201850028,-0.008097577922222376,-0.005779500921203717
a1,1,C07_DUAL_LOCAL_RELIABILITY,-0.004132618379730113,-0.007109449498242326,-0.005621033938986275
a1,1,C08_SIX_VIEW_SUPPORT_MEDIAN,-0.00417569039706378,-0.007003520380815864,-0.005589605388939822
a1,1,C09_DUAL_SPARSE_SNF10,-0.04361064559783598,-0.03642600534665569,-0.040018325472245875
a1,1,C10_DUAL_MEAN_SPATIAL05,-0.008698009559941988,-0.009464176594981777,-0.00908109307746191
a1,1,C11_DUAL_MEAN_SPATIAL10,-0.016213478934771652,-0.016180271978280758,-0.01619687545652626
a1,2,C00_G04_H05_CONFIRMED,0.0,0.0,0.0
a1,2,C01_G00_H05,-0.011762573603645188,-0.01674808935444122,-0.014255331479043232
a1,2,C02_DUAL_ARITHMETIC_MEAN,-0.008356631414385918,-0.009978817849728205,-0.009167724632057062
a1,2,C03_DUAL_ELEMENTWISE_MAX,-0.007633082857577578,-0.008399363594604414,-0.008016223226090968
a1,2,C04_DUAL_ELEMENTWISE_MIN,-0.006789218823256671,-0.015883099227392672,-0.011336159025324699
a1,2,C05_DUAL_HARMONIC_INTERSECTION,-0.006583214017631622,-0.018152030582817724,-0.012367622300224701
a1,2,C06_DUAL_ROW_STOCHASTIC_MEAN,-0.007639998397899028,-0.010131180902850367,-0.00888558965037467
a1,2,C07_DUAL_LOCAL_RELIABILITY,-0.008267052573787292,-0.010139299278938307,-0.009203175926362772
a1,2,C08_SIX_VIEW_SUPPORT_MEDIAN,-0.008170701882585507,-0.009391629163096826,-0.008781165522841139
a1,2,C09_DUAL_SPARSE_SNF10,-0.06666402666724999,-0.045863722161484544,-0.056263874414367254
a1,2,C10_DUAL_MEAN_SPATIAL05,-0.008369596343248742,-0.008615409804530072,-0.00849250307388938
a1,2,C11_DUAL_MEAN_SPATIAL10,-0.01227937938240442,-0.007756688876115858,-0.010018034129260167
a1,3,C00_G04_H05_CONFIRMED,0.0,0.0,0.0
a1,3,C01_G00_H05,-0.009983888077925662,-0.018875985139172824,-0.014429936608549188
a1,3,C02_DUAL_ARITHMETIC_MEAN,-0.0003213212812678279,-0.003580477978149754,-0.0019508996297087355
a1,3,C03_DUAL_ELEMENTWISE_MAX,-0.002046241086473999,-0.003959229985964374,-0.003002735536219159
a1,3,C04_DUAL_ELEMENTWISE_MIN,-0.015349954071904148,-0.024900054199934463,-0.020125004135919278
a1,3,C05_DUAL_HARMONIC_INTERSECTION,-0.01522469280089997,-0.02467844320681062,-0.01995156800385528
a1,3,C06_DUAL_ROW_STOCHASTIC_MEAN,-0.0006702911956400492,-0.002825459165005262,-0.0017478751803226
a1,3,C07_DUAL_LOCAL_RELIABILITY,-0.0010236835088466845,-0.003419666159629464,-0.0022216748342380743
a1,3,C08_SIX_VIEW_SUPPORT_MEDIAN,-0.0005862689004696442,-0.0040475836077238925,-0.0023169262540967406
a1,3,C09_DUAL_SPARSE_SNF10,-0.06261508209616187,-0.03668966403220625,-0.04965237306418402
a1,3,C10_DUAL_MEAN_SPATIAL05,-0.008625565631527998,-0.0068771388411330014,-0.0077513522363305
a1,3,C11_DUAL_MEAN_SPATIAL10,-0.01666548802499601,-0.013542767498062547,-0.015104127761529251
a1,4,C00_G04_H05_CONFIRMED,0.0,0.0,0.0
a1,4,C01_G00_H05,-0.0068424332245408115,-0.01285068542754858,-0.009846559326044668
a1,4,C02_DUAL_ARITHMETIC_MEAN,0.0020930554507151977,0.003672359190657448,0.0028827073206863507
a1,4,C03_DUAL_ELEMENTWISE_MAX,-0.004237030942229825,0.0036089336133589556,-0.0003140486644354623
a1,4,C04_DUAL_ELEMENTWISE_MIN,-0.011320361169684545,-0.015475448437009376,-0.01339790480334696
a1,4,C05_DUAL_HARMONIC_INTERSECTION,-0.019407998234849066,-0.0218250935061568,-0.020616545870502934
a1,4,C06_DUAL_ROW_STOCHASTIC_MEAN,0.0009802882236422672,0.007654641416425911,0.004317464820034089
