dataset,seed,candidate_id,delta_ari,delta_nmi,delta_q,delta_neighbor_agreement,delta_moran_i,delta_geary_c,delta_boundary_disagreement,ari,nmi,q,neighbor_agreement,moran_i,geary_c,boundary_disagreement
a1,0,C00_G04_H05_CONFIRMED,-0.0031295066579846154,0.018619470200684773,0.007744981771350079,0.053163825483964255,0.07154981729392129,-0.06317765509373119,-0.053163825483964255,0.2744679880037527,0.4147370479615583,0.3446025179826555,0.6167581623808148,0.5499301490114089,0.46285877900957717,0.3832418376191852
a1,0,C01_G00_H05,-0.012284037809199011,-0.0008260760647187393,-0.006555056936958903,0.07671193296735057,0.10202799790952788,-0.09479698433125155,-0.07671193296735057,0.2653134568525383,0.3952915016961548,0.3303024792743465,0.6403062698642011,0.5804083296270155,0.4312394497720568,0.35969373013579886
a1,0,C02_DUAL_ARITHMETIC_MEAN,-0.005134140038582591,0.011476762031962129,0.003171310996689769,0.06856399884426467,0.09365235441649611,-0.08549521111643293,-0.06856399884426467,0.27246335462315474,0.40759433979283566,0.3400288472079952,0.6321583357411152,0.5720326861339837,0.4405412229868754,0.36784166425888476
a1,0,C03_DUAL_ELEMENTWISE_MAX,-0.00869867465716484,0.00766346530494405,-0.0005176046761103947,0.061600693441202004,0.08540092351482886,-0.07799022258186306,-0.061600693441202004,0.2688988200045725,0.4037810430658176,0.33633993153519504,0.6251950303380526,0.5637812552323165,0.4480462115214453,0.37480496966194743
a1,0,C04_DUAL_ELEMENTWISE_MIN,-0.008356252303978073,0.0022165911635850244,-0.0030698305701964967,0.09820861022825778,0.13540702292577078,-0.12593639918655147,-0.09820861022825778,0.26924124235775926,0.39833416892445855,0.33378770564110893,0.6618029471251083,0.6137873546432584,0.4001000349167569,0.33819705287489166
a1,0,C05_DUAL_HARMONIC_INTERSECTION,-0.00933973071922134,0.0005215369709903883,-0.0044090968741155034,0.09598381970528758,0.13041782473294317,-0.12105800540600314,-0.09598381970528758,0.268257763942516,0.3966391147318639,0.3324484393371899,0.6595781566021381,0.6087981564504308,0.4049784286973052,0.34042184339786186
a1,0,C06_DUAL_ROW_STOCHASTIC_MEAN,-0.004820628088863854,0.01248489156109478,0.0038321317361154628,0.07390927477607634,0.0986501268832567,-0.09065847401960675,-0.07390927477607634,0.2727768665728735,0.4086024693219683,0.3406896679474209,0.6375036116729269,0.5770304586007443,0.4353779600837016,0.3624963883270731
a1,0,C07_DUAL_LOCAL_RELIABILITY,-0.00503826569848026,0.01207939835234706,0.0035205663269334275,0.06963305403062703,0.09475661028243554,-0.08664380344727335,-0.06963305403062703,0.27255922896325707,0.4081969761132206,0.34037810253823886,0.6332273909274776,0.5731369419999232,0.439392630656035,0.3667726090725224
a1,0,C08_SIX_VIEW_SUPPORT_MEDIAN,-0.005763747451651424,0.011230480897156447,0.002733366722752484,0.06781277087546955,0.09231250929263879,-0.08400591177574707,-0.06781277087546955,0.2718337472100859,0.40734805865803,0.3395909029340579,0.6314071077723201,0.5706928410101264,0.4420305223275613,0.3685928922276799
a1,0,C09_DUAL_SPARSE_SNF10,-0.047345087586040696,-0.015206184761563935,-0.0312756361738023,0.13868824039295002,0.17994584580289985,-0.17445768258167443,-0.13868824039295002,0.23025240707569664,0.3809113929993096,0.30558190003750313,0.7022825772898006,0.6583261775203875,0.3515787515216339,0.2977174227101994
