dataset,seed,candidate_id,role,ari,nmi,q,neighbor_agreement,moran_i,geary_c,boundary_disagreement,cluster_file_sha256
a1,0,C00_G04_H05_CONFIRMED,candidate,0.2744679880037527,0.4147370479615583,0.3446025179826555,0.6167581623808148,0.5499301490114089,0.46285877900957717,0.3832418376191852,481f88fdd438b987352f88cbc4c7f2f8770be2b70d03d40e62adac5a3eae6820
a1,0,C01_G00_H05,candidate,0.2653134568525383,0.3952915016961548,0.3303024792743465,0.6403062698642011,0.5804083296270155,0.4312394497720568,0.35969373013579886,c23c0e578f8ae9fafbcb2d5c90cea9f84015d2a70ed055fc095fadea5763df28
a1,0,C02_DUAL_ARITHMETIC_MEAN,candidate,0.27246335462315474,0.40759433979283566,0.3400288472079952,0.6321583357411152,0.5720326861339837,0.4405412229868754,0.36784166425888476,f98c25b00272e97537011724a2c736b3dd305906e1e2790a2d8c1243ea48e349
a1,0,C03_DUAL_ELEMENTWISE_MAX,candidate,0.2688988200045725,0.4037810430658176,0.33633993153519504,0.6251950303380526,0.5637812552323165,0.4480462115214453,0.37480496966194743,e250f013a3dc18fe58fc90d9ec9f1119f4ca53814aa4c3cc5a6d8a0695f1fb34
a1,0,C04_DUAL_ELEMENTWISE_MIN,candidate,0.26924124235775926,0.39833416892445855,0.33378770564110893,0.6618029471251083,0.6137873546432584,0.4001000349167569,0.33819705287489166,9922b950145629692917adb2dd30022eeb731ef4c4e8a9961f6458fe857e06be
a1,0,C05_DUAL_HARMONIC_INTERSECTION,candidate,0.268257763942516,0.3966391147318639,0.3324484393371899,0.6595781566021381,0.6087981564504308,0.4049784286973052,0.34042184339786186,856df43310c1d1e125204e3573de5b0cc6bab50efe5a98e808aa5ab7c87e1659
a1,0,C06_DUAL_ROW_STOCHASTIC_MEAN,candidate,0.2727768665728735,0.4086024693219683,0.3406896679474209,0.6375036116729269,0.5770304586007443,0.4353779600837016,0.3624963883270731,4795776c999e00b937339a1d1cf09ec3207b42e5466362b0490103fac04df8f5
a1,0,C07_DUAL_LOCAL_RELIABILITY,candidate,0.27255922896325707,0.4081969761132206,0.34037810253823886,0.6332273909274776,0.5731369419999232,0.439392630656035,0.3667726090725224,af0d07716084fc860910a160a616e31e66bd2047240835af3b1ffcec4a2bc512
a1,0,C08_SIX_VIEW_SUPPORT_MEDIAN,candidate,0.2718337472100859,0.40734805865803,0.3395909029340579,0.6314071077723201,0.5706928410101264,0.4420305223275613,0.3685928922276799,d36efd78dc72f73aa3a1245aa0ba1c1ab36c6407b285cc682488f46a11f935ab
a1,0,C09_DUAL_SPARSE_SNF10,candidate,0.23025240707569664,0.3809113929993096,0.30558190003750313,0.7022825772898006,0.6583261775203875,0.3515787515216339,0.2977174227101994,5c7ac3ff0c425277ff687e0cb40e5d31d024f0e38ddf71eeaf00385772ab9046
a1,0,C10_DUAL_MEAN_SPATIAL05,candidate,0.26769180815592203,0.40485193150480864,0.33627186983036533,0.651979196763941,0.5927178583808683,0.4196312031770417,0.348020803236059,6d07c7d4bf09c0692bd849b0f511addd74b172fa4531f897e073f68e0fc1351f
a1,0,C11_DUAL_MEAN_SPATIAL10,candidate,0.2612534109125808,0.401843774521432,0.33154859271700643,0.6643744582490609,0.6052617920539762,0.40734439163251207,0.33562554175093906,cb27280040c9aa48dc9d48cb7e850f50dbffe71fd2fb05dbe47bbd9499523e35
a1,0,REFERENCE_G00_H00,reference,0.27759749466173733,0.39611757776087353,0.33685753621130543,0.5635943368968506,0.4783803317174876,0.5260364341033084,0.43640566310314943,4fca57e8b1fb4e71768a2f021bce565cc7e09e40f31944b7d6b1d986b8a893a3
a1,1,C00_G04_H05_CONFIRMED,candidate,0.2672471914408437,0.41326906898705384,0.3402581302139488,0.6276220745449292,0.5587973329910844,0.45437093774630793,0.37237792545507076,8561119d18ab49b6152aa9b0e81c3e8ca9c21d8d4bb450f47ee2d1ecf5df2021
a1,1,C01_G00_H05,candidate,0.25709531342636066,0.3928365544880172,0.3249659339571889,0.6507078878936724,0.5885814810177145,0.42441677437435954,0.3492921121063276,c2c31a91a4f9cd962ac3c1daaaf29f56a80e8c999526149bfd00be17b51cd3e1
a1,1,C02_DUAL_ARITHMETIC_MEAN,candidate,0.26321125640304655,0.4059949320226762,0.3346030942128614,0.6426177405374169,0.5772390846334392,0.43568025712850494,0.35738225946258306,608c6442cee9ad5515632f19aaabf8ed669b19d05ba087874609d18ef29560f9
a1,1,C03_DUAL_ELEMENTWISE_MAX,candidate,0.25870978672792483,0.3997791271704394,0.32924445694918214,0.6361745160358278,0.5701705055408753,0.442471291083465,0.36382548396417225,eb127e43679e8b995507b3ff7b01b82ed2caebca0a2c5575980c1a15233b5ae2
a1,1,C04_DUAL_ELEMENTWISE_MIN,candidate,0.25270265566986816,0.39082837919626995,0.321765517433069,0.6746316093614563,0.6186742919677748,0.3955440318018272,0.3253683906385437,6244e60e9eda01c6564feec3bf1cdb96ce9a784cf21cb21965d7652256914e19
a1,1,C05_DUAL_HARMONIC_INTERSECTION,candidate,0.2515365468178584,0.38966756786698775,0.3206020573424231,0.6757006645478185,0.6189907721879534,0.3952289429737014,0.3242993354521815,5a8a1089835e1dfa00712e862ab0367a6d67377c9412b0ffeda30378625b8291
a1,1,C06_DUAL_ROW_STOCHASTIC_MEAN,candidate,0.2637857675206587,0.40517149106483147,0.3344786292927451,0.6485408841375325,0.5820808204910168,0.43063791399157997,0.3514591158624675,f2f9131580d30f05f31e20d5eac16ea792ccd469115a84f26242b03170272775
a1,1,C07_DUAL_LOCAL_RELIABILITY,candidate,0.2631145730611136,0.4061596194888115,0.3346370962749625,0.643657902340364,0.5790734797297405,0.4338565267195702,0.356342097659636,fe084950fb61ad6b1ae93a1f99134da20be9f5c9aaa0003ddd60bf6a0777dfde
a1,1,C08_SIX_VIEW_SUPPORT_MEDIAN,candidate,0.2630715010437799,0.406265548606238,0.334668524825009,0.6411152845998266,0.5753220319125549,0.43754736492792407,0.3588847154001734,5ff5c928c99628ab69013b49ae977787d8a23022d0e1f04f7a31829507f3ec36
a1,1,C09_DUAL_SPARSE_SNF10,candidate,0.2236365458430077,0.37684306364039816,0.3002398047417029,0.7310314937879225,0.6946415331718219,0.31620912619912084,0.26896850621207746,7419d948ca02fe530abefe28b1e1e419a6a8dfd26779b5764508fcbdbb1c3558
a1,1,C10_DUAL_MEAN_SPATIAL05,candidate,0.2585491818809017,0.40380489239207207,0.3311770371364869,0.6647789656168738,0.5983052005826035,0.4144781850264362,0.3352210343831262,63d06c96191da261396a3023031ea51bcc9de1419530958497eadad5bcaeb598
a1,1,C11_DUAL_MEAN_SPATIAL10,candidate,0.25103371250607204,0.3970887970087731,0.32406125475742253,0.6782143889049408,0.6123594434555331,0.40059967642599903,0.3217856110950592,41383807920bd7661318dc053a1c5299adc7b6c507fbbe05a966c84a61338450
a1,1,REFERENCE_G00_H00,reference,0.2624608191534193,0.3855494280524003,0.3240051236029098,0.5491765385726669,0.4580431283635056,0.5443769405393313,0.4508234614273331,181db3a378580c78650e02b4abaf4601843aa49b0061aa0438f7d031a9328568
a1,2,C00_G04_H05_CONFIRMED,candidate,0.27526557454695755,0.40954213777203574,0.34240385615949664,0.6193585668881826,0.5343047402051191,0.477549771158149,0.3806414331118174,2a6ec2c0d0257a5b228b1a2440801b80afacd31d275311c7a80d7f27ccd35dc9
a1,2,C01_G00_H05,candidate,0.26350300094331236,0.3927940484175945,0.3281485246804534,0.6455937590291824,0.5781075132318576,0.4333035430691369,0.35440624097081763,5921ca1219e41c6ac00513a0bd18267b00f2f86be760c867f9bc8e5838786502
a1,2,C02_DUAL_ARITHMETIC_MEAN,candidate,0.26690894313257163,0.39956331992230754,0.3332361315274396,0.639121641144178,0.5676824759403762,0.4440346844413698,0.360878358855822,5f3004424c73856a6f671dfd66a2460dcbc29cd7de5d6ccd7f2194ef9229e407
a1,2,C03_DUAL_ELEMENTWISE_MAX,candidate,0.26763249168937997,0.4011427741774313,0.3343876329334057,0.6337185784455359,0.5607213364480286,0.4508305945459165,0.3662814215544641,77b2d578cc5e26f042fb5a9750bf816a210f74b94971867f34378c254f1cd534
a1,2,C04_DUAL_ELEMENTWISE_MIN,candidate,0.2684763557237009,0.39365903854464307,0.33106769713417195,0.673273620340942,0.6051039160358014,0.40734342328346634,0.32672637965905804,d97a053a8af8dedf363a2b20f99dc7d54f1446539271d17d2ae104173652d40a
a1,2,C05_DUAL_HARMONIC_INTERSECTION,candidate,0.2686823605293259,0.391390107189218,0.33003623385927194,0.6717711644033516,0.6038307902107192,0.40823425472829145,0.3282288355966484,014efe5c528a19fd9df5da5ed080481a28a2d244868072d8d65ca24e805e1de0
a1,2,C06_DUAL_ROW_STOCHASTIC_MEAN,candidate,0.2676255761490585,0.3994109568691854,0.333518266509122,0.644813637676972,0.5752571050268502,0.43626555769905273,0.355186362323028,6610415dcde7a2f5f91a16ddc5b576d3ebf1e5f6a1e516c6a5fb26763c594f6d
a1,2,C07_DUAL_LOCAL_RELIABILITY,candidate,0.26699852197317026,0.39940283849309743,0.3332006802331339,0.641462005200809,0.5696645223961551,0.44201157766988936,0.358537994799191,aee791bb6f55028372a88ba8a467397a5a79e48c22a9e1361db56c376a572699
a1,2,C08_SIX_VIEW_SUPPORT_MEDIAN,candidate,0.26709487266437204,0.4001505086089389,0.3336226906366555,0.6390060676105171,0.5678238785219886,0.4439119779320997,0.36099393238948285,272d1ce1fae1ad1f5c346ee713a52d3c473b2e63061bb3334dea4a15561d9aef
a1,2,C09_DUAL_SPARSE_SNF10,candidate,0.20860154787970756,0.3636784156105512,0.2861399817451294,0.7490898584224213,0.6991497567676858,0.3114571845112772,0.25091014157757874,09bd7a0972dbce6046fc7088c8110788c30083f9385e3e2c614a058b77384d8b
a1,2,C10_DUAL_MEAN_SPATIAL05,candidate,0.2668959782037088,0.40092672796750567,0.33391135308560727,0.6540884137532506,0.5846870045907938,0.42714012504995164,0.34591158624674945,0fd583cd7d86b466a7808c5deed956ec4c236af3949c924228e943853a9a31cd
a1,2,C11_DUAL_MEAN_SPATIAL10,candidate,0.2629861951645531,0.4017854488959199,0.3323858220302365,0.6690262929789078,0.5991115942669277,0.41332487452588557,0.3309737070210922,93135c117b7141a88a5139bfbcb8803a30c0c82e4e127c573afccb4921baed47
a1,2,REFERENCE_G00_H00,reference,0.2786746518016423,0.3910716010512209,0.33487312642643163,0.6306847731869402,0.5306103541757351,0.4750034772299929,0.36931522681305984,94357b8c79708faa2750d3377407c86fdfe40795856a91790662c7f971703208
a1,3,C00_G04_H05_CONFIRMED,candidate,0.2640021001278234,0.40423792852924534,0.33412001432853433,0.6338052585957815,0.574343599235682,0.44028730010544403,0.3661947414042185,d43e7316f837a38d30be934b8d47292126d384d851d7b2a079ac3e986a89b7cf
a1,3,C01_G00_H05,candidate,0.2540182120498977,0.3853619433900725,0.31969007771998514,0.66131175960705,0.5997919576091647,0.41216258238638537,0.33868824039295,269a54adc7582bb02170d0733f6471ce11b568acdbd9ea54961c046bcf07f1d3
a1,3,C02_DUAL_ARITHMETIC_MEAN,candidate,0.26368077884655555,0.4006574505510956,0.3321691146988256,0.6510546084946547,0.5857657008230062,0.4266905164733613,0.3489453915053453,bd84cd22e2550dec0b86615cecd7be1a3032b2804b0e2fce14ffaa818e02f3e4
a1,3,C03_DUAL_ELEMENTWISE_MAX,candidate,0.2619558590413494,0.40027869854328096,0.3311172787923152,0.6422710199364345,0.5744517740418431,0.4374510141094108,0.35772898006356546,6e86913c2e5d8c1bf390ed5507cbc23b98e304001409c5c25fe99aacfed20197
a1,3,C04_DUAL_ELEMENTWISE_MIN,candidate,0.24865214605591923,0.3793378743293109,0.31399501019261505,0.6844553597226235,0.6342455949913839,0.37886015039053944,0.3155446402773765,f5d97b50a3a7b951af6da312844754bae9e9a2c1acbe4cb160beb73cf12578b1
a1,3,C05_DUAL_HARMONIC_INTERSECTION,candidate,0.2487774073269234,0.3795594853224347,0.31416844632467905,0.6876914186651257,0.6390745202508576,0.37397690535145556,0.31230858133487427,d313ca95804cab7f974bbeae4fa3e2483e9e3c10551d59e4bd4b175e57b4a872
a1,3,C06_DUAL_ROW_STOCHASTIC_MEAN,candidate,0.26333180893218333,0.4014124693642401,0.33237213914821173,0.655764229991332,0.589079841890997,0.42315836356199493,0.344235770008668,05459a5d26988753960b912baa19d02b650604a06718e80d3a42b7ede77877fe
a1,3,C07_DUAL_LOCAL_RELIABILITY,candidate,0.2629784166189767,0.4008182623696159,0.33189833949429626,0.6529037850332274,0.58756904996335,0.42499688028610033,0.34709621496677256,9b9d09d392f7bb4d6ac7e06a110f2bcba6090b1e6a513f3e2d59cc56291149f9
a1,3,C08_SIX_VIEW_SUPPORT_MEDIAN,candidate,0.26341583122735374,0.40019034492152145,0.3318030880744376,0.65108350187807,0.5855321638861495,0.4269222085893839,0.34891649812193004,51e94c03bd6bf699308918a0b84445aab0f7e944ee05ea95fdcaa0046b49309b
a1,3,C09_DUAL_SPARSE_SNF10,candidate,0.2013870180316615,0.3675482644970391,0.2844676412643503,0.7483097370702109,0.7044996386474967,0.3072289190285215,0.25169026292978913,73d06615a73625af1d56cab659036676669af2149f25bbac1a987fccd54c64b6
