config_id,success_cells,failure_cells,a1_success,a1_mean_ari,a1_mean_delta_ari,a1_wins_ari,a1_mean_nmi,a1_mean_delta_nmi,a1_wins_nmi,a1_mean_q,a1_mean_delta_q,a1_wins_q,a1_mean_neighbor_agreement,a1_mean_delta_neighbor_agreement,a1_wins_neighbor_agreement,a1_mean_moran_i,a1_mean_delta_moran_i,a1_wins_moran_i,a1_mean_geary_c,a1_mean_delta_geary_c,a1_wins_geary_c,a1_mean_boundary_disagreement,a1_mean_delta_boundary_disagreement,a1_wins_boundary_disagreement,tonsil_success,tonsil_mean_ari,tonsil_mean_delta_ari,tonsil_wins_ari,tonsil_mean_nmi,tonsil_mean_delta_nmi,tonsil_wins_nmi,tonsil_mean_q,tonsil_mean_delta_q,tonsil_wins_q,tonsil_mean_neighbor_agreement,tonsil_mean_delta_neighbor_agreement,tonsil_wins_neighbor_agreement,tonsil_mean_moran_i,tonsil_mean_delta_moran_i,tonsil_wins_moran_i,tonsil_mean_geary_c,tonsil_mean_delta_geary_c,tonsil_wins_geary_c,tonsil_mean_boundary_disagreement,tonsil_mean_delta_boundary_disagreement,tonsil_wins_boundary_disagreement,d1_success,d1_mean_ari,d1_mean_delta_ari,d1_wins_ari,d1_mean_nmi,d1_mean_delta_nmi,d1_wins_nmi,d1_mean_q,d1_mean_delta_q,d1_wins_q,d1_mean_neighbor_agreement,d1_mean_delta_neighbor_agreement,d1_wins_neighbor_agreement,d1_mean_moran_i,d1_mean_delta_moran_i,d1_wins_moran_i,d1_mean_geary_c,d1_mean_delta_geary_c,d1_wins_geary_c,d1_mean_boundary_disagreement,d1_mean_delta_boundary_disagreement,d1_wins_boundary_disagreement,p22_success,p22_mean_ari,p22_mean_delta_ari,p22_wins_ari,p22_mean_nmi,p22_mean_delta_nmi,p22_wins_nmi,p22_mean_q,p22_mean_delta_q,p22_wins_q,p22_mean_neighbor_agreement,p22_mean_delta_neighbor_agreement,p22_wins_neighbor_agreement,p22_mean_moran_i,p22_mean_delta_moran_i,p22_wins_moran_i,p22_mean_geary_c,p22_mean_delta_geary_c,p22_wins_geary_c,p22_mean_boundary_disagreement,p22_mean_delta_boundary_disagreement,p22_wins_boundary_disagreement,complete_eligible,priority_weighted_q,priority_weighted_delta_q,balanced_macro_delta_q,worst_dataset_delta_q,total_q_wins,mean_runtime_seconds,mean_peak_rss_mib,mean_gpu_allocation_mib,registry_order
H01,30,0,5,0.2667089431128298,-0.0024965093441922104,1,0.4047670536975524,-0.003906831042648417,1,0.3357379984051911,-0.003201670193420303,1,0.6494250216700376,0.021329095637099126,5,0.5844200033665519,0.02381836865455451,5,0.4280030120316539,-0.024636346316277435,0,0.35057497832996243,-0.021329095637099126,0,5,0.14933496832574608,-0.0036194364106456435,0,0.26969172926094676,-0.0030309365480099327,0,0.20951334879334643,-0.003325186479327791,0,0.721165156022971,-0.00013376692266890976,4,0.5814714253672922,0.004824196106187784,4,0.4157507968996484,-0.004904271850327491,1,0.27883484397702896,0.00013376692266890976,1,10,0.24824447804630906,0.00704388148230845,7,0.3815161117732503,0.003860064238471006,8,0.3148802949097797,0.005451972860389731,8,0.650628667225482,0.022009340198778593,10,0.5901992938396456,0.025441339020124874,10,0.41929168572659997,-0.025322935451724003,0,0.34937133277451804,-0.022009340198778593,0,10,0.47225466436307234,0.05198098643120604,10,0.6284350162148888,0.038128661978711745,10,0.5503448402889806,0.04505482420495889,10,0.9084178119846069,0.012695986805937342,10,0.8680449096020455,0.026183307849941308,10,0.133198824532296,-0.025398573596445106,0,0.09158218801539307,-0.012695986805937342,0,True,0.38670226974888783,0.0158329861665788,0.010994985098150133,-0.003325186479327791,19,16.71081816268464,1019.902734375,0.0,1
H02,30,0,5,0.2683318813309082,-0.0008735711261138812,2,0.40709220270333885,-0.0015816820368618977,1,0.3377120420171235,-0.001227626581487895,2,0.6467610517191563,0.018665125686217875,5,0.580861903998508,0.020260269286510767,5,0.4316673783706902,-0.02097197997724114,0,0.3532389482808437,-0.018665125686217875,0,5,0.14737874112282012,-0.005575663613571602,0,0.2691422976812702,-0.003580368127686495,0,0.20826051940204518,-0.004578015870629048,0,0.723360778615743,0.0020618556701030855,5,0.5829330644759035,0.006285835214799152,5,0.4143627903419552,-0.00629227840802068,0,0.276639221384257,-0.0020618556701030855,0,10,0.24755764449015122,0.006357047926150572,7,0.38206457936470295,0.004408531829923634,9,0.3148111119274271,0.005382789878037109,9,0.6464375523889354,0.017818225362232078,10,0.5849361102476781,0.020178155428157284,10,0.42461569049632175,-0.01999893068200226,0,0.3535624476110645,-0.017818225362232078,0,10,0.4712613591502233,0.050987681218357006,10,0.6267230839907444,0.036416729754567334,10,0.5489922215704838,0.043702205486462156,10,0.9067168774051677,0.010995052226498093,10,0.8651157726545733,0.023254170902469073,10,0.1359337188523217,-0.022663679276419407,0,0.09328312259483232,-0.010995052226498093,0,True,0.38651714394611375,0.0156478603638047,0.01081983822809558,-0.004578015870629048,21,16.700413493377468,1019.9130208333333,0.0,2
H07,30,0,5,0.2668262269965972,-0.0023792254604248055,1,0.40529643524573744,-0.003377449494463336,1,0.3360613311211673,-0.0028783374774440707,1,0.6494539150534527,0.021357989020514313,5,0.5844332709713317,0.023831636259334397,5,0.4279923121677589,-0.024647046180172417,0,0.35054608494654727,-0.021357989020514313,0,5,0.14830956893665265,-0.004644835799739067,0,0.269441713233417,-0.0032809525755397306,0,0.2088756410850348,-0.003962894187639399,0,0.7213358241656864,3.690122004655905e-05,4,0.5819249085238123,0.005277679262708013,4,0.41526633015607706,-0.00538873859389889,1,0.2786641758343135,-3.690122004655905e-05,1,10,0.24806527274588902,0.006864676181888363,8,0.3811231144832265,0.003467066948447256,8,0.3145941936145578,0.005165871565167823,8,0.6508921087294934,0.02227278170279009,10,0.590186738324311,0.025428783504790265,10,0.4192591145482057,-0.025355506630118284,0,0.3491078912705065,-0.02227278170279009,0,10,0.47169710525772357,0.051423427325857286,10,0.6281312884233937,0.03782493418721665,10,0.5499141968405585,0.04462418075653697,10,0.9083584387025839,0.012636613523914264,10,0.8677817752581755,0.025920173506071342,10,0.13345295350853448,-0.02514444462020663,0,0.09164156129741616,-0.012636613523914264,0,True,0.386465196240882,0.015595912658572967,0.010737205164155331,-0.003962894187639399,19,16.715874976788957,1019.9131510416667,0.0,7
H06,30,0,5,0.2664278014655096,-0.0027776509915124594,1,0.40419718030440954,-0.004476704435791267,1,0.3353124908849595,-0.0036271777136518747,1,0.6478474429355676,0.01975151690262931,5,0.5823299568745173,0.021728322162519874,5,0.4301420705674358,-0.022497287780495513,0,0.35215255706443227,-0.01975151690262931,0,5,0.14820157187194377,-0.004752832864447959,0,0.2685886893554401,-0.0041339764535165855,0,0.20839513061369197,-0.004443404658982275,0,0.7218801171613736,0.0005811942157337713,4,0.5823022801658128,0.005655050904708347,4,0.41488651143538313,-0.005768557314592804,1,0.2781198828386263,-0.0005811942157337713,1,10,0.24618979145106099,0.004989194887060325,7,0.3809775924326445,0.0033215448978652527,8,0.31358369194185276,0.004155369892462795,8,0.6483265477188361,0.0197072206921327,10,0.5884639564388161,0.02370600161929526,10,0.4210039066441814,-0.02361071453414253,0,0.35167345228116387,-0.0197072206921327,0,10,0.47259323740617304,0.052319559474306644,10,0.6288941399046921,0.03858778566851521,10,0.5507436886554326,0.045453672571410905,10,0.9079670148433205,0.012245189664650925,10,0.8673336850428663,0.025472083290762237,10,0.13390442236266348,-0.02469297576607765,0,0.09203298515667949,-0.012245189664650925,0,True,0.38624360632815824,0.015374322745849206,0.010384615022809887,-0.004443404658982275,19,16.82110153120011,1019.9130208333333,0.0,6
H03,30,0,5,0.2689118148087361,-0.0002936376482859271,2,0.40937814392869243,0.0007042591884916071,2,0.3391449793687143,0.00020531077010285114,3,0.6444669170759896,0.016370991043051175,5,0.5776404292583134,0.017038794546316117,5,0.4351084662989451,-0.01753089204898619,0,0.35553308292401037,-0.016370991043051175,0,5,0.1483836914458699,-0.004570713290521833,0,0.26919989722379845,-0.003522768585158209,0,0.20879179433483416,-0.004046740937840016,0,0.7228349362300791,0.001536013284439175,5,0.5809378044864191,0.0042905752253147075,5,0.41629201778163843,-0.0043630509683374565,0,0.2771650637699209,-0.001536013284439175,0,10,0.2460455599018916,0.004844963337890959,7,0.38079838449018455,0.003142336955405267,10,0.31342197219603807,0.00399365014664812,7,0.6437073404382708,0.015088013411567491,10,0.5822101351877798,0.017452180368258952,10,0.42736199967596705,-0.017252621502356884,0,0.3562926595617292,-0.015088013411567491,0,10,0.46614243330887595,0.04586875537700966,10,0.6226007055708054,0.032294351334628456,10,0.5443715694398408,0.039081553355819046,10,0.9048114348543155,0.009089609675645982,10,0.8611713699790794,0.019309768226975166,10,0.13974667370485003,-0.01885072442389107,0,0.09518856514568444,-0.009089609675645982,0,True,0.3849905563453575,0.014121272763048406,0.0098084433336825,-0.004046740937840016,20,16.79113801040997,1019.9130208333333,0.0,3
H04,30,0,5,0.2697503850349646,0.0005449325779425696,3,0.41080840031208543,0.002134515571884732,4,0.340279392673525,0.0013397240749136396,3,0.6408956948858711,0.01279976885293268,5,0.5734224614636314,0.01282082675163414,5,0.43954675605415633,-0.013092602293774902,0,0.3591043051141289,-0.01279976885293268,0,5,0.148999958276587,-0.003954446459804783,0,0.269334980410982,-0.003387685397974738,0,0.20916746934378447,-0.0036710659288897605,0,0.7224474734195898,0.0011485504739500384,5,0.5797999716302407,0.0031527423691362745,5,0.4173492020766509,-0.0033058666733249862,0,0.2775525265804101,-0.0011485504739500384,0,10,0.24398280934243352,0.002782212778432902,6,0.3795671111945939,0.0019110636598146436,7,0.3117749602685137,0.002346638219123781,6,0.6411298048137948,0.012510477787091356,10,0.5789297370373794,0.014171782217858486,10,0.43056435310719215,-0.014050268071131878,0,0.3588701951862053,-0.012510477787091356,0,10,0.46228773236266285,0.04201405443079655,9,0.6191389512185989,0.028832596982421986,10,0.5407133417906309,0.03542332570660926,10,0.9028532160527762,0.00713139087410668,10,0.8575450639574808,0.015683462205376596,10,0.14333326539441119,-0.015264132734329947,0,0.09714678394722373,-0.00713139087410668,0,True,0.38363837826379815,0.012769094681489132,0.00885965551793923,-0.0036710659288897605,19,16.806146131021283,1019.9130208333333,0.0,4
H15,30,0,5,0.2548441133988488,-0.0143613390581732,0,0.39958138386825753,-0.009092500871943233,0,0.3272127486335532,-0.011726919965058213,0,0.6398381970528749,0.011742271019936457,4,0.5770332651149893,0.016431630402991983,4,0.4338416500409796,-0.01879770830695171,1,0.3601618029471251,-0.011742271019936457,1,5,0.1537992594345297,0.000844854698137959,1,0.27117670410236555,-0.0015459617065910925,2,0.21248798176844766,-0.00035055350422656396,1,0.717691828686086,-0.003607094259553967,1,0.5858314357663391,0.009184206505234771,5,0.4123322392304317,-0.008322829519544139,0,0.28230817131391406,0.003607094259553967,4,10,0.22274326974692515,-0.018457326817075466,0,0.36753973113949356,-0.01011631639528573,1,0.29514150044320936,-0.0142868216061806,1,0.6404083343312178,0.011789007304514421,10,0.5882828841760642,0.023524929356543444,10,0.4192159540024954,-0.025398667175828595,0,0.3595916656687822,-0.011789007304514421,0,10,0.47942264346496105,0.05914896553309471,8,0.6336891374030127,0.04338278316683565,10,0.5565558904339867,0.05126587434996518,10,0.8960648708081363,0.0003430456294667428,5,0.8684125311303204,0.02655092937821608,10,0.13344567805940027,-0.02515172006934082,0,0.10393512919186368,-0.0003430456294667428,5,True,0.3822563211863531,0.011387037604044125,0.00622539481862495,-0.0142868216061806,12,1.0319203111032644,1023.1552083333333,0.0,15
H05,30,0,5,0.26924600380938124,4.055135235921936e-05,3,0.41044498802468954,0.0017711032844888396,4,0.33984549591703545,0.0009058273184240351,3,0.6360704998555331,0.007974573822594633,4,0.568048128122417,0.0074464934104196525,5,0.44515027120171535,-0.007489087146215956,1,0.36392950014446696,-0.007974573822594633,1,5,0.14964093293975184,-0.0033134717966398775,0,0.269685793221148,-0.0030368725878087144,0,0.20966336308044992,-0.0031751721922243016,0,0.7224428607670841,0.0011439378214442187,5,0.5789705518129127,0.0023233225518082936,5,0.418214563523733,-0.002440505226242962,0,0.27755713923291586,-0.0011439378214442187,0,10,0.24258949727567924,0.0013889007116786283,7,0.37845125662139256,0.0007952090866132466,7,0.31052037694853596,0.001092054899145961,7,0.6366453119386899,0.008025984911986594,10,0.5736596842571601,0.00890172943763925,10,0.4358579028203546,-0.00875671835796935,0,0.36335468806131,-0.008025984911986594,0,10,0.45457593138494506,0.03430225345307876,10,0.613526362327185,0.023220008091007983,10,0.534051146856065,0.028761130772043376,10,0.9007828477185267,0.005061022539857063,10,0.852273045959054,0.01041144420694976,10,0.14845953415286822,-0.010137863975872907,0,0.09921715228147335,-0.005061022539857063,0,True,0.38095887407808304,0.010089590495774034,0.0068959601993472674,-0.0031751721922243016,20,16.699818451267976,1019.9130208333333,0.0,5
H14,30,0,5,0.2547360354848811,-0.014469416972140936,0,0.403045335147109,-0.005628549593091825,1,0.3288906853159951,-0.010048983282616386,0,0.6079110083790812,-0.02018491765385726,1,0.541557482480407,-0.01904415223159035,1,0.46885091451164895,0.01621155616371763,4,0.39208899162091876,0.02018491765385726,4,5,0.15379843933031895,0.000844034593927201,5,0.2742495025922989,0.0015268367833421892,4,0.2140239709613089,0.0011854356886347006,4,0.7190848497428446,-0.002214073202795297,0,0.5754074059018477,-0.0012398233592567421,0,0.4223671663918912,0.0017120976419153777,5,0.2809151502571554,0.002214073202795297,5,10,0.22061083899476136,-0.02058975756923926,0,0.36423292841720534,-0.013423119117573956,0,0.2924218837059834,-0.017006438343406594,0,0.6114058196623159,-0.01721350736438748,0,0.551784530967729,-0.012973423851791843,1,0.4547365252851095,0.010121904106785535,9,0.3885941803376841,0.01721350736438748,10,10,0.4623968278661604,0.04212314993429408,8,0.6166731097693177,0.026366755533140673,9,0.5395349688177391,0.03424495273371738,8,0.8804683892248487,-0.015253435953820782,0,0.8426840950881545,0.0008224933360503561,5,0.1582549001620891,-0.00034249796665202225,6,0.1195316107751512,0.015253435953820782,10,True,0.3762689769858996,0.0053996934035905435,0.0020937416990822752,-0.017006438343406594,12,0.9674060687422752,1023.155078125,0.0,14
H00,30,0,5,0.26920545245702204,0.0,0,0.4086738847402008,0.0,0,0.3389396685986114,0.0,0,0.6280959260329384,0.0,0,0.5606016347119974,0.0,0,0.45263935834793134,0.0,0,0.3719040739670616,0.0,0,5,0.15295440473639177,0.0,0,0.27272266580895665,0.0,0,0.2128385352726742,0.0,0,0.7212989229456399,0.0,0,0.5766472292611043,0.0,0,0.4206550687499758,0.0,0,0.2787010770543601,0.0,0,10,0.24120059656400064,0.0,0,0.37765604753477927,0.0,0,0.30942832204938997,0.0,0,0.6286193270267033,0.0,0,0.5647579548195208,0.0,0,0.44461462117832395,0.0,0,0.3713806729732966,0.0,0,10,0.42027367793186626,0.0,0,0.5903063542361769,0.0,0,0.5052900160840217,0.0,0,0.8957218251786696,0.0,0,0.8418616017521042,0.0,0,0.1585973981287411,0.0,0,0.10427817482133042,0.0,0,True,0.3708692835823091,0.0,0.0,0.0,0,15.830662853891651,1013.0329427083333,0.0,0
