stage,config_id,dataset,seed,success,status,runtime_seconds,peak_rss_mib,gpu_allocation_mib,ari,nmi,q,neighbor_agreement,moran_i,geary_c,boundary_disagreement
H,H00,a1,0,True,success,2.0373422279953957,628.94140625,0.0,0.2744679880037527,0.41473704796155814,0.3446025179826554,0.6167581623808148,0.5499301490114088,0.46285877900957717,0.3832418376191852
H,H01,a1,0,True,success,2.372722579166293,635.35546875,0.0,0.2727768665728735,0.40860246932196836,0.34068966794742095,0.6375036116729269,0.5770304586007442,0.4353779600837016,0.3624963883270731
H,H02,a1,0,True,success,2.3455666787922382,635.54296875,0.0,0.2744196388095502,0.40959089237247687,0.3420052655910135,0.635336607916787,0.575529631873773,0.43701254257933664,0.36466339208321297
H,H03,a1,0,True,success,2.423532225191593,635.54296875,0.0,0.2767000513631863,0.4136276834056078,0.3451638673843971,0.6318694019069633,0.5708317835872659,0.44175144000438216,0.3681305980930367
H,H04,a1,0,True,success,2.4383165817707777,635.54296875,0.0,0.27883355491756256,0.4168639318589629,0.34784874338826277,0.6311470673215833,0.569058459202161,0.44371201636131874,0.3688529326784167
H,H05,a1,0,True,success,2.3824981823563576,635.54296875,0.0,0.2790627738753487,0.41801990666040406,0.3485413402678764,0.6257151112395262,0.5606637277411568,0.45213163369418885,0.37428488876047383
H,H06,a1,0,True,success,2.3506651502102613,635.54296875,0.0,0.2712679227758345,0.40525089215720833,0.3382594074665214,0.6361745160358278,0.574215256298328,0.4382728807334729,0.36382548396417225
H,H07,a1,0,True,success,2.3440580274909735,635.54296875,0.0,0.2725792148383159,0.4085503183999482,0.34056476661913204,0.6375036116729269,0.5770045570682781,0.43540344149778154,0.3624963883270731
H,H08,a1,0,True,success,4.733726819977164,691.9453125,0.0,0.24464311552075513,0.3951618439269681,0.31990247972386165,0.5577867668303959,0.43990876596333894,0.5637206066707992,0.44221323316960415
H,H09,a1,0,True,success,4.046378944069147,708.703125,0.0,0.2397158395366457,0.39472568094979954,0.3172207602432226,0.5646344986997978,0.46392003655422653,0.5392109461821006,0.43536550130020224
H,H10,a1,0,True,success,4.164945153519511,708.703125,0.0,0.23651140619061026,0.38753518149561494,0.3120232938431126,0.5619474140421843,0.4426729437140559,0.5612292849243588,0.4380525859578157
H,H11,a1,0,True,success,4.0014296639710665,732.1640625,0.0,0.1882727817483789,0.3618415575477295,0.2750571696480542,0.5674082635076567,0.44629536053875984,0.5524618853040227,0.4325917364923433
H,H12,a1,0,True,success,5.866928994655609,732.19921875,0.0,0.18352442231705218,0.35222844144801935,0.26787643188253574,0.5082924010401618,0.45077542374587143,0.5531351861054776,0.4917075989598382
H,H13,a1,0,True,success,5.9870656076818705,732.19921875,0.0,0.147438679891236,0.30620068964004754,0.22681968476564177,0.5356833285177695,0.48387273463278524,0.5175032804623128,0.46431667148223055
H,H14,a1,0,True,success,0.8635587561875582,732.80078125,0.0,0.2704255730316879,0.4101028631144681,0.340264218073078,0.6135221034383126,0.5474311744207261,0.46479086310184936,0.3864778965616874
H,H15,a1,0,True,success,0.9034484382718801,732.8046875,0.0,0.2672603354592689,0.4036631647310617,0.3354617500951653,0.6352788211499567,0.5755170692337493,0.4363749004047598,0.3647211788500433
H,H16,a1,0,False,scientific_numerical_failure,15.905729131773114,739.84375,0.0,,,,,,,
H,H17,a1,0,False,scientific_numerical_failure,24.110096991062164,743.75390625,0.0,,,,,,,
H,H00,a1,1,True,success,1.8807625994086266,756.0,0.0,0.2672471914408437,0.4132690689870539,0.3402581302139488,0.6276220745449292,0.5587973329910844,0.45437093774630793,0.37237792545507076
H,H01,a1,1,True,success,2.092158433049917,756.0,0.0,0.2637857675206587,0.40517149106483163,0.3344786292927452,0.6485408841375325,0.582080820491017,0.43063791399157997,0.3514591158624675
H,H02,a1,1,True,success,2.050667632371187,756.0,0.0,0.2662005089345316,0.4081717877026271,0.33718614831857935,0.6453337185784456,0.5786967855296908,0.43435678172064185,0.35466628142155443
H,H03,a1,1,True,success,2.1654276829212904,756.0,0.0,0.26682187158705767,0.41048512649466146,0.33865349904085956,0.6436001155735337,0.5768680672143811,0.43618566849637624,0.3563998844264663
H,H04,a1,1,True,success,2.2452268190681934,756.0,0.0,0.2677524183781437,0.4127669367598825,0.3402596775690131,0.641173071366657,0.5725479637466523,0.4403743734264573,0.358826928633343
H,H05,a1,1,True,success,2.2114585358649492,756.0,0.0,0.26896258231726194,0.4135462456262525,0.3412544139717572,0.6379081190407396,0.5680609410268567,0.44492935085439694,0.36209188095926037
H,H06,a1,1,True,success,2.1626637503504753,756.0,0.0,0.2636883426474225,0.4068652472392464,0.33527679494333446,0.6492921121063276,0.5823148353442711,0.430794351794482,0.35070788789367235
H,H07,a1,1,True,success,2.129821004346013,756.0,0.0,0.2648629078685353,0.40671801754014275,0.335790462704339,0.6479341230858133,0.581528593194112,0.4312385080316513,0.35206587691418667
H,H08,a1,1,True,success,5.0687792506068945,756.0,0.0,0.1876620834804964,0.3445582768761743,0.2661101801783353,0.5593181161514014,0.430891913649714,0.5691697692482156,0.44068188384859863
H,H09,a1,1,True,success,3.917744316160679,756.0,0.0,0.21152947287696408,0.37765265790907643,0.29459106539302027,0.5659347009534816,0.4803713692839304,0.5231580080347237,0.43406529904651836
H,H10,a1,1,True,success,3.707060867920518,756.0,0.0,0.2128915282130189,0.38072165386157836,0.2968065910372986,0.5634209765963595,0.4788896286120502,0.5246912575336184,0.4365790234036405
H,H11,a1,1,True,success,4.293380098417401,756.0,0.0,0.17168116810277215,0.3499009553692002,0.26079106173598615,0.583790811904074,0.46147820115329663,0.5378057437360614,0.416209188095926
H,H12,a1,1,True,success,4.77804327942431,756.0,0.0,0.15361271382165997,0.3350091487342266,0.2443109312779433,0.5120774342675527,0.4446007801778585,0.5548073035283514,0.4879225657324473
H,H13,a1,1,True,success,6.423968195915222,756.0,0.0,0.18108193841842654,0.35013432469147004,0.2656081315549483,0.5385726668592892,0.49042347940265696,0.5130833406580693,0.4614273331407108
H,H14,a1,1,True,success,0.8355005700141191,756.0,0.0,0.26110741595770487,0.40802105289930585,0.33456423442850536,0.6283444091303092,0.5610305925635724,0.45165326955924145,0.3716555908696908
H,H15,a1,1,True,success,0.8695249054580927,756.0,0.0,0.2609442424343262,0.4036816958226646,0.3323129691284954,0.6475296157180006,0.5823941558178458,0.4298405785650985,0.3524703842819994
H,H16,a1,1,True,success,9.647608472034335,756.0,0.0,0.2571871120847119,0.40466492235266416,0.33092601721868803,0.6491476451892516,0.5585822153654462,0.4452552373233787,0.3508523548107484
H,H17,a1,1,False,scientific_numerical_failure,24.995931884273887,756.0,0.0,,,,,,,
H,H00,a1,2,True,success,2.105263715609908,774.35546875,0.0,0.27526557454695755,0.4095421377720357,0.34240385615949664,0.6193585668881826,0.5343047402051191,0.4775497711581491,0.3806414331118174
H,H01,a1,2,True,success,2.6005378365516663,777.34375,0.0,0.2676255761490585,0.3994109568691854,0.333518266509122,0.644813637676972,0.5752571050268501,0.43626555769905273,0.355186362323028
H,H02,a1,2,True,success,2.5500340554863214,777.359375,0.0,0.27093471150655907,0.4045037261287407,0.3377192188176499,0.6412308581334875,0.5692980147463648,0.44232684329977,0.35876914186651254
H,H03,a1,2,True,success,2.6580566838383675,777.359375,0.0,0.2711236183224483,0.4061384159794848,0.33863101715096655,0.6414908985842243,0.5685210832023885,0.44346849109579295,0.35850910141577574
H,H04,a1,2,True,success,2.5591488070786,777.359375,0.0,0.2721370038342986,0.40962595901893456,0.34088148142661656,0.6362323028026582,0.5573853692347839,0.45445170656166567,0.3637676971973418
H,H05,a1,2,True,success,2.73948978446424,777.359375,0.0,0.2714469518368745,0.4105046388940605,0.3409757953654675,0.630944813637677,0.5489813181332005,0.46298178299458764,0.36905518636232304
