config_id,registry_order,success_cells,failure_cells,a1_success,a1_mean_ari,a1_mean_delta_ari,a1_wins_ari,a1_std_ari,a1_mean_nmi,a1_mean_delta_nmi,a1_wins_nmi,a1_std_nmi,a1_mean_q,a1_mean_delta_q,a1_wins_q,a1_std_q,a1_mean_neighbor_agreement,a1_mean_delta_neighbor_agreement,a1_wins_neighbor_agreement,a1_std_neighbor_agreement,a1_mean_moran_i,a1_mean_delta_moran_i,a1_wins_moran_i,a1_std_moran_i,a1_mean_geary_c,a1_mean_delta_geary_c,a1_wins_geary_c,a1_std_geary_c,a1_mean_boundary_disagreement,a1_mean_delta_boundary_disagreement,a1_wins_boundary_disagreement,a1_std_boundary_disagreement,tonsil_success,tonsil_mean_ari,tonsil_mean_delta_ari,tonsil_wins_ari,tonsil_std_ari,tonsil_mean_nmi,tonsil_mean_delta_nmi,tonsil_wins_nmi,tonsil_std_nmi,tonsil_mean_q,tonsil_mean_delta_q,tonsil_wins_q,tonsil_std_q,tonsil_mean_neighbor_agreement,tonsil_mean_delta_neighbor_agreement,tonsil_wins_neighbor_agreement,tonsil_std_neighbor_agreement,tonsil_mean_moran_i,tonsil_mean_delta_moran_i,tonsil_wins_moran_i,tonsil_std_moran_i,tonsil_mean_geary_c,tonsil_mean_delta_geary_c,tonsil_wins_geary_c,tonsil_std_geary_c,tonsil_mean_boundary_disagreement,tonsil_mean_delta_boundary_disagreement,tonsil_wins_boundary_disagreement,tonsil_std_boundary_disagreement,d1_success,d1_mean_ari,d1_mean_delta_ari,d1_wins_ari,d1_std_ari,d1_mean_nmi,d1_mean_delta_nmi,d1_wins_nmi,d1_std_nmi,d1_mean_q,d1_mean_delta_q,d1_wins_q,d1_std_q,d1_mean_neighbor_agreement,d1_mean_delta_neighbor_agreement,d1_wins_neighbor_agreement,d1_std_neighbor_agreement,d1_mean_moran_i,d1_mean_delta_moran_i,d1_wins_moran_i,d1_std_moran_i,d1_mean_geary_c,d1_mean_delta_geary_c,d1_wins_geary_c,d1_std_geary_c,d1_mean_boundary_disagreement,d1_mean_delta_boundary_disagreement,d1_wins_boundary_disagreement,d1_std_boundary_disagreement,p22_success,p22_mean_ari,p22_mean_delta_ari,p22_wins_ari,p22_std_ari,p22_mean_nmi,p22_mean_delta_nmi,p22_wins_nmi,p22_std_nmi,p22_mean_q,p22_mean_delta_q,p22_wins_q,p22_std_q,p22_mean_neighbor_agreement,p22_mean_delta_neighbor_agreement,p22_wins_neighbor_agreement,p22_std_neighbor_agreement,p22_mean_moran_i,p22_mean_delta_moran_i,p22_wins_moran_i,p22_std_moran_i,p22_mean_geary_c,p22_mean_delta_geary_c,p22_wins_geary_c,p22_std_geary_c,p22_mean_boundary_disagreement,p22_mean_delta_boundary_disagreement,p22_wins_boundary_disagreement,p22_std_boundary_disagreement,complete_eligible,priority_weighted_q,priority_weighted_delta_q,priority_weighted_delta_ari,priority_weighted_delta_nmi,balanced_macro_q,balanced_macro_delta_q,human_lymph_equal_mean_delta_q,worst_dataset_delta_q,total_q_wins,mean_runtime_seconds,mean_peak_gpu_mib
R02__E1_ADAPTER_C06_MEAN__H01,10,8,0,2,0.262381268941812,-0.008476320780486213,0,0.010160170390903183,0.402001026694763,-0.012002031779542982,0,0.003653077425252959,0.3321911478182875,-0.010239176280014584,0,0.006906623908078051,0.6212944235770008,-0.0008956948858711566,1,0.004413032786370876,0.553933772394797,-0.0004299686064495045,1,0.002694848695676059,0.4578046291073833,-0.0008102292705592373,1,0.0028115274369996546,0.3787055764229991,0.0008956948858711844,1,0.004413032786370876,2,0.14698574383852026,-0.0034381915130719115,0,0.0071799513852384405,0.2639299353213359,-0.007799256569261531,0,0.004403174529597486,0.20545783957992808,-0.005618724041166687,0,0.0013883884278204672,0.71230886321179,-0.00910998869900137,0,0.009784913598374691,0.5760062687775046,-0.00036516727510416125,1,0.0057514738598583364,0.4206940563119699,-0.00010920327120025886,1,0.005212233840319642,0.28769113678821007,0.00910998869900137,2,0.009784913598374691,2,0.23791035224292967,-0.006881240728524807,0,0.0007279744269511362,0.37906756814050824,0.0007520558668266952,1,0.005610258787768677,0.30848896019171895,-0.0030645924308490835,1,0.0024411421804087403,0.6392647587115315,0.010777152436833914,2,0.0016087928203261939,0.5811832593546429,0.015082843632998277,2,0.0008228208184946695,0.4276814573452462,-0.015532312668075726,0,0.0009429963096415664,0.36073524128846846,-0.010777152436833887,0,0.0016087928203261939,2,0.497391686895282,0.12908381658146229,2,0.010673977082396627,0.6450359773604286,0.08817958337063919,2,0.006797324875465331,0.5712138321278553,0.10863169997605077,2,0.008735650978931017,0.9015557998900495,0.009318306761957162,2,0.001593808577715684,0.8597432068949267,0.025898389273886546,2,0.0007161731077192861,0.14136694326693366,-0.02490527714100238,0,0.0009250203198309089,0.09844420010995047,-0.00931830676195708,0,0.001593808577715684,True,0.3909135441842402,0.03385234420772684,0.040824216699298255,0.026880471716155412,0.3543379449294474,0.022427301806005103,-0.0066518843554318335,-0.010239176280014584,3,21.80820059403777,160.433349609375
R02__E1_ADAPTER_C06_MEAN__H02,11,8,0,2,0.262381268941812,-0.008476320780486213,0,0.010160170390903183,0.402001026694763,-0.012002031779542982,0,0.003653077425252959,0.3321911478182875,-0.010239176280014584,0,0.006906623908078051,0.6212944235770008,-0.0008956948858711566,1,0.004413032786370876,0.553933772394797,-0.0004299686064495045,1,0.002694848695676059,0.4578046291073833,-0.0008102292705592373,1,0.0028115274369996546,0.3787055764229991,0.0008956948858711844,1,0.004413032786370876,2,0.14698574383852026,-0.0034381915130719115,0,0.0071799513852384405,0.2639299353213359,-0.007799256569261531,0,0.004403174529597486,0.20545783957992808,-0.005618724041166687,0,0.0013883884278204672,0.71230886321179,-0.00910998869900137,0,0.009784913598374691,0.5760062687775046,-0.00036516727510416125,1,0.0057514738598583364,0.4206940563119699,-0.00010920327120025886,1,0.005212233840319642,0.28769113678821007,0.00910998869900137,2,0.009784913598374691,2,0.23791035224292967,-0.006881240728524807,0,0.0007279744269511362,0.37906756814050824,0.0007520558668266952,1,0.005610258787768677,0.30848896019171895,-0.0030645924308490835,1,0.0024411421804087403,0.6392647587115315,0.010777152436833914,2,0.0016087928203261939,0.5811832593546429,0.015082843632998277,2,0.0008228208184946695,0.4276814573452462,-0.015532312668075726,0,0.0009429963096415664,0.36073524128846846,-0.010777152436833887,0,0.0016087928203261939,2,0.497391686895282,0.12908381658146229,2,0.010673977082396627,0.6450359773604286,0.08817958337063919,2,0.006797324875465331,0.5712138321278553,0.10863169997605077,2,0.008735650978931017,0.9015557998900495,0.009318306761957162,2,0.001593808577715684,0.8597432068949267,0.025898389273886546,2,0.0007161731077192861,0.14136694326693366,-0.02490527714100238,0,0.0009250203198309089,0.09844420010995047,-0.00931830676195708,0,0.001593808577715684,True,0.3909135441842402,0.03385234420772684,0.040824216699298255,0.026880471716155412,0.3543379449294474,0.022427301806005103,-0.0066518843554318335,-0.010239176280014584,3,21.80820059403777,160.433349609375
R08__E1_ADAPTER_C06_MEAN__H01,34,8,0,2,0.26446804018661824,-0.006389549535679967,0,0.008673157784959229,0.40093601629887465,-0.013067042175431337,0,0.0042185552586057745,0.3327020282427464,-0.00972829585555568,0,0.0064458565217825016,0.6543195608205721,0.032129442357700044,2,0.009561571037136781,0.5942192530295192,0.03985551202827253,2,0.004085042522279868,0.4178179115769761,-0.040796946800966405,0,0.004048345551380658,0.3456804391794279,-0.03212944235770002,0,0.009561571037136781,2,0.16262932699633298,0.01220539164474084,1,0.033292149377498886,0.27141902779730803,-0.0003101640932893779,1,0.010244741002231359,0.2170241773968205,0.005947613775725752,1,0.021768445189865114,0.716644756567264,-0.004774095343527296,0,0.006686357625556016,0.5992574394120671,0.022886003359458285,2,0.018147154931673043,0.39883545406394344,-0.02196780551922667,0,0.017064019327921023,0.283355243432736,0.004774095343527296,2,0.006686357625556016,2,0.2633002370712708,0.0185086440998163,2,0.0032755809625588856,0.38617618166325957,0.007860669389578023,2,0.004268911768691335,0.32473820936726516,0.013184656744697126,2,0.00377224636562513,0.6627948748652857,0.03430726859058797,2,0.006096478055973156,0.6017880098610056,0.03568759413936101,2,0.007934178368293889,0.4072970216259143,-0.03591674838740758,0,0.006967073130078564,0.3372051251347144,-0.03430726859058794,0,0.006096478055973156,2,0.4679546609229698,0.09964679060915005,2,0.023047902061722518,0.6288556059237804,0.071999211933991,2,0.016780576574936402,0.548405133423375,0.08582300127157061,2,0.019914239318329422,0.9125508521165475,0.02031335898845521,2,0.004485988045570513,0.8805785216486385,0.0467337040275983,2,0.002778093941973965,0.12096692601989281,-0.04530529438804325,0,0.00286979548403899,0.08744914788345243,-0.020313358988455127,0,0.004485988045570513,True,0.3888554827102072,0.03179428273369394,0.03973695910094772,0.023851606366440115,0.35571738710755174,0.023806743984109452,0.0017281804445707233,-0.00972829585555568,5,24.8207994136028,643.0713500976562
R08__E1_ADAPTER_C06_MEAN__H02,35,8,0,2,0.26446804018661824,-0.006389549535679967,0,0.008673157784959229,0.40093601629887465,-0.013067042175431337,0,0.0042185552586057745,0.3327020282427464,-0.00972829585555568,0,0.0064458565217825016,0.6543195608205721,0.032129442357700044,2,0.009561571037136781,0.5942192530295192,0.03985551202827253,2,0.004085042522279868,0.4178179115769761,-0.040796946800966405,0,0.004048345551380658,0.3456804391794279,-0.03212944235770002,0,0.009561571037136781,2,0.16262932699633298,0.01220539164474084,1,0.033292149377498886,0.27141902779730803,-0.0003101640932893779,1,0.010244741002231359,0.2170241773968205,0.005947613775725752,1,0.021768445189865114,0.716644756567264,-0.004774095343527296,0,0.006686357625556016,0.5992574394120671,0.022886003359458285,2,0.018147154931673043,0.39883545406394344,-0.02196780551922667,0,0.017064019327921023,0.283355243432736,0.004774095343527296,2,0.006686357625556016,2,0.2633002370712708,0.0185086440998163,2,0.0032755809625588856,0.38617618166325957,0.007860669389578023,2,0.004268911768691335,0.32473820936726516,0.013184656744697126,2,0.00377224636562513,0.6627948748652857,0.03430726859058797,2,0.006096478055973156,0.6017880098610056,0.03568759413936101,2,0.007934178368293889,0.4072970216259143,-0.03591674838740758,0,0.006967073130078564,0.3372051251347144,-0.03430726859058794,0,0.006096478055973156,2,0.4679546609229698,0.09964679060915005,2,0.023047902061722518,0.6288556059237804,0.071999211933991,2,0.016780576574936402,0.548405133423375,0.08582300127157061,2,0.019914239318329422,0.9125508521165475,0.02031335898845521,2,0.004485988045570513,0.8805785216486385,0.0467337040275983,2,0.002778093941973965,0.12096692601989281,-0.04530529438804325,0,0.00286979548403899,0.08744914788345243,-0.020313358988455127,0,0.004485988045570513,True,0.3888554827102072,0.03179428273369394,0.03973695910094772,0.023851606366440115,0.35571738710755174,0.023806743984109452,0.0017281804445707233,-0.00972829585555568,5,24.8207994136028,643.0713500976562
R04__E1_ADAPTER_C06_MEAN__H01,18,8,0,2,0.26452865673118126,-0.006328932991116948,0,0.009882218753970285,0.4004629624850101,-0.01354009598929587,0,0.006126441429190588,0.33249580960809566,-0.009934514490206409,0,0.008004330091580436,0.6556486564576711,0.03345853799479914,2,0.01086913630717264,0.596023644185825,0.041659903184578406,2,0.005272997460693801,0.4160478699579365,-0.04256698842000595,0,0.005170564414115921,0.3443513435423288,-0.033458537994799115,0,0.01086913630717264,2,0.16286412413697526,0.012440188785383097,1,0.03394374526330796,0.2708263336545763,-0.0009028582360210702,1,0.010959417788684662,0.2168452288957758,0.005768665274681034,1,0.022451581525996304,0.7168407942987616,-0.0045780576120297845,0,0.008137786475981642,0.599220996037217,0.022849559984608192,2,0.01660159937051753,0.39888816285134826,-0.021915096731821848,0,0.015554236176774813,0.2831592057012385,0.0045780576120297845,2,0.008137786475981644,2,0.2619708064188648,0.017179213447410288,2,0.0019603404361342894,0.3864317491178991,0.008116236844217611,2,0.0034679476228206677,0.324201277768382,0.012647725145813943,2,0.002714144029477498,0.6614926356125015,0.03300502933780386,2,0.005186240012893746,0.5999275018827814,0.03382708616113683,2,0.007870789363537488,0.40907074345119726,-0.034143026562124645,0,0.007096873416641384,0.3385073643874985,-0.03300502933780383,0,0.005186240012893746,2,0.4654035193322372,0.09709564901841747,2,0.029904082802322256,0.6282275548693785,0.07137116087958922,2,0.020779795931364843,0.5468155371008079,0.08423340494900339,2,0.02534193936684361,0.9131280923584386,0.020890599230346307,2,0.004089479570138799,0.8810649211900157,0.04722010356897555,2,0.0028638463507364,0.1205438002280425,-0.045728420179893564,0,0.0029371218057640007,0.08687190764156133,-0.020890599230346224,0,0.0040894795701388,True,0.3880864941637685,0.031025294187255224,0.03856207558832691,0.0234885127861835,0.35508946334326535,0.02317882021982299,0.001356605327803767,-0.009934514490206409,5,24.34839474596083,632.3264770507812
R04__E1_ADAPTER_C06_MEAN__H02,19,8,0,2,0.26452865673118126,-0.006328932991116948,0,0.009882218753970285,0.4004629624850101,-0.01354009598929587,0,0.006126441429190588,0.33249580960809566,-0.009934514490206409,0,0.008004330091580436,0.6556486564576711,0.03345853799479914,2,0.01086913630717264,0.596023644185825,0.041659903184578406,2,0.005272997460693801,0.4160478699579365,-0.04256698842000595,0,0.005170564414115921,0.3443513435423288,-0.033458537994799115,0,0.01086913630717264,2,0.16286412413697526,0.012440188785383097,1,0.03394374526330796,0.2708263336545763,-0.0009028582360210702,1,0.010959417788684662,0.2168452288957758,0.005768665274681034,1,0.022451581525996304,0.7168407942987616,-0.0045780576120297845,0,0.008137786475981642,0.599220996037217,0.022849559984608192,2,0.01660159937051753,0.39888816285134826,-0.021915096731821848,0,0.015554236176774813,0.2831592057012385,0.0045780576120297845,2,0.008137786475981644,2,0.2619708064188648,0.017179213447410288,2,0.0019603404361342894,0.3864317491178991,0.008116236844217611,2,0.0034679476228206677,0.324201277768382,0.012647725145813943,2,0.002714144029477498,0.6614926356125015,0.03300502933780386,2,0.005186240012893746,0.5999275018827814,0.03382708616113683,2,0.007870789363537488,0.40907074345119726,-0.034143026562124645,0,0.007096873416641384,0.3385073643874985,-0.03300502933780383,0,0.005186240012893746,2,0.4654035193322372,0.09709564901841747,2,0.029904082802322256,0.6282275548693785,0.07137116087958922,2,0.020779795931364843,0.5468155371008079,0.08423340494900339,2,0.02534193936684361,0.9131280923584386,0.020890599230346307,2,0.004089479570138799,0.8810649211900157,0.04722010356897555,2,0.0028638463507364,0.1205438002280425,-0.045728420179893564,0,0.0029371218057640007,0.08687190764156133,-0.020890599230346224,0,0.0040894795701388,True,0.3880864941637685,0.031025294187255224,0.03856207558832691,0.0234885127861835,0.35508946334326535,0.02317882021982299,0.001356605327803767,-0.009934514490206409,5,24.34839474596083,632.3264770507812
R07__E1_ADAPTER_C06_MEAN__H01,30,8,0,2,0.2609731003111081,-0.009884489411190078,0,0.0075155176983142235,0.39690997470091927,-0.017093083773386752,0,0.003434160438715414,0.3289415375060137,-0.013488786592288415,0,0.005474839068514779,0.6585668881826061,0.03637676971973414,2,0.008294867181789648,0.5976548628790034,0.0432911218777568,2,0.0047099657285819595,0.41444929719883217,-0.04416556117911033,0,0.0046333659605454535,0.34143311181739383,-0.03637676971973411,0,0.008294867181789648,2,0.16484867706490208,0.014424741713309916,1,0.03545027366040435,0.2714966750635378,-0.00023251682705957566,1,0.012837525311710509,0.21817267606421994,0.007096112443125191,1,0.024143899486057434,0.7184090961507414,-0.0030097557600498037,1,0.006213420134967882,0.6007309264434968,0.024359490390887972,2,0.020244963702314937,0.39740565987805576,-0.023397599705114375,0,0.019254207528390094,0.2815909038492585,0.0030097557600498037,1,0.006213420134967882,2,0.2637338203796932,0.018942227408238685,2,0.0035981931261322743,0.3874181344819787,0.00910262220829719,2,0.002013962513257007,0.32557597743083594,0.014022424808267903,2,0.0028060778196946213,0.6652047658962998,0.03671715962160221,2,0.007684102549716119,0.6031707484563817,0.037070332734737144,2,0.010238757408522757,0.40585090416510966,-0.037362865848212246,0,0.009303042120874273,0.33479523410370016,-0.036717159621602186,0,0.007684102549716119,2,0.45812123332478255,0.08981336301096282,2,0.017871602138774593,0.6190553434980395,0.06219894950825017,2,0.007433716098357328,0.538588288411411,0.07600615625960655,2,0.012652659118565961,0.9151951621770203,0.022957669048927987,2,0.0034519561390525103,0.8821015933399896,0.04825677571894943,2,0.0030570255013289364,0.11918083309962986,-0.0470913873083062,0,0.002926722365300051,0.08480483782297965,-0.022957669048927903,0,0.0034519561390525103,True,0.3848611810878393,0.02779998111132594,0.035862822810095625,0.019737139412556233,0.35281961985312016,0.020908976729677807,0.0002668191079897436,-0.013488786592288415,5,24.669719625730067,643.0625610351562
R07__E1_ADAPTER_C06_MEAN__H02,31,8,0,2,0.2609731003111081,-0.009884489411190078,0,0.0075155176983142235,0.39690997470091927,-0.017093083773386752,0,0.003434160438715414,0.3289415375060137,-0.013488786592288415,0,0.005474839068514779,0.6585668881826061,0.03637676971973414,2,0.008294867181789648,0.5976548628790034,0.0432911218777568,2,0.0047099657285819595,0.41444929719883217,-0.04416556117911033,0,0.0046333659605454535,0.34143311181739383,-0.03637676971973411,0,0.008294867181789648,2,0.16484867706490208,0.014424741713309916,1,0.03545027366040435,0.2714966750635378,-0.00023251682705957566,1,0.012837525311710509,0.21817267606421994,0.007096112443125191,1,0.024143899486057434,0.7184090961507414,-0.0030097557600498037,1,0.006213420134967882,0.6007309264434968,0.024359490390887972,2,0.020244963702314937,0.39740565987805576,-0.023397599705114375,0,0.019254207528390094,0.2815909038492585,0.0030097557600498037,1,0.006213420134967882,2,0.2637338203796932,0.018942227408238685,2,0.0035981931261322743,0.3874181344819787,0.00910262220829719,2,0.002013962513257007,0.32557597743083594,0.014022424808267903,2,0.0028060778196946213,0.6652047658962998,0.03671715962160221,2,0.007684102549716119,0.6031707484563817,0.037070332734737144,2,0.010238757408522757,0.40585090416510966,-0.037362865848212246,0,0.009303042120874273,0.33479523410370016,-0.036717159621602186,0,0.007684102549716119,2,0.45812123332478255,0.08981336301096282,2,0.017871602138774593,0.6190553434980395,0.06219894950825017,2,0.007433716098357328,0.538588288411411,0.07600615625960655,2,0.012652659118565961,0.9151951621770203,0.022957669048927987,2,0.0034519561390525103,0.8821015933399896,0.04825677571894943,2,0.0030570255013289364,0.11918083309962986,-0.0470913873083062,0,0.002926722365300051,0.08480483782297965,-0.022957669048927903,0,0.0034519561390525103,True,0.3848611810878393,0.02779998111132594,0.035862822810095625,0.019737139412556233,0.35281961985312016,0.020908976729677807,0.0002668191079897436,-0.013488786592288415,5,24.669719625730067,643.0625610351562
R06__E1_ADAPTER_C06_MEAN__H01,26,8,0,2,0.26551001293021687,-0.005347576792081338,0,0.006000730006735841,0.39936567565344966,-0.014637382820856332,0,0.001973674058887867,0.33243784429183326,-0.009992479806468835,0,0.003987202032811854,0.6486420109794857,0.026451892516613673,2,0.00966372457385836,0.5866069795134551,0.032243238512208505,2,0.005721324137528034,0.4254147671105086,-0.03320009126743392,0,0.005516020846263646,0.3513579890205143,-0.026451892516613645,0,0.00966372457385836,2,0.148267419341987,-0.0021565160096051472,0,0.0014825820124094841,0.26851560016823206,-0.0032135917223653776,1,0.002429348881805471,0.20839150975510953,-0.0026850538659852208,0,0.00047338343469799344,0.7168061994049679,-0.0046126525058234336,1,0.011383116152775903,0.5771132321728437,0.0007417961202349499,1,0.008187045098254069,0.4196167534301183,-0.0011865061530517973,1,0.007689272863196664,0.28319380059503213,0.0046126525058234336,1,0.011383116152775903,2,0.26436386629539477,0.01957227332394028,2,0.002105807067929661,0.3881358734245075,0.00982036115082599,2,0.00037441861470886037,0.3262498698599512,0.014696317237383127,2,0.0012401128413192803,0.6578852831996168,0.02939767692491918,2,0.00393730874448256,0.596590247415623,0.030489831693978453,2,0.0044331326728956205,0.41278359481171134,-0.030430175201610538,0,0.0034892381133230354,0.3421147168003832,-0.029397676924919153,0,0.00393730874448256,2,0.45552804433626665,0.08722017402244692,2,0.04708545744387663,0.6201547486019363,0.06329835461214695,2,0.030194424087629165,0.5378413964691015,0.07525926431729696,2,0.038639940765752855,0.9134524463991205,0.02121495327102807,2,0.0032109411833979346,0.8803875639159695,0.04654274629492927,2,0.0001769416256683604,0.12128354428406839,-0.04498867612386767,0,0.0003588940300966565,0.08654755360087957,-0.021214953271027986,0,0.003210941183397935,True,0.3841751437653981,0.027113943788884726,0.03375975763938038,0.020468129938389038,0.35123015509399885,0.019319511970556508,0.0023519187154571464,-0.009992479806468835,4,25.045956690097228,632.5392456054688
R06__E1_ADAPTER_C06_MEAN__H02,27,8,0,2,0.26551001293021687,-0.005347576792081338,0,0.006000730006735841,0.39936567565344966,-0.014637382820856332,0,0.001973674058887867,0.33243784429183326,-0.009992479806468835,0,0.003987202032811854,0.6486420109794857,0.026451892516613673,2,0.00966372457385836,0.5866069795134551,0.032243238512208505,2,0.005721324137528034,0.4254147671105086,-0.03320009126743392,0,0.005516020846263646,0.3513579890205143,-0.026451892516613645,0,0.00966372457385836,2,0.148267419341987,-0.0021565160096051472,0,0.0014825820124094841,0.26851560016823206,-0.0032135917223653776,1,0.002429348881805471,0.20839150975510953,-0.0026850538659852208,0,0.00047338343469799344,0.7168061994049679,-0.0046126525058234336,1,0.011383116152775903,0.5771132321728437,0.0007417961202349499,1,0.008187045098254069,0.4196167534301183,-0.0011865061530517973,1,0.007689272863196664,0.28319380059503213,0.0046126525058234336,1,0.011383116152775903,2,0.26436386629539477,0.01957227332394028,2,0.002105807067929661,0.3881358734245075,0.00982036115082599,2,0.00037441861470886037,0.3262498698599512,0.014696317237383127,2,0.0012401128413192803,0.6578852831996168,0.02939767692491918,2,0.00393730874448256,0.596590247415623,0.030489831693978453,2,0.0044331326728956205,0.41278359481171134,-0.030430175201610538,0,0.0034892381133230354,0.3421147168003832,-0.029397676924919153,0,0.00393730874448256,2,0.45552804433626665,0.08722017402244692,2,0.04708545744387663,0.6201547486019363,0.06329835461214695,2,0.030194424087629165,0.5378413964691015,0.07525926431729696,2,0.038639940765752855,0.9134524463991205,0.02121495327102807,2,0.0032109411833979346,0.8803875639159695,0.04654274629492927,2,0.0001769416256683604,0.12128354428406839,-0.04498867612386767,0,0.0003588940300966565,0.08654755360087957,-0.021214953271027986,0,0.003210941183397935,True,0.3841751437653981,0.027113943788884726,0.03375975763938038,0.020468129938389038,0.35123015509399885,0.019319511970556508,0.0023519187154571464,-0.009992479806468835,4,25.045956690097228,632.5392456054688
