stage,config_id,recipe_id,endpoint,head_id,unit_id,dataset,seed,status,success,training_runtime_seconds,peak_gpu_mib,ari,nmi,q,neighbor_agreement,moran_i,geary_c,boundary_disagreement
R1,R00__E0_ADAPTER_ONLY__H01,R00,E0_ADAPTER_ONLY,H01,u000,a1,0,success,True,11.377220820635557,393.2265625,0.26666121499291273,0.38679449309027664,0.32672785404159466,0.6730713666570355,0.6288483663716606,0.3831855334113776,0.3269286333429645
R1,R00__E0_ADAPTER_ONLY__H01,R00,E0_ADAPTER_ONLY,H01,u001,a1,1,success,True,12.228668231517076,386.2333984375,0.24465369979899557,0.3729167106001084,0.308785205199552,0.6936145622652412,0.6461872659941569,0.36570338118698886,0.3063854377347588
R1,R00__E0_ADAPTER_ONLY__H01,R00,E0_ADAPTER_ONLY,H01,u005,tonsil,0,success,True,15.993546195328236,428.44384765625,0.19344414712302785,0.2827614309044902,0.23810278901375903,0.7247399617149842,0.6276630519562404,0.37070731877161706,0.2752600382850158
R1,R00__E0_ADAPTER_ONLY__H01,R00,E0_ADAPTER_ONLY,H01,u006,tonsil,1,success,True,14.586615486070514,432.55517578125,0.16132719002131743,0.23791962614495546,0.19962340808313644,0.7090338799326553,0.5815051725073495,0.4164686795852808,0.2909661200673447
R1,R00__E0_ADAPTER_ONLY__H01,R00,E0_ADAPTER_ONLY,H01,u010,d1,0,success,True,10.927331171929836,381.1259765625,0.2316040692680485,0.36069579614197594,0.2961499327050122,0.6899772482337445,0.6470340132698059,0.36054384381915733,0.3100227517662555
R1,R00__E0_ADAPTER_ONLY__H01,R00,E0_ADAPTER_ONLY,H01,u011,d1,1,success,True,10.738061686977744,381.10693359375,0.23622678190159963,0.35596046043678997,0.2960936211691948,0.689168961800982,0.633061045587801,0.3743774263466561,0.31083103819901803
R1,R00__E0_ADAPTER_ONLY__H01,R00,E0_ADAPTER_ONLY,H01,u020,p22,0,success,True,60.7502734400332,1327.58837890625,0.4526001029399661,0.6095591304762132,0.5310796167080897,0.9136998350742166,0.8880009999950906,0.11440165007714469,0.0863001649257834
R1,R00__E0_ADAPTER_ONLY__H01,R00,E0_ADAPTER_ONLY,H01,u021,p22,1,success,True,60.90845466405153,1328.32763671875,0.4288256544943001,0.61321453462593,0.5210200945601151,0.9209565695437053,0.9015612854953731,0.10174847339426374,0.0790434304562947
R1,R00__E0_ADAPTER_ONLY__H02,R00,E0_ADAPTER_ONLY,H02,u000,a1,0,success,True,11.377220820635557,393.2265625,0.26666121499291273,0.38679449309027664,0.32672785404159466,0.6730713666570355,0.6288483663716606,0.3831855334113776,0.3269286333429645
R1,R00__E0_ADAPTER_ONLY__H02,R00,E0_ADAPTER_ONLY,H02,u001,a1,1,success,True,12.228668231517076,386.2333984375,0.24465369979899557,0.3729167106001084,0.308785205199552,0.6936145622652412,0.6461872659941569,0.36570338118698886,0.3063854377347588
R1,R00__E0_ADAPTER_ONLY__H02,R00,E0_ADAPTER_ONLY,H02,u005,tonsil,0,success,True,15.993546195328236,428.44384765625,0.19344414712302785,0.2827614309044902,0.23810278901375903,0.7247399617149842,0.6276630519562404,0.37070731877161706,0.2752600382850158
R1,R00__E0_ADAPTER_ONLY__H02,R00,E0_ADAPTER_ONLY,H02,u006,tonsil,1,success,True,14.586615486070514,432.55517578125,0.16132719002131743,0.23791962614495546,0.19962340808313644,0.7090338799326553,0.5815051725073495,0.4164686795852808,0.2909661200673447
R1,R00__E0_ADAPTER_ONLY__H02,R00,E0_ADAPTER_ONLY,H02,u010,d1,0,success,True,10.927331171929836,381.1259765625,0.2316040692680485,0.36069579614197594,0.2961499327050122,0.6899772482337445,0.6470340132698059,0.36054384381915733,0.3100227517662555
R1,R00__E0_ADAPTER_ONLY__H02,R00,E0_ADAPTER_ONLY,H02,u011,d1,1,success,True,10.738061686977744,381.10693359375,0.23622678190159963,0.35596046043678997,0.2960936211691948,0.689168961800982,0.633061045587801,0.3743774263466561,0.31083103819901803
R1,R00__E0_ADAPTER_ONLY__H02,R00,E0_ADAPTER_ONLY,H02,u020,p22,0,success,True,60.7502734400332,1327.58837890625,0.4526001029399661,0.6095591304762132,0.5310796167080897,0.9136998350742166,0.8880009999950906,0.11440165007714469,0.0863001649257834
R1,R00__E0_ADAPTER_ONLY__H02,R00,E0_ADAPTER_ONLY,H02,u021,p22,1,success,True,60.90845466405153,1328.32763671875,0.4288256544943001,0.61321453462593,0.5210200945601151,0.9209565695437053,0.9015612854953731,0.10174847339426374,0.0790434304562947
R1,R00__E1_ADAPTER_C06_MEAN__H01,R00,E1_ADAPTER_C06_MEAN,H01,u000,a1,0,success,True,11.377220820635557,393.2265625,0.26804085695785596,0.4011390444082451,0.33458995068305053,0.6520947702976019,0.5947771701043308,0.4171762233140618,0.3479052297023981
R1,R00__E1_ADAPTER_C06_MEAN__H01,R00,E1_ADAPTER_C06_MEAN,H01,u001,a1,1,success,True,12.228668231517076,386.2333984375,0.2541825514978065,0.3939782006835245,0.32408037609066553,0.663363189829529,0.5987935576283062,0.41339690923142475,0.336636810170471
R1,R00__E1_ADAPTER_C06_MEAN__H01,R00,E1_ADAPTER_C06_MEAN,H01,u005,tonsil,0,success,True,15.993546195328236,428.44384765625,0.15028296065645247,0.2493581575874867,0.19982055912196958,0.7145229364145852,0.5833376057818427,0.41312902781888494,0.2854770635854148
R1,R00__E1_ADAPTER_C06_MEAN__H01,R00,E1_ADAPTER_C06_MEAN,H01,u006,tonsil,1,success,True,14.586615486070514,432.55517578125,0.14092587709359775,0.2627152979798092,0.20182058753670346,0.723333102700708,0.586485889507413,0.4110582240207653,0.27666689729929195
R1,R00__E1_ADAPTER_C06_MEAN__H01,R00,E1_ADAPTER_C06_MEAN,H01,u010,d1,0,success,True,10.927331171929836,381.1259765625,0.2628060353025641,0.3873117750467309,0.32505890517464753,0.6700694527601485,0.6097187292444499,0.4000501280642134,0.3299305472398515
R1,R00__E1_ADAPTER_C06_MEAN__H01,R00,E1_ADAPTER_C06_MEAN,H01,u011,d1,1,success,True,10.738061686977744,381.10693359375,0.26529032191503576,0.38820691486710834,0.32674861839107205,0.660489761705185,0.5976626321490618,0.41061576534256383,0.33951023829481497
R1,R00__E1_ADAPTER_C06_MEAN__H01,R00,E1_ADAPTER_C06_MEAN,H01,u020,p22,0,success,True,60.7502734400332,1327.58837890625,0.47127704677469456,0.6257888927416876,0.5485329697581911,0.9136228697086312,0.8813816286565314,0.11989969708089457,0.08637713029136884
R1,R00__E1_ADAPTER_C06_MEAN__H01,R00,E1_ADAPTER_C06_MEAN,H01,u021,p22,1,success,True,60.90845466405153,1328.32763671875,0.4468333722551901,0.6150161729030588,0.5309247725791244,0.9179989004947774,0.8845509842672313,0.11683168636014117,0.08200109950522261
R1,R00__E1_ADAPTER_C06_MEAN__H02,R00,E1_ADAPTER_C06_MEAN,H02,u000,a1,0,success,True,11.377220820635557,393.2265625,0.26804085695785596,0.4011390444082451,0.33458995068305053,0.6520947702976019,0.5947771701043308,0.4171762233140618,0.3479052297023981
R1,R00__E1_ADAPTER_C06_MEAN__H02,R00,E1_ADAPTER_C06_MEAN,H02,u001,a1,1,success,True,12.228668231517076,386.2333984375,0.2541825514978065,0.3939782006835245,0.32408037609066553,0.663363189829529,0.5987935576283062,0.41339690923142475,0.336636810170471
R1,R00__E1_ADAPTER_C06_MEAN__H02,R00,E1_ADAPTER_C06_MEAN,H02,u005,tonsil,0,success,True,15.993546195328236,428.44384765625,0.15028296065645247,0.2493581575874867,0.19982055912196958,0.7145229364145852,0.5833376057818427,0.41312902781888494,0.2854770635854148
R1,R00__E1_ADAPTER_C06_MEAN__H02,R00,E1_ADAPTER_C06_MEAN,H02,u006,tonsil,1,success,True,14.586615486070514,432.55517578125,0.14092587709359775,0.2627152979798092,0.20182058753670346,0.723333102700708,0.586485889507413,0.4110582240207653,0.27666689729929195
R1,R00__E1_ADAPTER_C06_MEAN__H02,R00,E1_ADAPTER_C06_MEAN,H02,u010,d1,0,success,True,10.927331171929836,381.1259765625,0.2628060353025641,0.3873117750467309,0.32505890517464753,0.6700694527601485,0.6097187292444499,0.4000501280642134,0.3299305472398515
R1,R00__E1_ADAPTER_C06_MEAN__H02,R00,E1_ADAPTER_C06_MEAN,H02,u011,d1,1,success,True,10.738061686977744,381.10693359375,0.26529032191503576,0.38820691486710834,0.32674861839107205,0.660489761705185,0.5976626321490618,0.41061576534256383,0.33951023829481497
R1,R00__E1_ADAPTER_C06_MEAN__H02,R00,E1_ADAPTER_C06_MEAN,H02,u020,p22,0,success,True,60.7502734400332,1327.58837890625,0.47127704677469456,0.6257888927416876,0.5485329697581911,0.9136228697086312,0.8813816286565314,0.11989969708089457,0.08637713029136884
R1,R00__E1_ADAPTER_C06_MEAN__H02,R00,E1_ADAPTER_C06_MEAN,H02,u021,p22,1,success,True,60.90845466405153,1328.32763671875,0.4468333722551901,0.6150161729030588,0.5309247725791244,0.9179989004947774,0.8845509842672313,0.11683168636014117,0.08200109950522261
R1,R01__E0_ADAPTER_ONLY__H01,R01,E0_ADAPTER_ONLY,H01,u000,a1,0,success,True,19.48064153827727,398.505859375,0.23041088451080358,0.3612741024612762,0.2958424934860399,0.6210343831262641,0.5681618050278814,0.44147657994060674,0.37896561687373587
R1,R01__E0_ADAPTER_ONLY__H01,R01,E0_ADAPTER_ONLY,H01,u001,a1,1,success,True,19.764063332229853,398.4775390625,0.23468519819853306,0.3757507685804102,0.3052179833894716,0.6486275642877781,0.5737922330145051,0.43675041972114653,0.3513724357122219
R1,R01__E0_ADAPTER_ONLY__H01,R01,E0_ADAPTER_ONLY,H01,u005,tonsil,0,success,True,24.117736134678125,559.6328125,0.1533719636678961,0.24194660228777534,0.19765928297783572,0.7082266657441362,0.5859292834848903,0.41041679232738154,0.2917733342558638
R1,R01__E0_ADAPTER_ONLY__H01,R01,E0_ADAPTER_ONLY,H01,u006,tonsil,1,success,True,25.440091216936707,559.6328125,0.1783436227208177,0.2670530593224962,0.22269834102165692,0.7104176756844023,0.6118238888289852,0.38722988619917076,0.2895823243155977
R1,R01__E0_ADAPTER_ONLY__H01,R01,E0_ADAPTER_ONLY,H01,u010,d1,0,success,True,18.193132082000375,377.8212890625,0.21224043648651358,0.36013795737835524,0.2861891969324344,0.6818045743024788,0.6341944488698156,0.37509320536592317,0.31819542569752124
R1,R01__E0_ADAPTER_ONLY__H01,R01,E0_ADAPTER_ONLY,H01,u011,d1,1,success,True,19.71908365190029,377.8212890625,0.22357486143014196,0.3587684257198596,0.2911716435750008,0.6436354927553586,0.5794886263814452,0.42918662510612515,0.3563645072446414
R1,R01__E0_ADAPTER_ONLY__H01,R01,E0_ADAPTER_ONLY,H01,u020,p22,0,success,True,81.04735587537289,2164.28515625,0.3794872947987214,0.5505320958083711,0.4650096953035463,0.8523254535459044,0.7984328563048564,0.2041296429138052,0.1476745464540956
R1,R01__E0_ADAPTER_ONLY__H01,R01,E0_ADAPTER_ONLY,H01,u021,p22,1,success,True,79.46734201535583,2164.28515625,0.4705956920127761,0.5994504874265997,0.5350230897196879,0.8699285321605278,0.8238935479571824,0.17677730870137434,0.1300714678394722
R1,R01__E0_ADAPTER_ONLY__H02,R01,E0_ADAPTER_ONLY,H02,u000,a1,0,success,True,19.48064153827727,398.505859375,0.23041088451080358,0.3612741024612762,0.2958424934860399,0.6210343831262641,0.5681618050278814,0.44147657994060674,0.37896561687373587
R1,R01__E0_ADAPTER_ONLY__H02,R01,E0_ADAPTER_ONLY,H02,u001,a1,1,success,True,19.764063332229853,398.4775390625,0.23468519819853306,0.3757507685804102,0.3052179833894716,0.6486275642877781,0.5737922330145051,0.43675041972114653,0.3513724357122219
R1,R01__E0_ADAPTER_ONLY__H02,R01,E0_ADAPTER_ONLY,H02,u005,tonsil,0,success,True,24.117736134678125,559.6328125,0.1533719636678961,0.24194660228777534,0.19765928297783572,0.7082266657441362,0.5859292834848903,0.41041679232738154,0.2917733342558638
R1,R01__E0_ADAPTER_ONLY__H02,R01,E0_ADAPTER_ONLY,H02,u006,tonsil,1,success,True,25.440091216936707,559.6328125,0.1783436227208177,0.2670530593224962,0.22269834102165692,0.7104176756844023,0.6118238888289852,0.38722988619917076,0.2895823243155977
R1,R01__E0_ADAPTER_ONLY__H02,R01,E0_ADAPTER_ONLY,H02,u010,d1,0,success,True,18.193132082000375,377.8212890625,0.21224043648651358,0.36013795737835524,0.2861891969324344,0.6818045743024788,0.6341944488698156,0.37509320536592317,0.31819542569752124
R1,R01__E0_ADAPTER_ONLY__H02,R01,E0_ADAPTER_ONLY,H02,u011,d1,1,success,True,19.71908365190029,377.8212890625,0.22357486143014196,0.3587684257198596,0.2911716435750008,0.6436354927553586,0.5794886263814452,0.42918662510612515,0.3563645072446414
R1,R01__E0_ADAPTER_ONLY__H02,R01,E0_ADAPTER_ONLY,H02,u020,p22,0,success,True,81.04735587537289,2164.28515625,0.3794872947987214,0.5505320958083711,0.4650096953035463,0.8523254535459044,0.7984328563048564,0.2041296429138052,0.1476745464540956
R1,R01__E0_ADAPTER_ONLY__H02,R01,E0_ADAPTER_ONLY,H02,u021,p22,1,success,True,79.46734201535583,2164.28515625,0.4705956920127761,0.5994504874265997,0.5350230897196879,0.8699285321605278,0.8238935479571824,0.17677730870137434,0.1300714678394722
R1,R01__E1_ADAPTER_C06_MEAN__H01,R01,E1_ADAPTER_C06_MEAN,H01,u000,a1,0,success,True,19.48064153827727,398.505859375,0.2607062674328602,0.39681608704205257,0.32876117723745635,0.6344986997977463,0.572728429256592,0.4397447753317718,0.3655013002022537
R1,R01__E1_ADAPTER_C06_MEAN__H01,R01,E1_ADAPTER_C06_MEAN,H01,u001,a1,1,success,True,19.764063332229853,398.4775390625,0.24970060570264033,0.39253598956635866,0.3211182976344995,0.650072233458538,0.5839670854472402,0.42863269684800354,0.34992776654146196
R1,R01__E1_ADAPTER_C06_MEAN__H01,R01,E1_ADAPTER_C06_MEAN,H01,u005,tonsil,0,success,True,24.117736134678125,559.6328125,0.18217491084176426,0.2764464544598608,0.22931068265081256,0.7082497290066653,0.6075243577871363,0.3912369145441044,0.2917502709933347
R1,R01__E1_ADAPTER_C06_MEAN__H01,R01,E1_ADAPTER_C06_MEAN,H01,u006,tonsil,1,success,True,25.440091216936707,559.6328125,0.14637091370119065,0.2623338488175167,0.20435238125935368,0.7069120597799765,0.5750386177468757,0.4214914226378423,0.2930879402200235
R1,R01__E1_ADAPTER_C06_MEAN__H01,R01,E1_ADAPTER_C06_MEAN,H01,u010,d1,0,success,True,18.193132082000375,377.8212890625,0.2523360067726375,0.3816450976307262,0.3169905522016818,0.648844449766495,0.5900748909715605,0.4193456665147677,0.351155550233505
R1,R01__E1_ADAPTER_C06_MEAN__H01,R01,E1_ADAPTER_C06_MEAN,H01,u011,d1,1,success,True,19.71908365190029,377.8212890625,0.236482919198699,0.3685474019680784,0.3025151605833887,0.643964794635373,0.590087252768374,0.4191924676879529,0.35603520536462696
R1,R01__E1_ADAPTER_C06_MEAN__H01,R01,E1_ADAPTER_C06_MEAN,H01,u020,p22,0,success,True,81.04735587537289,2164.28515625,0.42069505068754737,0.6002646518673121,0.5104798512774298,0.9005387575590984,0.8589234264538778,0.14384849715983672,0.0994612424409016
R1,R01__E1_ADAPTER_C06_MEAN__H01,R01,E1_ADAPTER_C06_MEAN,H01,u021,p22,1,success,True,79.46734201535583,2164.28515625,0.4804089961752469,0.6278648770200808,0.5541369365976638,0.9030346344145135,0.8603258922861959,0.14045685743083788,0.09696536558548652
R1,R01__E1_ADAPTER_C06_MEAN__H02,R01,E1_ADAPTER_C06_MEAN,H02,u000,a1,0,success,True,19.48064153827727,398.505859375,0.2607062674328602,0.39681608704205257,0.32876117723745635,0.6344986997977463,0.572728429256592,0.4397447753317718,0.3655013002022537
R1,R01__E1_ADAPTER_C06_MEAN__H02,R01,E1_ADAPTER_C06_MEAN,H02,u001,a1,1,success,True,19.764063332229853,398.4775390625,0.24970060570264033,0.39253598956635866,0.3211182976344995,0.650072233458538,0.5839670854472402,0.42863269684800354,0.34992776654146196
R1,R01__E1_ADAPTER_C06_MEAN__H02,R01,E1_ADAPTER_C06_MEAN,H02,u005,tonsil,0,success,True,24.117736134678125,559.6328125,0.18217491084176426,0.2764464544598608,0.22931068265081256,0.7082497290066653,0.6075243577871363,0.3912369145441044,0.2917502709933347
R1,R01__E1_ADAPTER_C06_MEAN__H02,R01,E1_ADAPTER_C06_MEAN,H02,u006,tonsil,1,success,True,25.440091216936707,559.6328125,0.14637091370119065,0.2623338488175167,0.20435238125935368,0.7069120597799765,0.5750386177468757,0.4214914226378423,0.2930879402200235
R1,R01__E1_ADAPTER_C06_MEAN__H02,R01,E1_ADAPTER_C06_MEAN,H02,u010,d1,0,success,True,18.193132082000375,377.8212890625,0.2523360067726375,0.3816450976307262,0.3169905522016818,0.648844449766495,0.5900748909715605,0.4193456665147677,0.351155550233505
R1,R01__E1_ADAPTER_C06_MEAN__H02,R01,E1_ADAPTER_C06_MEAN,H02,u011,d1,1,success,True,19.71908365190029,377.8212890625,0.236482919198699,0.3685474019680784,0.3025151605833887,0.643964794635373,0.590087252768374,0.4191924676879529,0.35603520536462696
R1,R01__E1_ADAPTER_C06_MEAN__H02,R01,E1_ADAPTER_C06_MEAN,H02,u020,p22,0,success,True,81.04735587537289,2164.28515625,0.42069505068754737,0.6002646518673121,0.5104798512774298,0.9005387575590984,0.8589234264538778,0.14384849715983672,0.0994612424409016
R1,R01__E1_ADAPTER_C06_MEAN__H02,R01,E1_ADAPTER_C06_MEAN,H02,u021,p22,1,success,True,79.46734201535583,2164.28515625,0.4804089961752469,0.6278648770200808,0.5541369365976638,0.9030346344145135,0.8603258922861959,0.14045685743083788,0.09696536558548652
R1,R02__E0_ADAPTER_ONLY__H01,R02,E0_ADAPTER_ONLY,H01,u000,a1,0,success,True,9.537603817880154,122.87841796875,0.2152919762654575,0.38614613229033,0.30071905427789375,0.524386015602427,0.4702857162293664,0.5367423693866339,0.47561398439757296
R1,R02__E0_ADAPTER_ONLY__H01,R02,E0_ADAPTER_ONLY,H01,u001,a1,1,success,True,9.491489442065358,122.85009765625,0.22707760859285311,0.3931718427874266,0.3101247256901399,0.5552152557064433,0.49794109490669375,0.5081588267410636,0.44478474429355674
R1,R02__E0_ADAPTER_ONLY__H01,R02,E0_ADAPTER_ONLY,H01,u005,tonsil,0,success,True,12.383840272203088,139.671875,0.1493456069031585,0.24054827284178285,0.1949469398724707,0.7070043128300929,0.581497487737263,0.41529626334447495,0.2929956871699071
R1,R02__E0_ADAPTER_ONLY__H01,R02,E0_ADAPTER_ONLY,H01,u006,tonsil,1,success,True,12.505145659670234,139.671875,0.16705438049899082,0.2626411880571835,0.21484778427808715,0.7068889965174474,0.6064129839301615,0.3921694788073223,0.2931110034825526
R1,R02__E0_ADAPTER_ONLY__H01,R02,E0_ADAPTER_ONLY,H01,u010,d1,0,success,True,9.10224780999124,120.8388671875,0.22381715997780116,0.3736319734911998,0.2987245667345005,0.6268710334091726,0.5730248156564932,0.4355971367963158,0.3731289665908274
R1,R02__E0_ADAPTER_ONLY__H01,R02,E0_ADAPTER_ONLY,H01,u011,d1,1,success,True,8.97830736078322,120.8359375,0.22880101122715676,0.370611304181795,0.2997061577044759,0.6142078792958927,0.5522480178179017,0.4559081238238635,0.3857921207041073
R1,R02__E0_ADAPTER_ONLY__H01,R02,E0_ADAPTER_ONLY,H01,u020,p22,0,success,True,56.10786676220596,258.35986328125,0.4847512871032308,0.6307496709968837,0.5577504790500573,0.8762836723474436,0.8353403458038954,0.16650256150931828,0.12371632765255636
R1,R02__E0_ADAPTER_ONLY__H01,R02,E0_ADAPTER_ONLY,H01,u021,p22,1,success,True,56.35910362750292,258.35986328125,0.45477702271084913,0.6131091907242614,0.5339431067175553,0.866113249037933,0.8367038302095406,0.16637353919703182,0.13388675096206704
R1,R02__E0_ADAPTER_ONLY__H02,R02,E0_ADAPTER_ONLY,H02,u000,a1,0,success,True,9.537603817880154,122.87841796875,0.2152919762654575,0.38614613229033,0.30071905427789375,0.524386015602427,0.4702857162293664,0.5367423693866339,0.47561398439757296
R1,R02__E0_ADAPTER_ONLY__H02,R02,E0_ADAPTER_ONLY,H02,u001,a1,1,success,True,9.491489442065358,122.85009765625,0.22707760859285311,0.3931718427874266,0.3101247256901399,0.5552152557064433,0.49794109490669375,0.5081588267410636,0.44478474429355674
R1,R02__E0_ADAPTER_ONLY__H02,R02,E0_ADAPTER_ONLY,H02,u005,tonsil,0,success,True,12.383840272203088,139.671875,0.1493456069031585,0.24054827284178285,0.1949469398724707,0.7070043128300929,0.581497487737263,0.41529626334447495,0.2929956871699071
R1,R02__E0_ADAPTER_ONLY__H02,R02,E0_ADAPTER_ONLY,H02,u006,tonsil,1,success,True,12.505145659670234,139.671875,0.16705438049899082,0.2626411880571835,0.21484778427808715,0.7068889965174474,0.6064129839301615,0.3921694788073223,0.2931110034825526
R1,R02__E0_ADAPTER_ONLY__H02,R02,E0_ADAPTER_ONLY,H02,u010,d1,0,success,True,9.10224780999124,120.8388671875,0.22381715997780116,0.3736319734911998,0.2987245667345005,0.6268710334091726,0.5730248156564932,0.4355971367963158,0.3731289665908274
R1,R02__E0_ADAPTER_ONLY__H02,R02,E0_ADAPTER_ONLY,H02,u011,d1,1,success,True,8.97830736078322,120.8359375,0.22880101122715676,0.370611304181795,0.2997061577044759,0.6142078792958927,0.5522480178179017,0.4559081238238635,0.3857921207041073
R1,R02__E0_ADAPTER_ONLY__H02,R02,E0_ADAPTER_ONLY,H02,u020,p22,0,success,True,56.10786676220596,258.35986328125,0.4847512871032308,0.6307496709968837,0.5577504790500573,0.8762836723474436,0.8353403458038954,0.16650256150931828,0.12371632765255636
R1,R02__E0_ADAPTER_ONLY__H02,R02,E0_ADAPTER_ONLY,H02,u021,p22,1,success,True,56.35910362750292,258.35986328125,0.45477702271084913,0.6131091907242614,0.5339431067175553,0.866113249037933,0.8367038302095406,0.16637353919703182,0.13388675096206704
R1,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u000,a1,0,success,True,9.537603817880154,122.87841796875,0.2695655943232304,0.40458414251435887,0.33707486841879464,0.6181739381681595,0.5558393181817813,0.45581657899118877,0.38182606183184054
R1,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u001,a1,1,success,True,9.491489442065358,122.85009765625,0.2551969435603936,0.39941791087516715,0.3273074272177804,0.6244149089858423,0.5520282266078128,0.45979267922357775,0.3755850910141577
R1,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u005,tonsil,0,success,True,12.383840272203088,139.671875,0.1520627361516121,0.2608164207527096,0.20643957845216085,0.7053898844530547,0.5719393626093816,0.42437966220558987,0.2946101155469453
R1,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u006,tonsil,1,success,True,12.505145659670234,139.671875,0.1419087515254284,0.26704344988996215,0.20447610070769529,0.7192278419705251,0.5800731749456276,0.41700845041834983,0.28077215802947486
R1,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u010,d1,0,success,True,9.10224780999124,120.8388671875,0.23739559658910214,0.3830346201735509,0.3102151083813265,0.6404023470243084,0.5806014371741838,0.4283482564304276,0.3595976529756916
R1,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u011,d1,1,success,True,8.97830736078322,120.8359375,0.23842510789675722,0.3751005161074656,0.3067628120021114,0.6381271703987547,0.5817650815351019,0.42701465826006474,0.36187282960124534
R1,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u020,p22,0,success,True,56.10786676220596,258.35986328125,0.5049393284724745,0.6498424118737981,0.5773908701731363,0.9026827927432656,0.8602496177558985,0.1407128551260459,0.09731720725673443
R1,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u021,p22,1,success,True,56.35910362750292,258.35986328125,0.48984404531808956,0.640229542847059,0.5650367940825742,0.9004288070368335,0.859236796033955,0.14202103140782146,0.09957119296316652
R1,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u000,a1,0,success,True,9.537603817880154,122.87841796875,0.2695655943232304,0.40458414251435887,0.33707486841879464,0.6181739381681595,0.5558393181817813,0.45581657899118877,0.38182606183184054
R1,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u001,a1,1,success,True,9.491489442065358,122.85009765625,0.2551969435603936,0.39941791087516715,0.3273074272177804,0.6244149089858423,0.5520282266078128,0.45979267922357775,0.3755850910141577
R1,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u005,tonsil,0,success,True,12.383840272203088,139.671875,0.1520627361516121,0.2608164207527096,0.20643957845216085,0.7053898844530547,0.5719393626093816,0.42437966220558987,0.2946101155469453
R1,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u006,tonsil,1,success,True,12.505145659670234,139.671875,0.1419087515254284,0.26704344988996215,0.20447610070769529,0.7192278419705251,0.5800731749456276,0.41700845041834983,0.28077215802947486
R1,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u010,d1,0,success,True,9.10224780999124,120.8388671875,0.23739559658910214,0.3830346201735509,0.3102151083813265,0.6404023470243084,0.5806014371741838,0.4283482564304276,0.3595976529756916
R1,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u011,d1,1,success,True,8.97830736078322,120.8359375,0.23842510789675722,0.3751005161074656,0.3067628120021114,0.6381271703987547,0.5817650815351019,0.42701465826006474,0.36187282960124534
