stage,config_id,recipe_id,endpoint,head_id,unit_id,dataset,seed,status,success,training_runtime_seconds,peak_gpu_mib,ari,nmi,q,neighbor_agreement,moran_i,geary_c,boundary_disagreement
R1,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u000,a1,0,success,True,9.537603817880154,122.87841796875,0.2695655943232304,0.4045841425143588,0.3370748684187946,0.6181739381681595,0.5558393181817813,0.4558165789911887,0.3818260618318405
R1,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u001,a1,1,success,True,9.491489442065358,122.85009765625,0.2551969435603936,0.3994179108751671,0.3273074272177804,0.6244149089858423,0.5520282266078128,0.4597926792235777,0.3755850910141577
R2,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u002,a1,2,success,True,10.039602927863598,122.85302734375,0.2661205185141167,0.40113860132408014,0.33362955991909843,0.6226235192141,0.5537826323832385,0.457746952830466,0.3773764807859
R2,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u003,a1,3,success,True,10.088237512856722,122.84912109375,0.259912889555847,0.3985937484385676,0.32925331899720733,0.6294712510835019,0.5554099391902269,0.4558579173895533,0.3705287489164981
R2,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u004,a1,4,success,True,10.013627454638481,122.84521484375,0.2628804154728937,0.4072601641033349,0.33507028978811426,0.638254839641722,0.5769572051156368,0.4361188945396003,0.361745160358278
R1,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u010,d1,0,success,True,9.10224780999124,120.8388671875,0.2373955965891021,0.3830346201735509,0.3102151083813265,0.6404023470243084,0.5806014371741838,0.4283482564304276,0.3595976529756916
R1,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u011,d1,1,success,True,8.97830736078322,120.8359375,0.2384251078967572,0.3751005161074656,0.3067628120021114,0.6381271703987547,0.5817650815351019,0.4270146582600647,0.3618728296012453
R2,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u012,d1,2,success,True,9.763215446844697,120.818359375,0.22756171948211532,0.38077360524645587,0.3041676623642856,0.6380672973296612,0.5783616604276842,0.43165178656736203,0.36193270267033884
R2,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u013,d1,3,success,True,9.843745799735188,120.7919921875,0.24879561525911328,0.3894953441189726,0.31914547968904294,0.6334870075440067,0.5724267204189154,0.4367668992304976,0.36651299245599334
R2,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u014,d1,4,success,True,9.908884193748236,120.8056640625,0.23882266789437215,0.3852321485612136,0.3120274082277929,0.6369895820859778,0.5790954602733632,0.42974078531732374,0.3630104179140222
R2,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u015,d1,5,success,True,9.839175343513489,120.806640625,0.23744900982596936,0.38574892576683195,0.31159896779640067,0.6286672254819782,0.5657545471914303,0.44301079322971004,0.3713327745180218
R2,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u016,d1,6,success,True,10.250838235020638,120.8232421875,0.21731202372326652,0.3624197745373966,0.28986589913033156,0.6329182133876182,0.5863276282701856,0.4231500613905811,0.3670817866123818
R2,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u017,d1,7,success,True,10.179437713697553,120.7900390625,0.23327589572353363,0.37633606653470475,0.30480598112911916,0.6436055562208118,0.5865867274790745,0.42270653063680086,0.35639444377918816
R2,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u018,d1,8,success,True,9.484031114727259,120.7890625,0.244055857816794,0.38224794165597153,0.3131518997363828,0.6303436714165969,0.5686556621624145,0.440897939843434,0.36965632858340314
R2,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u019,d1,9,success,True,9.756187601014972,120.8271484375,0.23801936517027938,0.3777679506722688,0.3078936579212741,0.6301341156747695,0.5658987336082226,0.44303255668567065,0.3698658843252305
R1,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u020,p22,0,success,True,56.10786676220596,258.35986328125,0.5049393284724745,0.6498424118737981,0.5773908701731363,0.9026827927432656,0.8602496177558985,0.1407128551260459,0.0973172072567344
R1,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u021,p22,1,success,True,56.35910362750292,258.35986328125,0.4898440453180895,0.640229542847059,0.5650367940825742,0.9004288070368335,0.859236796033955,0.1420210314078214,0.0995711929631665
R2,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u022,p22,2,success,True,61.1257476080209,258.35986328125,0.5070851708762827,0.6539310561570045,0.5805081135166437,0.9040351841671248,0.8634544703934734,0.13678697740367,0.0959648158328752
R2,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u023,p22,3,success,True,58.67588666640222,258.35986328125,0.5124474733811558,0.6555795971322154,0.5840135352566855,0.9047828477185267,0.860145823028383,0.14088298298429683,0.09521715228147332
R2,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u024,p22,4,success,True,59.208341633901,258.35986328125,0.5005795060084282,0.6550797772764644,0.5778296416424462,0.9105332600329852,0.8699011316537787,0.132130195794297,0.08946673996701482
R2,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u025,p22,5,success,True,60.00104177184403,258.35986328125,0.5004752751204841,0.6475645186143584,0.5740198968674213,0.905475536008796,0.8656970503783579,0.1355351475269267,0.09452446399120396
R2,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u026,p22,6,success,True,55.910992259159684,258.35986328125,0.5093356406008596,0.6536954274104078,0.5815155340056337,0.905937328202309,0.8609219973079097,0.13970974397673214,0.09406267179769101
R2,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u027,p22,7,success,True,57.21367756277323,258.35986328125,0.4943416932887723,0.6434622941021867,0.5689019936954796,0.9036943375481034,0.8611738172088527,0.13973431744426446,0.09630566245189665
R2,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u028,p22,8,success,True,56.7484963722527,258.35986328125,0.5023057117553291,0.6474481627103158,0.5748769372328224,0.9039142385926333,0.8603978163007279,0.14043718626331975,0.09608576140736669
R2,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u029,p22,9,success,True,56.64912483654916,258.35986328125,0.5144418426408642,0.6573989535393043,0.5859203980900842,0.9024079164376031,0.8531553824672615,0.1476683004528744,0.0975920835623969
R1,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u005,tonsil,0,success,True,12.383840272203088,139.671875,0.1520627361516121,0.2608164207527096,0.2064395784521608,0.7053898844530547,0.5719393626093816,0.4243796622055898,0.2946101155469453
R1,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u006,tonsil,1,success,True,12.505145659670234,139.671875,0.1419087515254284,0.2670434498899621,0.2044761007076952,0.7192278419705251,0.5800731749456276,0.4170084504183498,0.2807721580294748
R2,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u007,tonsil,2,success,True,12.851119466125965,139.671875,0.15209548979651075,0.270953382760789,0.21152443627864986,0.721349662123204,0.5828221006131001,0.415011540420577,0.27865033787679605
R2,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u008,tonsil,3,success,True,13.370810927823186,139.671875,0.1487807914517815,0.2639414178814255,0.2063611046666035,0.7224566987246016,0.5840156818778349,0.4131984047536822,0.2775433012753984
R2,R02__E1_ADAPTER_C06_MEAN__H01,R02,E1_ADAPTER_C06_MEAN,H01,u009,tonsil,4,success,True,13.299111850559711,139.671875,0.1502943294358513,0.2694147247682037,0.2098545271020275,0.7204271316220393,0.5799992853137577,0.4177631552667132,0.2795728683779607
R1,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u000,a1,0,success,True,9.537603817880154,122.87841796875,0.2695655943232304,0.4045841425143588,0.3370748684187946,0.6181739381681595,0.5558393181817813,0.4558165789911887,0.3818260618318405
R1,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u001,a1,1,success,True,9.491489442065358,122.85009765625,0.2551969435603936,0.3994179108751671,0.3273074272177804,0.6244149089858423,0.5520282266078128,0.4597926792235777,0.3755850910141577
R2,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u002,a1,2,success,True,10.039602927863598,122.85302734375,0.2661205185141167,0.40113860132408014,0.33362955991909843,0.6226235192141,0.5537826323832385,0.457746952830466,0.3773764807859
R2,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u003,a1,3,success,True,10.088237512856722,122.84912109375,0.259912889555847,0.3985937484385676,0.32925331899720733,0.6294712510835019,0.5554099391902269,0.4558579173895533,0.3705287489164981
R2,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u004,a1,4,success,True,10.013627454638481,122.84521484375,0.2628804154728937,0.4072601641033349,0.33507028978811426,0.638254839641722,0.5769572051156368,0.4361188945396003,0.361745160358278
R1,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u010,d1,0,success,True,9.10224780999124,120.8388671875,0.2373955965891021,0.3830346201735509,0.3102151083813265,0.6404023470243084,0.5806014371741838,0.4283482564304276,0.3595976529756916
R1,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u011,d1,1,success,True,8.97830736078322,120.8359375,0.2384251078967572,0.3751005161074656,0.3067628120021114,0.6381271703987547,0.5817650815351019,0.4270146582600647,0.3618728296012453
R2,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u012,d1,2,success,True,9.763215446844697,120.818359375,0.22756171948211532,0.38077360524645587,0.3041676623642856,0.6380672973296612,0.5783616604276842,0.43165178656736203,0.36193270267033884
R2,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u013,d1,3,success,True,9.843745799735188,120.7919921875,0.24879561525911328,0.3894953441189726,0.31914547968904294,0.6334870075440067,0.5724267204189154,0.4367668992304976,0.36651299245599334
R2,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u014,d1,4,success,True,9.908884193748236,120.8056640625,0.23882266789437215,0.3852321485612136,0.3120274082277929,0.6369895820859778,0.5790954602733632,0.42974078531732374,0.3630104179140222
R2,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u015,d1,5,success,True,9.839175343513489,120.806640625,0.23744900982596936,0.38574892576683195,0.31159896779640067,0.6286672254819782,0.5657545471914303,0.44301079322971004,0.3713327745180218
R2,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u016,d1,6,success,True,10.250838235020638,120.8232421875,0.21731202372326652,0.3624197745373966,0.28986589913033156,0.6329182133876182,0.5863276282701856,0.4231500613905811,0.3670817866123818
R2,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u017,d1,7,success,True,10.179437713697553,120.7900390625,0.23327589572353363,0.37633606653470475,0.30480598112911916,0.6436055562208118,0.5865867274790745,0.42270653063680086,0.35639444377918816
R2,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u018,d1,8,success,True,9.484031114727259,120.7890625,0.244055857816794,0.38224794165597153,0.3131518997363828,0.6303436714165969,0.5686556621624145,0.440897939843434,0.36965632858340314
R2,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u019,d1,9,success,True,9.756187601014972,120.8271484375,0.23801936517027938,0.3777679506722688,0.3078936579212741,0.6301341156747695,0.5658987336082226,0.44303255668567065,0.3698658843252305
R1,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u020,p22,0,success,True,56.10786676220596,258.35986328125,0.5049393284724745,0.6498424118737981,0.5773908701731363,0.9026827927432656,0.8602496177558985,0.1407128551260459,0.0973172072567344
R1,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u021,p22,1,success,True,56.35910362750292,258.35986328125,0.4898440453180895,0.640229542847059,0.5650367940825742,0.9004288070368335,0.859236796033955,0.1420210314078214,0.0995711929631665
R2,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u022,p22,2,success,True,61.1257476080209,258.35986328125,0.5070851708762827,0.6539310561570045,0.5805081135166437,0.9040351841671248,0.8634544703934734,0.13678697740367,0.0959648158328752
R2,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u023,p22,3,success,True,58.67588666640222,258.35986328125,0.5124474733811558,0.6555795971322154,0.5840135352566855,0.9047828477185267,0.860145823028383,0.14088298298429683,0.09521715228147332
R2,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u024,p22,4,success,True,59.208341633901,258.35986328125,0.5005795060084282,0.6550797772764644,0.5778296416424462,0.9105332600329852,0.8699011316537787,0.132130195794297,0.08946673996701482
R2,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u025,p22,5,success,True,60.00104177184403,258.35986328125,0.5004752751204841,0.6475645186143584,0.5740198968674213,0.905475536008796,0.8656970503783579,0.1355351475269267,0.09452446399120396
R2,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u026,p22,6,success,True,55.910992259159684,258.35986328125,0.5093356406008596,0.6536954274104078,0.5815155340056337,0.905937328202309,0.8609219973079097,0.13970974397673214,0.09406267179769101
R2,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u027,p22,7,success,True,57.21367756277323,258.35986328125,0.4943416932887723,0.6434622941021867,0.5689019936954796,0.9036943375481034,0.8611738172088527,0.13973431744426446,0.09630566245189665
R2,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u028,p22,8,success,True,56.7484963722527,258.35986328125,0.5023057117553291,0.6474481627103158,0.5748769372328224,0.9039142385926333,0.8603978163007279,0.14043718626331975,0.09608576140736669
R2,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u029,p22,9,success,True,56.64912483654916,258.35986328125,0.5144418426408642,0.6573989535393043,0.5859203980900842,0.9024079164376031,0.8531553824672615,0.1476683004528744,0.0975920835623969
R1,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u005,tonsil,0,success,True,12.383840272203088,139.671875,0.1520627361516121,0.2608164207527096,0.2064395784521608,0.7053898844530547,0.5719393626093816,0.4243796622055898,0.2946101155469453
R1,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u006,tonsil,1,success,True,12.505145659670234,139.671875,0.1419087515254284,0.2670434498899621,0.2044761007076952,0.7192278419705251,0.5800731749456276,0.4170084504183498,0.2807721580294748
R2,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u007,tonsil,2,success,True,12.851119466125965,139.671875,0.15209548979651075,0.270953382760789,0.21152443627864986,0.721349662123204,0.5828221006131001,0.415011540420577,0.27865033787679605
R2,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u008,tonsil,3,success,True,13.370810927823186,139.671875,0.1487807914517815,0.2639414178814255,0.2063611046666035,0.7224566987246016,0.5840156818778349,0.4131984047536822,0.2775433012753984
R2,R02__E1_ADAPTER_C06_MEAN__H02,R02,E1_ADAPTER_C06_MEAN,H02,u009,tonsil,4,success,True,13.299111850559711,139.671875,0.1502943294358513,0.2694147247682037,0.2098545271020275,0.7204271316220393,0.5799992853137577,0.4177631552667132,0.2795728683779607
R1,R08__E1_ADAPTER_C06_MEAN__H01,R08,E1_ADAPTER_C06_MEAN,H01,u000,a1,0,success,True,11.636497842147946,400.845703125,0.2706008888706638,0.4039189853290449,0.3372599370998543,0.6475585091014158,0.5913306917605796,0.4206805241689437,0.3524414908985842
R1,R08__E1_ADAPTER_C06_MEAN__H01,R08,E1_ADAPTER_C06_MEAN,H01,u001,a1,1,success,True,11.602192578837276,393.880859375,0.2583351915025726,0.3979530472687043,0.3281441193856385,0.6610806125397284,0.5971078142984586,0.4149552989850084,0.3389193874602716
