stage,recipe_id,unit_id,dataset,seed,status,checkpoint_sha256,state_tensor_sha256,embedding_sha256,gate_sha256,reload_status,reload_embedding_exact,reload_gate_exact,fresh_process
R1,R00,u000,a1,0,success,4ab4588dcd191e5d0c7dbca9fd3ba1fd981d32251efa3e55cb8399d7b93b800f,60598d1c11bbf71a1cd284f51e23b25e65277dc6d7749ce1f88e57fe1bc2e68a,c178863ceb73677471754a4ec8c2c38a0a3ba926c46616b8d1d077b2b22069ff,bfbde3c59d8a4725f724583a3927ae3e1be5082e4bd42927b4aae861622fec7d,PASS,True,True,True
R1,R00,u001,a1,1,success,5f7caedba7a2495a32b4c51669646fc344ed89d1bd1c8968c26753a5701c6fc1,4c5428626b14edaa0fe1eed407968ed20dd72381e1946e9f7a042eccc1403f84,63e31b6ab8028bf6f32d41c2088aad9ce026d9a610c54e20da9415845eb4edc4,bfbde3c59d8a4725f724583a3927ae3e1be5082e4bd42927b4aae861622fec7d,PASS,True,True,True
R1,R00,u005,tonsil,0,success,a396b448e44b4a4c4a93da86809cdb14e2e326276a4ad1aaafcf8384d13ce23a,1c0c8629e53b5c0555a3a46497443cf515914f3ca1c5848954971056773ddfa7,8ab7efa0a08f18a7f21e088a1e92032717fc189b98d5840276b870730ae8af3d,8ac8257e26879a20f3753aae9942034170ce72dc9df5d29e216722df48cfec15,PASS,True,True,True
R1,R00,u006,tonsil,1,success,9a5304bf973104b263fcb8206ba062c907cc65884e595f497ec2b8a0a03d3eb4,420fd53590bcf764d67f337cca76c9035fce2cf5aee14107b01b98cc4887e11c,8304b9e4034ca36f2911a09f937df30c0532d9524a2ef1ee506c33ffb62358b3,8ac8257e26879a20f3753aae9942034170ce72dc9df5d29e216722df48cfec15,PASS,True,True,True
R1,R00,u010,d1,0,success,9eb197360614c70484f554d9e7a564564b90da2cc38ce6c4fcfb6fa958730837,fe6a5288f224778c9b89028cf6ed0c780936d311c268710666d09baca8318171,2d0af223e763b64311144aac5ca342e818d46eab9c5c967886d7715f8e501d6b,4c50096baf7b24890d844cb06154ff46fc684d02d1d09eb54350d6dc56e7c7e5,PASS,True,True,True
R1,R00,u011,d1,1,success,faac6f0e0b04d6567b98cf386edfafe5ac915f5a4e6e550eaf55c2fcf35e9631,a9bdda04df573398eefe205046414548d15f12ac1f8cb1e6a302d96717ec84a2,b54a2a4547cf30325a9080a9ba7e6eb963f088b1f2086080ce4e0fe24ad2c863,4c50096baf7b24890d844cb06154ff46fc684d02d1d09eb54350d6dc56e7c7e5,PASS,True,True,True
R1,R00,u020,p22,0,success,b61717d9ff26f93843f5af1d70a73ae17d8b9bd17c3f36d34c36d2711d2b2199,1e766530894c8153c79f54f7223920117fd1bf0aca6685aaae8a9cca18a10036,1a5852e2cb04a6734113a15e7c7d4496981b6007410bdc0f76c3562fbbdafc74,732cc835d36f6d96549b94a7b11b4c041c34f6ba5c3eb5f4a0c582e4717e48f7,PASS,True,True,True
R1,R00,u021,p22,1,success,fadf2a703ad4293e9fba9e3476b32b7710766368f3b7d7884f639bfc27c4b9c2,e83aa056df8abdd142450aee32567639727c718a401b9fb60b8dbce1dcaff0c3,9430942acbd822fb936d89fa02416f80f09c6d38d8081abb6688a5f6263c55b2,732cc835d36f6d96549b94a7b11b4c041c34f6ba5c3eb5f4a0c582e4717e48f7,PASS,True,True,True
R1,R01,u000,a1,0,success,26f8ca11ea78c503e2bb17cc53ee10a69b680c634012366eabbdd9fc6813c255,697b983e3b31859ebff330f8bfaeb7522851b3ba6bdacbe489578a9fa9b98202,23928fbbb2a56ed078a3287446ba5dca5192e528bfdfc05d962eeaae7135f8ab,bfbde3c59d8a4725f724583a3927ae3e1be5082e4bd42927b4aae861622fec7d,PASS,True,True,True
R1,R01,u001,a1,1,success,8f0b83e3e4b835a83e10d20be569813701ea609f88ab1e199c9f9b86b22006c2,88dd719c7ae3589148e5f6005c374ffb4259ebbd6bbc690d24bc5627f5e92f6c,d584f1797fe43190b58f3fb8e8c80d1ddefe1f5b082b5112e096af1b404633c7,bfbde3c59d8a4725f724583a3927ae3e1be5082e4bd42927b4aae861622fec7d,PASS,True,True,True
