stage,cell_id,status,failure_type
H,u000__H16,scientific_numerical_failure,NumericalHeadFailure
H,u000__H17,scientific_numerical_failure,NumericalHeadFailure
H,u001__H17,scientific_numerical_failure,NumericalHeadFailure
H,u002__H16,scientific_numerical_failure,NumericalHeadFailure
H,u002__H17,scientific_numerical_failure,NumericalHeadFailure
H,u003__H16,scientific_numerical_failure,NumericalHeadFailure
H,u003__H17,scientific_numerical_failure,NumericalHeadFailure
H,u004__H16,scientific_numerical_failure,NumericalHeadFailure
H,u005__H16,scientific_numerical_failure,NumericalHeadFailure
H,u006__H16,scientific_numerical_failure,NumericalHeadFailure
H,u006__H17,scientific_numerical_failure,NumericalHeadFailure
H,u007__H16,scientific_numerical_failure,NumericalHeadFailure
H,u009__H16,scientific_numerical_failure,NumericalHeadFailure
H,u010__H17,scientific_numerical_failure,NumericalHeadFailure
H,u011__H16,scientific_numerical_failure,NumericalHeadFailure
H,u012__H17,scientific_numerical_failure,NumericalHeadFailure
H,u014__H17,scientific_numerical_failure,NumericalHeadFailure
H,u015__H16,scientific_numerical_failure,NumericalHeadFailure
H,u016__H16,scientific_numerical_failure,NumericalHeadFailure
H,u017__H16,scientific_numerical_failure,NumericalHeadFailure
H,u018__H17,scientific_numerical_failure,NumericalHeadFailure
H,u019__H16,scientific_numerical_failure,NumericalHeadFailure
H,u020__H16,scientific_numerical_failure,NumericalHeadFailure
H,u020__H17,scientific_numerical_failure,NumericalHeadFailure
H,u021__H16,scientific_numerical_failure,NumericalHeadFailure
H,u023__H17,scientific_numerical_failure,NumericalHeadFailure
H,u024__H16,scientific_numerical_failure,NumericalHeadFailure
H,u025__H16,scientific_numerical_failure,NumericalHeadFailure
H,u026__H16,scientific_numerical_failure,NumericalHeadFailure
H,u027__H16,scientific_numerical_failure,NumericalHeadFailure
H,u028__H17,scientific_numerical_failure,NumericalHeadFailure
H,u029__H16,scientific_numerical_failure,NumericalHeadFailure
R1_transform,R08__E0_ADAPTER_ONLY__H01__u021,scientific_numerical_failure,NumericalHeadFailure
R1_transform,R08__E0_ADAPTER_ONLY__H02__u021,scientific_numerical_failure,NumericalHeadFailure
