ordinal,unit_id,dataset,seed,K,observation_count,ordered_observation_sha256,worker_input,worker_input_sha256,g00_views_sha256,g04_views_sha256,s00_sha256,s04_sha256
1,u000,a1,0,10,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,/root/autodl-fs/night7b_score_rnd_20260818/source/u000/worker_input.json,a1414668e158204a15ccc8bf97185fbb11c4ca70c348e4f2d09cefce500910de,a60bc4239609281f5c418c3b5aede321fbfafc28de4f1b27a425fedca6bf2ab5,0391997d6b0f893ef10e8f76b899d8e992e7ac1043d45816e8db8fd5fdcdc290,ef490c739f4e057300fe0cfabc829021157cf1c4027b36432f44231c88f4b719,825547c45d44d3a2091f8956450361fea9750506ec8ec862a1f176f83069975a
2,u001,a1,1,10,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,/root/autodl-fs/night7b_score_rnd_20260818/source/u001/worker_input.json,c515ed3ffe8c9785ee279424ebc439742042e8ab35eae23a3f62b3f7437e4d32,0181170acb18cccdbf13026cc0925558cd08f8c84786e06bcd9ba0b8721c48a4,ebc790713fdfdc1b7eb0ded4ed79e4f5a8615b24d65ea47105caf9bf2a6b9777,6caa46d44a32af9cb4fda19c4d59ec746eb5d73b42a0b05ca0f5b9e663e2f0cd,b4995c92b0e2096f1eba0de84c92fcb93ea3c0d06bee28ce45f344baa8162a75
3,u002,a1,2,10,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,/root/autodl-fs/night7b_score_rnd_20260818/source/u002/worker_input.json,4acf9ed7ff47c37be9360714719dab48808e4a9ce8fe590a3179903ee944b708,9058c510f6d2e28ca93b0742da27421f25c17ebb28ca7bf0c85ccfe74a474de2,510bb370db87441cc060c658a566a1846f7a7ab98f2da222b11b85551e4a4bb9,917db1424fb160409ef5fd87b66cfbc13cc87563f5cd51de798b40933551b4d7,2a2d0dc2839183765bc4697e271f2e794a0aa4c565b414a15af7a055c49771fd
4,u003,a1,3,10,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,/root/autodl-fs/night7b_score_rnd_20260818/source/u003/worker_input.json,c60fecf46aca8b927162d6f1c29c0947dd61b5d101611dee0202c1e99862cc61,d6174013f886629b8f98a1e73b9c9bf9cf6691a205b4ec8e19c19a0b2a91fe26,2779522c681089523c73b9c5c495fdc36c33ef7cc92484c9b0b05ab53a4bc824,b5a61934bf8a0dda4bd7a5be4effb1dd491bdd30764bdb474414f8f3fcac1323,b4443299570f7a9c3465aaeb9ebf8a045402e09e9f882eb399667eef63a2be7a
5,u004,a1,4,10,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,/root/autodl-fs/night7b_score_rnd_20260818/source/u004/worker_input.json,bbaa4d4d6839dc3582a39a41d8e03adb34442a95d644d68662b0012a8b40097e,5708fc277ac1498928810b6a7e3c85753921bdf8cd3838fc9d7beefeb916992e,cff0f0eb5ec79e30b450ce8cf769f69cf974d56eb056a677eae278679fc3d615,a3d352c5004f3c04cd8025b6e437cc2811073d7d2ba0224332e4cab6a14d3ef5,53ab682211105e39e3b23c69ad85ff114768d82c1384e67441a3d11a83f270f3
6,u005,tonsil,0,4,4326,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,/root/autodl-fs/night7b_score_rnd_20260818/source/u005/worker_input.json,a38f7c2a9a76ec04adeef0168e61ea93de7baf7dfbfa15aca2cbea38181b936d,64da4dbf06e3966d2d0cf9351589168390bf688f0c46e5641ee76fe498821243,2470d1d17f8cd2323e03ccd63fc8c77e1d1fab26097dec3e1d40e953cc0cf56e,b7c3124408e0ef2f76487ebb05f0a5eb57dd8d892c67ad34f03f493f8f0366fb,f435cb061076caae2fc390a934c9d0acfdc17117e022da6fa7c696c9d30121cd
7,u006,tonsil,1,4,4326,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,/root/autodl-fs/night7b_score_rnd_20260818/source/u006/worker_input.json,93041cf1d5763d2366aea10f9409315a3aa794ad516e878285bbe1d7d8f988f0,c761269b1d0140a0711b42ec8eda63001cfc8901932ada3a6d80ae3567cd56bd,ebc1509e09b208846d47d361fc18aa366ebafd8058f4ea07d3e94ac7978c0ac3,49fe02dd911a9b8133e39752ad3cf51a404481a5e0a22abae6450c61c14fe50d,f55716e8e6a14b4613af9fee7e2cbfc626dca095d726c2947122fa2100eac3a4
8,u007,tonsil,2,4,4326,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,/root/autodl-fs/night7b_score_rnd_20260818/source/u007/worker_input.json,2607fb4b91b3ae2e6c4ce6d536ca50afb4c43824b96c105b37c135737304674d,d58c246349f434125fe9c2094532fa67cee8bf3d7a1ec1ef0e8d3b03bd2f89e0,987292acc95c5a1edefc0c14c8c3ad5f4fa136bd023a1ad44297e7e32687d684,d0890629806a023b4066f060205626e0704e8a10ffa7f4b4b030511af93c31e8,d7f080296f5dd57570ee23a149af65a7ee7afa5229df1ac14e9c522866fcab67
9,u008,tonsil,3,4,4326,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,/root/autodl-fs/night7b_score_rnd_20260818/source/u008/worker_input.json,0532d4a75fe0a2256e6bf41eaaf1235b7f0261168d1b2904c9dfe2eb9c58fb8b,39586e79e79436b1615728b9e34097b7991af43297255399b8fa9ae7344932bc,f309df877d27573b45a548c391336b2d26f14524f563b7804444627d95f00c0a,fa46136206698f49c76bd4ed66c2546d28ff171d9c155eb7b8ffbb51553fb4da,756585c149aba5b46dbfbadcf57bd9b1f06390bc522a9953fb37ec81fe6c8e92
10,u009,tonsil,4,4,4326,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,/root/autodl-fs/night7b_score_rnd_20260818/source/u009/worker_input.json,77b22337b004365dad55be4b651a63a12b317d6116db6ae77212233820a73062,8361e3739a8b8be42aed48379a21b1a78e08a966243803db75bb37724c89ca07,63695bec1032d2de861740f18f0ecdba3926cea2472a75e926469fab22dc7f4b,af1d512ab5e9cb8328cdf5606a6ce23a7ef52684ab75e1a7c36f94420f76b557,3e51dc252b029c363aea3a91676b369b61e466728e139893713f4cbe5c9ee625
