stage,candidate_id,unit_id,dataset,seed,status,success,runtime_seconds,ari,nmi,q,neighbor_agreement,moran_i,geary_c,boundary_disagreement
W,R02_REFERENCE,u000,a1,0,success,True,0.0,0.2695655943232304,0.40458414251435887,0.33707486841879464,0.6181739381681595,0.5558393181817813,0.45581657899118877,0.38182606183184054
W,R02_REFERENCE,u001,a1,1,success,True,0.0,0.2551969435603936,0.39941791087516715,0.3273074272177804,0.6244149089858423,0.5520282266078128,0.45979267922357775,0.3755850910141577
W,R02_REFERENCE,u005,tonsil,0,success,True,0.0,0.1520627361516121,0.2608164207527096,0.20643957845216085,0.7053898844530547,0.5719393626093816,0.42437966220558987,0.2946101155469453
W,R02_REFERENCE,u006,tonsil,1,success,True,0.0,0.1419087515254284,0.26704344988996215,0.20447610070769529,0.7192278419705251,0.5800731749456276,0.41700845041834983,0.28077215802947486
W,R02_REFERENCE,u010,d1,0,success,True,0.0,0.23739559658910214,0.3830346201735509,0.3102151083813265,0.6404023470243084,0.5806014371741838,0.4283482564304276,0.3595976529756916
W,R02_REFERENCE,u011,d1,1,success,True,0.0,0.23842510789675722,0.3751005161074656,0.3067628120021114,0.6381271703987547,0.5817650815351019,0.42701465826006474,0.36187282960124534
W,R02_REFERENCE,u020,p22,0,success,True,0.0,0.5049393284724745,0.6498424118737981,0.5773908701731363,0.9026827927432656,0.8602496177558985,0.1407128551260459,0.09731720725673443
W,R02_REFERENCE,u021,p22,1,success,True,0.0,0.48984404531808956,0.640229542847059,0.5650367940825742,0.9004288070368335,0.859236796033955,0.14202103140782146,0.09957119296316652
W,W01_QUALITY_SOFT,u000,a1,0,success,True,9.346160570159554,0.2681587734444003,0.40318484999887316,0.33567181172163674,0.6288067032649524,0.5685117666564393,0.4435869499957561,0.37119329673504764
W,W01_QUALITY_SOFT,u001,a1,1,success,True,9.279862180352211,0.24917944157395136,0.389859528342808,0.3195194849583797,0.6375325050563421,0.562239232907386,0.45002743054008915,0.36246749494365793
W,W01_QUALITY_SOFT,u005,tonsil,0,success,True,11.818735668435693,0.1511336239837916,0.2493565865046613,0.20024510524422645,0.7109711939851011,0.57703966101921,0.4194142165682456,0.2890288060148989
W,W01_QUALITY_SOFT,u006,tonsil,1,success,True,11.661871677264571,0.1382531522349614,0.2641430583751026,0.20119810530503202,0.716644756567264,0.5807841237267688,0.41594863073449145,0.283355243432736
