dataset,seed,ari,ari_reference,delta_ari,nmi,nmi_reference,delta_nmi,q,q_reference,delta_q,cluster_file_sha256
a1,0,0.2708950222535427,0.2744679880037527,-0.0035729657502099887,0.41115269269528226,0.4147370479615583,-0.0035843552662760403,0.3410238574744125,0.3446025179826555,-0.0035786605082430145,37a411fcc512301919e547cd663ac23a29e29fb780cfc6b852a72ca5021deb46
a1,1,0.26483594511263364,0.2672471914408437,-0.0024112463282100483,0.4083213026363551,0.4132690689870538,-0.004947766350698712,0.33657862387449433,0.3402581302139488,-0.0036795063394544636,8121c81c4352243ad3defbc9893b0805b89a0f4cdd722e77a88a6b969c84558d
a1,2,0.272226085802068,0.2752655745469575,-0.003039488744889518,0.40972593471040086,0.4095421377720357,0.0001837969383651772,0.3409760102562344,0.3424038561594966,-0.0014278459032621704,182c6e0188ef7f5bc34d2d67f46d938834938fe53de6b35ed270686e39d11c71
tonsil,0,0.14827960493917422,0.1522327250963723,-0.003953120157198092,0.2704762586694697,0.2733283147344344,-0.002852056064964692,0.20937793180432196,0.2127805199154033,-0.0034025881110813505,bb708096b347069175416841a8a5bac219f1ca735ac363740514a022d4f9b064
tonsil,1,0.14815081788968779,0.148615145606812,-0.00046432771712420773,0.2713467961337245,0.2701300690467603,0.0012167270869641866,0.20974880701170612,0.2093726073267861,0.0003761996849200311,898cc8b470b20f44e59f574bbdd72b0051a26eb3bf80a5f3f67235c9c80b9ba2
tonsil,2,0.15346788337205225,0.1553315607124325,-0.0018636773403802598,0.27415543047432744,0.2730142678484609,0.0011411626258665541,0.21381165692318985,0.2141729142804467,-0.0003612573572568667,bdd787f5c23a225a576e8abe250f9263f95881e4ddf80da08b7b0d289db685b6
d1,0,0.23900397172433505,0.2375418648455073,0.0014621068788277514,0.38088083127615274,0.3771115048867248,0.0037693263894279516,0.3099424015002439,0.3073266848661161,0.002615716634127796,015958259c592c71a089dba93fa954c4529740bbf2c13b78b8913c918b022c4a
d1,1,0.24295337799238595,0.2520413210974017,-0.009087943105015733,0.37507445196627814,0.3795195196606383,-0.00444506769436015,0.30901391497933206,0.31578042037902,-0.006766505399687928,302faa6a2545684f9ef0ca39cacdc4f92615a2560a3277f1fb41d885c7d619e8
d1,2,0.22897684610216304,0.2310274540924164,-0.0020506079902533614,0.37776818194206935,0.3793379883028963,-0.0015698063608269308,0.3033725140221162,0.3051827211976564,-0.0018102071755402016,a3579485287477a1b6f995c9e6bb2fd4e0b4d3ddbee23c649856fc2ea1e18a65
p22,0,0.5049393284724745,0.5049393284724745,0.0,0.6498424118737981,0.6498424118737981,0.0,0.5773908701731363,0.5773908701731363,0.0,869d272c59690718da64a58308debe5ea05a72969ecef79bb6a5ad23c475d891
p22,1,0.48984404531808956,0.4898440453180895,5.551115123125783e-17,0.6402295428470586,0.640229542847059,-4.440892098500626e-16,0.565036794082574,0.5650367940825742,-2.220446049250313e-16,59beb9d512407032ced96ea28cb39ebda75ec010db082e922e8f0faf91c55889
p22,2,0.5070851708762827,0.5070851708762827,0.0,0.6539310561570044,0.6539310561570045,-1.1102230246251565e-16,0.5805081135166436,0.5805081135166437,-1.1102230246251565e-16,c7a7095b3f328cd68a6fac17de10a2322f9d4fe6c3e353d43c5b8a7e9de9de93
