stage,config_id,dataset,unit_id,seed,family,status,transform_status,raw_root,phase,runtime_seconds,cuda_used,cuda_device,peak_gpu_allocated_mib,process_peak_rss_mib,cpu_workers_stage_max,threads_per_worker
R1,A00_FAMILY_REFERENCE,a1,u000,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A00_FAMILY_REFERENCE/u000/attempt_001,training_and_reload,1.97029210627079,True,NVIDIA GeForce RTX 4080,83.03662109375,770.41015625,,
R1,A00_FAMILY_REFERENCE,a1,u000,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A00_FAMILY_REFERENCE/u000/attempt_001,cpu_transform,5.4064826760441065,False,,,602.43359375,3.0,3.0
R1,A00_FAMILY_REFERENCE,tonsil,u005,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A00_FAMILY_REFERENCE/u005/attempt_001,training_and_reload,2.0655828081071377,True,NVIDIA GeForce RTX 4080,88.56591796875,771.87890625,,
R1,A00_FAMILY_REFERENCE,tonsil,u005,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A00_FAMILY_REFERENCE/u005/attempt_001,cpu_transform,4.954444347880781,False,,,598.96484375,3.0,3.0
R1,A00_FAMILY_REFERENCE,d1,u010,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A00_FAMILY_REFERENCE/u010/attempt_001,training_and_reload,2.5380918802693486,True,NVIDIA GeForce RTX 4080,82.36767578125,768.9296875,,
R1,A00_FAMILY_REFERENCE,d1,u010,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A00_FAMILY_REFERENCE/u010/attempt_001,cpu_transform,6.058172844350338,False,,,606.00390625,3.0,3.0
R1,A00_FAMILY_REFERENCE,p22,u020,0,RNA_EPIGENOME,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A00_FAMILY_REFERENCE/u020/attempt_001,training_and_reload,2.0185169875621796,True,NVIDIA GeForce RTX 4080,134.2392578125,793.390625,,
R1,A00_FAMILY_REFERENCE,p22,u020,0,RNA_EPIGENOME,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A00_FAMILY_REFERENCE/u020/attempt_001,cpu_transform,76.12245164532214,False,,,1165.5390625,3.0,3.0
R1,A01_SP,a1,u000,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A01_SP/u000/attempt_001,training_and_reload,2.349475773051381,True,NVIDIA GeForce RTX 4080,85.849609375,781.79296875,,
R1,A01_SP,a1,u000,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A01_SP/u000/attempt_001,cpu_transform,5.035123823210597,False,,,601.98046875,3.0,3.0
R1,A01_SP,tonsil,u005,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A01_SP/u005/attempt_001,training_and_reload,2.6463733864948153,True,NVIDIA GeForce RTX 4080,92.05908203125,783.75,,
R1,A01_SP,tonsil,u005,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A01_SP/u005/attempt_001,cpu_transform,4.809695920906961,False,,,601.87890625,3.0,3.0
R1,A01_SP,d1,u010,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A01_SP/u010/attempt_001,training_and_reload,2.6000001952052116,True,NVIDIA GeForce RTX 4080,85.07763671875,782.01953125,,
R1,A01_SP,d1,u010,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A01_SP/u010/attempt_001,cpu_transform,5.31547949463129,False,,,606.21875,3.0,3.0
R1,A01_SP,p22,u020,0,RNA_EPIGENOME,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A01_SP/u020/attempt_001,training_and_reload,2.8394627338275313,True,NVIDIA GeForce RTX 4080,146.45654296875,802.9921875,,
R1,A01_SP,p22,u020,0,RNA_EPIGENOME,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A01_SP/u020/attempt_001,cpu_transform,71.60408739652485,False,,,1184.1484375,3.0,3.0
R1,A02_RR10,a1,u000,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A02_RR10/u000/attempt_001,training_and_reload,2.414930298924446,True,NVIDIA GeForce RTX 4080,86.6396484375,843.140625,,
R1,A02_RR10,a1,u000,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A02_RR10/u000/attempt_001,cpu_transform,5.355693760327995,False,,,602.26953125,3.0,3.0
R1,A02_RR10,tonsil,u005,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A02_RR10/u005/attempt_001,training_and_reload,2.372046558186412,True,NVIDIA GeForce RTX 4080,93.0029296875,844.31640625,,
R1,A02_RR10,tonsil,u005,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A02_RR10/u005/attempt_001,cpu_transform,4.598432892002165,False,,,593.16015625,3.0,3.0
R1,A02_RR10,d1,u010,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A02_RR10/u010/attempt_001,training_and_reload,2.399965058080852,True,NVIDIA GeForce RTX 4080,85.84765625,841.94140625,,
R1,A02_RR10,d1,u010,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A02_RR10/u010/attempt_001,cpu_transform,5.449706849642098,False,,,608.40234375,3.0,3.0
R1,A02_RR10,p22,u020,0,RNA_EPIGENOME,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A02_RR10/u020/attempt_001,training_and_reload,2.6346805142238736,True,NVIDIA GeForce RTX 4080,143.3603515625,866.64453125,,
R1,A02_RR10,p22,u020,0,RNA_EPIGENOME,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A02_RR10/u020/attempt_001,cpu_transform,90.76049299817532,False,,,1184.25390625,3.0,3.0
R1,A03_RR30,a1,u000,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A03_RR30/u000/attempt_001,training_and_reload,2.5413525998592377,True,NVIDIA GeForce RTX 4080,86.6396484375,842.8359375,,
R1,A03_RR30,a1,u000,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A03_RR30/u000/attempt_001,cpu_transform,4.441143736243248,False,,,599.73828125,3.0,3.0
R1,A03_RR30,tonsil,u005,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A03_RR30/u005/attempt_001,training_and_reload,2.430596113204956,True,NVIDIA GeForce RTX 4080,93.0029296875,844.484375,,
R1,A03_RR30,tonsil,u005,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A03_RR30/u005/attempt_001,cpu_transform,3.9443710362538695,False,,,595.1953125,3.0,3.0
R1,A03_RR30,d1,u010,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A03_RR30/u010/attempt_001,training_and_reload,3.4489102391526103,True,NVIDIA GeForce RTX 4080,85.84765625,843.67578125,,
R1,A03_RR30,d1,u010,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A03_RR30/u010/attempt_001,cpu_transform,4.437555474229157,False,,,598.859375,3.0,3.0
R1,A03_RR30,p22,u020,0,RNA_EPIGENOME,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A03_RR30/u020/attempt_001,training_and_reload,2.961726188659668,True,NVIDIA GeForce RTX 4080,143.3603515625,863.52734375,,
R1,A03_RR30,p22,u020,0,RNA_EPIGENOME,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A03_RR30/u020/attempt_001,cpu_transform,76.80026152636856,False,,,1181.80078125,3.0,3.0
R1,A04_PROTO,a1,u000,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A04_PROTO/u000/attempt_001,training_and_reload,2.4139407463371754,True,NVIDIA GeForce RTX 4080,86.65087890625,784.69140625,,
R1,A04_PROTO,a1,u000,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A04_PROTO/u000/attempt_001,cpu_transform,4.170008474960923,False,,,600.32421875,3.0,3.0
R1,A04_PROTO,tonsil,u005,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A04_PROTO/u005/attempt_001,training_and_reload,2.7482206532731652,True,NVIDIA GeForce RTX 4080,92.86181640625,786.765625,,
R1,A04_PROTO,tonsil,u005,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A04_PROTO/u005/attempt_001,cpu_transform,5.0970964739099145,False,,,605.17578125,3.0,3.0
R1,A04_PROTO,d1,u010,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A04_PROTO/u010/attempt_001,training_and_reload,2.401435937732458,True,NVIDIA GeForce RTX 4080,85.85302734375,784.859375,,
R1,A04_PROTO,d1,u010,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A04_PROTO/u010/attempt_001,cpu_transform,4.616191246546805,False,,,608.8203125,3.0,3.0
R1,A04_PROTO,p22,u020,0,RNA_EPIGENOME,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A04_PROTO/u020/attempt_001,training_and_reload,2.522746338509023,True,NVIDIA GeForce RTX 4080,143.37109375,804.14453125,,
R1,A04_PROTO,p22,u020,0,RNA_EPIGENOME,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A04_PROTO/u020/attempt_001,cpu_transform,73.58059477526695,False,,,1179.9765625,3.0,3.0
R1,A05_RNA_ANCHOR,a1,u000,0,RNA_PROTEIN,CONTENT_ADDRESSED_NOOP_ALIAS_PRE_LABEL,CONTENT_ADDRESSED_NOOP_ALIAS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A05_RNA_ANCHOR/u000/attempt_001,alias,0.0,False,,0.0,0.0,,
R1,A05_RNA_ANCHOR,tonsil,u005,0,RNA_PROTEIN,CONTENT_ADDRESSED_NOOP_ALIAS_PRE_LABEL,CONTENT_ADDRESSED_NOOP_ALIAS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A05_RNA_ANCHOR/u005/attempt_001,alias,0.0,False,,0.0,0.0,,
R1,A05_RNA_ANCHOR,d1,u010,0,RNA_PROTEIN,CONTENT_ADDRESSED_NOOP_ALIAS_PRE_LABEL,CONTENT_ADDRESSED_NOOP_ALIAS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A05_RNA_ANCHOR/u010/attempt_001,alias,0.0,False,,0.0,0.0,,
R1,A05_RNA_ANCHOR,p22,u020,0,RNA_EPIGENOME,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A05_RNA_ANCHOR/u020/attempt_001,training_and_reload,4.187740539200604,True,NVIDIA GeForce RTX 4080,143.3603515625,1461.9375,,
R1,A05_RNA_ANCHOR,p22,u020,0,RNA_EPIGENOME,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A05_RNA_ANCHOR/u020/attempt_001,cpu_transform,79.67657042853534,False,,,1165.7890625,3.0,3.0
R1,A06_DGI,a1,u000,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A06_DGI/u000/attempt_001,training_and_reload,2.1539158830419183,True,NVIDIA GeForce RTX 4080,86.49365234375,844.83984375,,
R1,A06_DGI,a1,u000,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A06_DGI/u000/attempt_001,cpu_transform,4.496144530363381,False,,,600.171875,3.0,3.0
R1,A06_DGI,tonsil,u005,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A06_DGI/u005/attempt_001,training_and_reload,2.463061257265508,True,NVIDIA GeForce RTX 4080,92.85693359375,837.1328125,,
R1,A06_DGI,tonsil,u005,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A06_DGI/u005/attempt_001,cpu_transform,5.173309446312487,False,,,599.69921875,3.0,3.0
R1,A06_DGI,d1,u010,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A06_DGI/u010/attempt_001,training_and_reload,2.0662939976900816,True,NVIDIA GeForce RTX 4080,85.70166015625,841.15234375,,
R1,A06_DGI,d1,u010,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A06_DGI/u010/attempt_001,cpu_transform,5.268743734806776,False,,,599.3828125,3.0,3.0
R1,A06_DGI,p22,u020,0,RNA_EPIGENOME,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A06_DGI/u020/attempt_001,training_and_reload,2.2333950689062476,True,NVIDIA GeForce RTX 4080,143.3603515625,858.171875,,
R1,A06_DGI,p22,u020,0,RNA_EPIGENOME,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A06_DGI/u020/attempt_001,cpu_transform,75.81403268687427,False,,,1179.26171875,3.0,3.0
R1,A07_SMART_TRIPLET,a1,u000,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A07_SMART_TRIPLET/u000/attempt_001,training_and_reload,5.3552170023322105,True,NVIDIA GeForce RTX 4080,88.275390625,837.0625,,
