stage,config_id,dataset,unit_id,seed,family,status,transform_status,raw_root,training_manifest_sha256,transform_manifest_sha256,model_file_sha256,model_tensor_state_sha256,alias_target_config_id
R1,A00_FAMILY_REFERENCE,a1,u000,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A00_FAMILY_REFERENCE/u000/attempt_001,81f9ecd0a7a59097b351edc5546dac23703eae8b72367041e4aae5143ff2209b,2bc118778a05b98d5063986683e0ea2e5ad66f50e06c894d58e6b824141b8c63,318d5b70c159b89dca4560f83882fb97e1f2958ec6b25ba026b02288f3459999,e69781f889a1395baae62a8cd5f7536fef2647f39978b825b591de54226466a0,
R1,A00_FAMILY_REFERENCE,tonsil,u005,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A00_FAMILY_REFERENCE/u005/attempt_001,7625d93bdfc8f89ebdad31d15c681db7262d0c1a1a8a95d8ce5b63a56dde159d,12f27dd72a72756e749417a7ebc75f4ff67a75cca2127b2bba8abf30b1bd00a2,43d3eb743e3a1ecb03af9262dc880a6e10ca7cb9974c862e843463c5e354e479,51bb2a1f53da10a79170575f86800e243f7fa15ac36b70ee57dfc470fcd778fd,
R1,A00_FAMILY_REFERENCE,d1,u010,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A00_FAMILY_REFERENCE/u010/attempt_001,8b9f00eeb24839b3fbf19e9f8fc6e79d6edc578cf31f1292540aab9806694bcc,7c590fbebdd10ef6a100b35ad2f1a5d99d902c3c786cac4650893da3f58edbb5,cea3c5e0bbf0137f5a9959c6562c22191ae23624e650b23712f11bd1bde377e2,d0d7ca82f045c31ce2b9652f6972add7955c466ecef0da88dcc9a999c01288da,
R1,A00_FAMILY_REFERENCE,p22,u020,0,RNA_EPIGENOME,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A00_FAMILY_REFERENCE/u020/attempt_001,a3cebfcf735933ff4ea0cbbda7c7f0ca5de2b65610b56908e5152a7a37e0b996,c5b774f33c27add0f94fc78d6f354fa754add72c140aba9fd1617a83af8e5c48,24c54e3303bbe3d07ec7e58f0fa4cccc44a046ebb82da58b3d69de53ff3ba9bc,af3e9f444270ee723d2764c17b479c6ced2ad7208377501d065e65ca27d06fe4,
R1,A01_SP,a1,u000,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A01_SP/u000/attempt_001,c10423de07f74b9b6f042fd0809b318fbc589507c3077dfea9bc5d801f737d59,45411d25843e3dc32182517b434aa82bcd59054d1c59e15d55da1c8ec4c50606,1c12353300ec7e148bbec726a429bbd23ae33e1f032e90d833f6f41219fee37f,e13ad8ab3674c140d6c7de6989d372c2572f466437775c5d544c64d2ecb2d987,
R1,A01_SP,tonsil,u005,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A01_SP/u005/attempt_001,06662d067205f1d351c325b0462a4a05ac551b6e830b1f0a1edd757691b557ff,5e6d7018bd2c2509d3d74cb3bb1f01239aa26b191db10918120ee8a74a7458a7,b6f06f3e652ad359faae8ca8fa58672ea7a3c04d02e78f5066ad3850cce129e6,c9380831b3db9e7f4cc17d772229d17c3c21689b8cd4bfce4eac9e510d18dc32,
R1,A01_SP,d1,u010,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A01_SP/u010/attempt_001,41a436a4860371ce5cf3bb18512733fa687e330e2a91e495ec3e9ee88b823924,8e982d1c8f6a7fadcae3166845cfed627a3e1370a9d04f538a5680644484273b,e367a9c78e3007822c750f2edbc29ceb12c2946af9071582b70ae37f72b2b450,a9283309f9cb0d0e9c0d101a07bef560a605c9a356ec32091542a76153f25521,
R1,A01_SP,p22,u020,0,RNA_EPIGENOME,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A01_SP/u020/attempt_001,35cc35a2fc56c1765268cb53485728404d91684029c2644007980f34477ccdd4,89e5a244e6d7b16010356ae09d70c98abf75a83bd587a71613d90b1c489f8e39,a9ea403cacb5ec2ebb953be923fbafc6e4e08c6f27a2143c67e457d93914a108,f84b0bbeb6fedb9f42228916a24f50df62f08e1160cca24109068fc5992e5704,
R1,A02_RR10,a1,u000,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A02_RR10/u000/attempt_001,f963403e5ce247afef14fa413f3ff8c5a1b61e46b7656077ff7dcb02d962ade3,820e8ed8399c1ea5a36f3842e016eaaca9d15d6102e34d702fdd648c9b47b52a,414076393d47872ea214c8ff1bd48a3f70c5165bdbf463d86a78621ba308ee04,42bdc094632be7ce1537239656b15d37bb5b5dc811886a6fd4be69921c369a8c,
R1,A02_RR10,tonsil,u005,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A02_RR10/u005/attempt_001,34f887cb83670ed475462296b711809f6c46bcfeda76ff7cec8a3aa0a4b18a36,78c6c1eaabd8b7d3823c688bc85efecdebcdd7a342d077678a066d955146f8fa,c3b859cfcc0cf9fae60fcd4023d6a2a90e6e0990dfd98d5dd9735af76a1903bb,b052f1d00ad5751417478a24fe557a49210f4e5ad147e8debf4bae43de2689b3,
R1,A02_RR10,d1,u010,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A02_RR10/u010/attempt_001,4c0cb69dccb9506e38b5d7ea06bf82f9c2a69308df996abdd927c06738f2d357,cc32039f29e7e10aa0cb20258694c6765fcdfa88edf49bf18461ce61458aa0f6,20d712f844f892d8eac95ea6aaef31465e4743d5ebf394249b931845923d5c33,aabc0617572600bd195b9456cbcb6dad74bbf94b48b7795bbf6cd2c0ad487746,
R1,A02_RR10,p22,u020,0,RNA_EPIGENOME,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A02_RR10/u020/attempt_001,86eb7607824af64566079625d90bdb0c573abb2c12a44854e1752a70dcd1ac30,0e5a412090bec1d5fa03f9a22612e3f9985dffbda1b35237544c86cb3b4e2ba3,65f5c1d49e1725482cddf7073fa1a4d3cb18d867d33eeeb118b59cde67c185b7,15d8ea80d33ae2e254335e8514acaf98e0a02248a934a9a56dcd80af418bcbcb,
