stage,candidate_id,dataset,seed,status,ari,nmi,q,neighbor_agreement,moran_i,geary_c,boundary_disagreement
R1,U00,p22,0,success,0.4398868737320179,0.6041173002736863,0.5220020870028521,0.8822319956019791,0.8374369251943808,0.16270163641267044,0.11776800439802093
R1,FULL_F00,p22,0,success,0.4640214159224604,0.6296920798268202,0.5468567478746402,0.8932930181418361,0.8698042808631683,0.13259835021806346,0.10670698185816385
R1,E00_ZERO_SHOT_TOPOLOGY_SWAP,p22,0,success,0.45931102789283196,0.6186052005896451,0.5389581142412385,0.8791533809785597,0.8529507113135882,0.14895982839061409,0.12084661902144034
R1,E01_WARM_FULL_E40,p22,0,success,0.45937748191727235,0.6242092339392571,0.5417933579282648,0.8820780648708081,0.8562049985794904,0.14555911561723353,0.11792193512919191
R1,E02_WARM_FULL_E80,p22,0,success,0.46294655091512765,0.6260399751100147,0.5444932630125712,0.8831335898845519,0.8566669985939481,0.14511669701534713,0.11686641011544807
R1,E03_WARM_FULL_E160,p22,0,success,0.4649368046225352,0.625651403955573,0.5452941042890541,0.8863111599780099,0.8600928030211468,0.1419289099638844,0.11368884002199009
R1,E04_WARM_FULL_E320,p22,0,success,0.4642629392613486,0.6269995041651515,0.5456312217132501,0.888653106102254,0.8640904149432457,0.13823471373669133,0.11134689389774599
R1,E05_SGC1_RESIDUAL50,p22,0,success,0.46223205912788823,0.6245321676343331,0.5433821133811106,0.8873776800439802,0.8613629550413305,0.14082130266951942,0.11262231995601979
R1,E06_SGC2_MEAN,p22,0,success,0.46342783329474413,0.6288546888149205,0.5461412610548323,0.8916217702034085,0.8666305955172615,0.1353826911555512,0.10837822979659151
R1,E07_DELTA_TOPOLOGY_RESIDUAL50,p22,0,success,0.4608773912352689,0.6220076404114697,0.5414425158233693,0.8771632765255635,0.8493205151740515,0.15250307948299643,0.12283672347443653
R1,E08_DELTA_TOPOLOGY_RESIDUAL100,p22,0,success,0.49785074687863773,0.6363397146587308,0.5670952307686843,0.883155579989005,0.8402020197785043,0.16013767077820343,0.11684442001099504
R1,U00,p22,1,success,0.43865706152968986,0.6008573614309798,0.5197572114803348,0.8744804837822979,0.8318356785724321,0.16958705222952694,0.12551951621770208
R1,FULL_F00,p22,1,success,0.4602633548090242,0.6299215441424021,0.5450924494757131,0.8939197361187465,0.8702452761951331,0.13178021960804903,0.10608026388125347
R1,E00_ZERO_SHOT_TOPOLOGY_SWAP,p22,1,success,0.4504230086841707,0.6160829462236426,0.5332529774539067,0.8749752611324904,0.8484460809475615,0.15308742241370635,0.12502473886750964
R1,E01_WARM_FULL_E40,p22,1,success,0.45502105371041496,0.6218763578921855,0.5384487058013002,0.8818361737218252,0.8574469068075397,0.1444855015639775,0.11816382627817479
R1,E02_WARM_FULL_E80,p22,1,success,0.45535333759181773,0.6228838142741431,0.5391185759329804,0.8819021440351842,0.8568169033480082,0.14494206050588082,0.11809785596481581
R1,E03_WARM_FULL_E160,p22,1,success,0.45940138435948985,0.6285557982353757,0.5439785912974328,0.8863881253435953,0.862065630072773,0.13976386459231085,0.11361187465640465
R1,E04_WARM_FULL_E320,p22,1,success,0.4587072948814102,0.6267655783568221,0.5427364366191162,0.8881363386476085,0.8633135417079798,0.1383364651638506,0.11186366135239145
R1,E05_SGC1_RESIDUAL50,p22,1,success,0.45940794829382214,0.6262729395313141,0.5428404439125681,0.8860472787245739,0.8596270832248469,0.14215453726049893,0.1139527212754261
R1,E06_SGC2_MEAN,p22,1,success,0.4593125586915872,0.6268315247289312,0.5430720417102592,0.8883012644310061,0.8626746010915984,0.1389797938961685,0.1116987355689939
R1,E07_DELTA_TOPOLOGY_RESIDUAL50,p22,1,success,0.4539046556811855,0.6187531769713771,0.5363289163262813,0.8711379879054425,0.8415234949922465,0.16004600208930697,0.1288620120945575
R1,E08_DELTA_TOPOLOGY_RESIDUAL100,p22,1,success,0.4547953898034746,0.6221653462163746,0.5384803680099246,0.8764595931830677,0.8491333926014961,0.1524150306991318,0.12354040681693235
R1,U00,p22,2,success,0.43427518177278324,0.603284056139916,0.5187796189563496,0.8825288620120946,0.8404399940498986,0.15885610211328594,0.11747113798790543
R1,FULL_F00,p22,2,success,0.46104862822827386,0.6254706956956255,0.5432596619619496,0.8910060472787246,0.8666286546580539,0.1350472050184857,0.10899395272127543
R1,E00_ZERO_SHOT_TOPOLOGY_SWAP,p22,2,success,0.4502981965275627,0.6132049443892583,0.5317515704584105,0.8770973062122045,0.8486879687803511,0.1523804418417048,0.1229026937877955
R1,E01_WARM_FULL_E40,p22,2,success,0.4663634019860046,0.6247344578286692,0.5455489299073369,0.883089609675646,0.8550640206733583,0.14608113806340803,0.11691039032435402
R1,E02_WARM_FULL_E80,p22,2,success,0.46435945859002276,0.6223129082630016,0.5433361834265121,0.882473886750962,0.8546649790552452,0.1468250684207725,0.11752611324903794
R1,E03_WARM_FULL_E160,p22,2,success,0.46298368911311266,0.6232167306206805,0.5431002098668966,0.885673446948873,0.8593952234349995,0.1420856237209682,0.11432655305112704
R1,E04_WARM_FULL_E320,p22,2,success,0.4665783050206762,0.6241515565438077,0.5453649307822419,0.8901154480483783,0.86315121132348,0.1382094132396136,0.10988455195162172
R1,E05_SGC1_RESIDUAL50,p22,2,success,0.46188391937538814,0.6245108855576053,0.5431974024664967,0.8869488730071468,0.8597029995303752,0.14124188609303856,0.11305112699285325
R1,E06_SGC2_MEAN,p22,2,success,0.46051168159070505,0.6234072426856462,0.5419594621381756,0.8903023639362287,0.8635795451141441,0.13753719936303646,0.10969763606377125
R1,E07_DELTA_TOPOLOGY_RESIDUAL50,p22,2,success,0.45812175478457734,0.6140981230421666,0.536109938913372,0.8745794392523365,0.844353507830701,0.15674408444697155,0.1254205607476635
R1,E08_DELTA_TOPOLOGY_RESIDUAL100,p22,2,success,0.45271334139924124,0.6103910591157841,0.5315522002575126,0.8728642111050028,0.8427141501640805,0.1584270613975495,0.12713578889499721
