seed,lane,ari,nmi,q,neighbor_agreement,moran_i,geary_c,boundary_disagreement
0,F00_R02_REFERENCE,0.4640214159224604,0.6296920798268202,0.5468567478746402,0.8932930181418361,0.8698042808631683,0.13259835021806346,0.10670698185816385
0,COSMOS_NATIVE_FIXED,0.3421271232067136,0.581703584993667,0.46191535410019036,0.8921055525013744,0.8510109446528582,0.1485660536001975,0.10789444749862565
0,COSMOS_COMMON_HEAD,0.4512249417088124,0.6211939595649544,0.5362094506368834,0.9332710280373832,0.9258048322979009,0.07710126641879457,0.06672897196261685
1,F00_R02_REFERENCE,0.4602633548090242,0.6299215441424021,0.5450924494757131,0.8939197361187465,0.8702452761951331,0.13178021960804903,0.10608026388125347
1,COSMOS_NATIVE_FIXED,0.1772904758190611,0.4616082496616926,0.31944936274037683,0.8804068169323804,0.8459673184394139,0.1572208045972932,0.11959318306761957
1,COSMOS_COMMON_HEAD,0.4592231521828289,0.6234370937427668,0.5413301229627978,0.9325673446948873,0.9254024530657196,0.07728690440314927,0.06743265530511267
2,F00_R02_REFERENCE,0.46104862822827386,0.6254706956956255,0.5432596619619496,0.8910060472787246,0.8666286546580539,0.1350472050184857,0.10899395272127543
2,COSMOS_NATIVE_FIXED,0.3220252555917851,0.539402100579737,0.43071367808576105,0.8731830676195712,0.8548005757276745,0.14615213079791606,0.1268169323804288
2,COSMOS_COMMON_HEAD,0.45333226962049666,0.6364231193174534,0.544877694468975,0.920153930731171,0.9073395622893022,0.09424954690001926,0.07984606926882898
3,F00_R02_REFERENCE,0.4709450138430096,0.6357492276820622,0.5533471207625359,0.897108301264431,0.8737262015165543,0.12880614760457398,0.10289169873556903
3,COSMOS_NATIVE_FIXED,0.2761110706469957,0.5126730841857838,0.39439207741638976,0.8723034634414514,0.8495714948942331,0.14889268570131878,0.12769653655854862
3,COSMOS_COMMON_HEAD,0.4588862483082555,0.6248932777530903,0.5418897630306729,0.931456844420011,0.9235355184702608,0.07978373957041744,0.06854315557998902
4,F00_R02_REFERENCE,0.48242234081273405,0.6460297374929547,0.5642260391528444,0.8992963166575041,0.8747914016560776,0.12903362036305374,0.10070368334249591
4,COSMOS_NATIVE_FIXED,0.26099063139700834,0.5049074909622446,0.38294906117962646,0.8830126443100604,0.8362180926682515,0.17210469766913888,0.11698735568993957
4,COSMOS_COMMON_HEAD,0.42716695724646947,0.6040950342527018,0.5156309957495857,0.9277295217152282,0.9194059848528925,0.08654878873036641,0.07227047828477184
