stage,candidate_id,dataset,seed,status,ari,nmi,q,neighbor_agreement,moran_i,geary_c,boundary_disagreement,total_runtime_seconds
R1,REFERENCE,a1,0,success,0.2744679880037527,0.41473704796155814,0.3446025179826554,0.6167581623808148,0.5499301490114088,0.46285877900957717,0.3832418376191852,
R1,N01_ANCHOR_K10,a1,0,success,0.2781050842553728,0.4179664669410649,0.34803577559821886,0.7028893383415198,0.6430044714443466,0.3683853501988638,0.2971106616584802,6.403976174071431
R1,N02_HIER_ONLY,a1,0,success,0.2764280232144513,0.41382256754697766,0.34512529538071446,0.6650967928344409,0.599823549987973,0.4131773042689405,0.3349032071655591,6.580916913226247
R1,N03_ANCHOR_K10_HIER,a1,0,success,0.27975006351712556,0.41892148770042364,0.3493357756087746,0.700577867668304,0.6394289664774544,0.37207254816166846,0.299422132331696,6.248780511319637
R1,N04_ANCHOR_K15_HIER,a1,0,success,0.2787502254805788,0.41688520893584896,0.34781771720821386,0.6986131175960705,0.6379747267908891,0.37362446368378,0.3013868824039295,5.944734256714582
R1,N05_ANCHOR_K10_HIER_DGI,a1,0,success,0.27923531865323903,0.4187987345030516,0.3490170265781453,0.7011846287200231,0.641379609416953,0.3701313447823438,0.2988153712799769,7.042835591360927
R1,N06_ANCHOR_K10_HIER_REL,a1,0,success,0.27604717349028535,0.41484868444265705,0.3454479289664712,0.7021092169893095,0.6363905386514024,0.3748051322897705,0.2978907830106905,6.187676215544343
R1,N07_ANCHOR_K10_HIER_REL_DGI,a1,0,success,0.2771283072667142,0.41674047372475737,0.3469343904957358,0.7037272464605605,0.6434613654584684,0.36801819181025186,0.2962727535394395,7.1153639275580645
R1,REFERENCE,a1,1,success,0.2672471914408437,0.4132690689870539,0.3402581302139488,0.6276220745449292,0.5587973329910844,0.45437093774630793,0.37237792545507076,
R1,N01_ANCHOR_K10,a1,1,success,0.2631313345793193,0.4097513422708037,0.3364413384250615,0.7063854377347587,0.6474023296825833,0.36567559068324224,0.2936145622652413,6.878833446651697
R1,N02_HIER_ONLY,a1,1,success,0.25757511577154507,0.40251088446397654,0.3300430001177608,0.6789367234903207,0.6147003393585575,0.3989349409916795,0.32106327650967925,6.155887903645635
R1,N03_ANCHOR_K10_HIER,a1,1,success,0.26379185938244315,0.41026312800114373,0.3370274936917934,0.7047963016469229,0.6462740092876377,0.36675091184870273,0.29520369835307714,5.979374041780829
R1,N04_ANCHOR_K15_HIER,a1,1,success,0.26001483265111186,0.40700874803960546,0.33351179034535866,0.7105171915631321,0.6528888097382854,0.36022277494518956,0.2894828084368679,6.158743510022759
R1,N05_ANCHOR_K10_HIER_DGI,a1,1,success,0.26290441170463724,0.40912488918357237,0.33601465044410483,0.7052008090147356,0.6464955589622597,0.36652421863603263,0.2947991909852644,6.115112856030464
R1,N06_ANCHOR_K10_HIER_REL,a1,1,success,0.25148796715591015,0.3961613415204673,0.32382465433818874,0.691389771742271,0.6361308853326518,0.3788459938729158,0.308610228257729,6.312347989529371
R1,N07_ANCHOR_K10_HIER_REL_DGI,a1,1,success,0.2531668373937091,0.39625495057469207,0.3247108939842006,0.6949725512857555,0.6401055814440813,0.3745672828982358,0.3050274487142445,6.591266619041562
R1,REFERENCE,a1,2,success,0.27526557454695755,0.4095421377720357,0.34240385615949664,0.6193585668881826,0.5343047402051191,0.4775497711581491,0.3806414331118174,
R1,N01_ANCHOR_K10,a1,2,success,0.2746351232608695,0.40923838287466274,0.3419367530677661,0.7170470962149668,0.6450357856743748,0.3654268134843982,0.28295290378503324,6.251107132062316
R1,N02_HIER_ONLY,a1,2,success,0.2735517543941256,0.40425488829849665,0.3389033213463111,0.6744293556775498,0.6012083574924612,0.41109264252210476,0.3255706443224502,11.599835243076086
R1,N03_ANCHOR_K10_HIER,a1,2,success,0.2756011298860927,0.41045751056161034,0.3430293202238515,0.7140999711066166,0.6416629853788973,0.36878030878107376,0.2859000288933834,6.217993522062898
