data_family,dataset,method,evidence_role,seed_count,seed_scope,ari,nmi,q,ami,fmi,homogeneity,completeness,v_measure,neighbor_agreement,moran_i,geary_c,boundary_disagreement,runtime_seconds,peak_gpu_mib,source_file,notes
RNA+protein,a1,C00_G04_H05_CONFIRMED,retained_balanced_reference,5,Night-7A registered seeds,0.26920545245702204,0.4086738847402008,0.3389396685986114,,,,,,0.6280959260329384,0.5606016347119974,0.45263935834793134,0.3719040739670616,,,night7a_handoff_20260818/official_compact/handoff/four_dataset_summary.csv,Confirmed in Night-6D and preserved by Night-7A.
RNA+protein,tonsil,C00_G04_H05_CONFIRMED,retained_balanced_reference,5,Night-7A registered seeds,0.15295440473639177,0.2727226658089567,0.2128385352726742,,,,,,0.7212989229456399,0.5766472292611043,0.4206550687499758,0.2787010770543601,,,night7a_handoff_20260818/official_compact/handoff/four_dataset_summary.csv,Confirmed in Night-6D and preserved by Night-7A.
RNA+protein,d1,C00_G04_H05_CONFIRMED,retained_balanced_reference,10,Night-7A registered seeds,0.24120059656400064,0.3776560475347793,0.30942832204938997,,,,,,0.6286193270267033,0.5647579548195208,0.44461462117832395,0.3713806729732966,,,night7a_handoff_20260818/official_compact/handoff/four_dataset_summary.csv,Confirmed in Night-6D and preserved by Night-7A.
RNA+ATAC,p22,C00_G04_H05_CONFIRMED,retained_balanced_reference,10,Night-7A registered seeds,0.42027367793186626,0.590306354236177,0.5052900160840217,,,,,,0.8957218251786696,0.8418616017521042,0.15859739812874113,0.10427817482133042,,,night7a_handoff_20260818/official_compact/handoff/four_dataset_summary.csv,Confirmed in Night-6D and preserved by Night-7A.
RNA+protein,d1,C01_G00_H05,diagnostic_accuracy_frontier,10,Night-7A registered seeds,0.2576308652304731,0.38370616143412606,0.32066851333229957,,,,,,0.6546012453598372,0.5914574632461969,0.41796002907914936,0.34539875464016284,,,night7a_handoff_20260818/official_compact/handoff/four_dataset_summary.csv,C01 is retained only as a dataset accuracy frontier; it is not the unified final candidate.
RNA+ATAC,p22,C01_G00_H05,diagnostic_accuracy_frontier,10,Night-7A registered seeds,0.44614501980683235,0.6142239275122872,0.5301844736595599,,,,,,0.9158031885651458,0.8767388308606907,0.12527633118097312,0.0841968114348543,,,night7a_handoff_20260818/official_compact/handoff/four_dataset_summary.csv,C01 is retained only as a dataset accuracy frontier; it is not the unified final candidate.
RNA+protein,a1,R02__E1_ADAPTER_C06_MEAN__H01,ten_seed_p22_accuracy_frontier,5,Night-7B registered seeds,0.2627352722852963,0.4021989134511017,0.33246709286819903,,,,,,,,,,,,night7b_handoff_20260818/official_compact/handoff/R2_final_summary_vs_C00.csv,Specialist/trade-off result; not a unified winner.
RNA+protein,d1,R02__E1_ADAPTER_C06_MEAN__H01,ten_seed_p22_accuracy_frontier,10,Night-7B registered seeds,0.2361112859381303,0.3798156893374832,0.30796348763780673,,,,,,,,,,,,night7b_handoff_20260818/official_compact/handoff/R2_final_summary_vs_C00.csv,Specialist/trade-off result; not a unified winner.
RNA+protein,tonsil,R02__E1_ADAPTER_C06_MEAN__H01,ten_seed_p22_accuracy_frontier,5,Night-7B registered seeds,0.14902841967223682,0.26643387921061795,0.2077311494414274,,,,,,,,,,,,night7b_handoff_20260818/official_compact/handoff/R2_final_summary_vs_C00.csv,Specialist/trade-off result; not a unified winner.
RNA+ATAC,p22,R02__E1_ADAPTER_C06_MEAN__H01,ten_seed_p22_accuracy_frontier,10,Night-7B registered seeds,0.503579568746274,0.6504231741663115,0.5770013714562927,,,,,,,,,,,,night7b_handoff_20260818/official_compact/handoff/R2_final_summary_vs_C00.csv,Specialist/trade-off result; not a unified winner.
RNA+protein,a1,R08__E1_ADAPTER_C06_MEAN__H01,ten_seed_d1_p22_tradeoff_frontier,5,Night-7B registered seeds,0.2610004888850962,0.3974837059257065,0.3292420974054014,,,,,,,,,,,,night7b_handoff_20260818/official_compact/handoff/R2_final_summary_vs_C00.csv,Specialist/trade-off result; not a unified winner.
RNA+protein,d1,R08__E1_ADAPTER_C06_MEAN__H01,ten_seed_d1_p22_tradeoff_frontier,10,Night-7B registered seeds,0.25174365106256574,0.38317576719319557,0.3174597091278807,,,,,,,,,,,,night7b_handoff_20260818/official_compact/handoff/R2_final_summary_vs_C00.csv,Specialist/trade-off result; not a unified winner.
RNA+protein,tonsil,R08__E1_ADAPTER_C06_MEAN__H01,ten_seed_d1_p22_tradeoff_frontier,5,Night-7B registered seeds,0.15117853028714484,0.26640743388077076,0.2087929820839578,,,,,,,,,,,,night7b_handoff_20260818/official_compact/handoff/R2_final_summary_vs_C00.csv,Specialist/trade-off result; not a unified winner.
RNA+ATAC,p22,R08__E1_ADAPTER_C06_MEAN__H01,ten_seed_d1_p22_tradeoff_frontier,10,Night-7B registered seeds,0.475322524710045,0.6368493596291895,0.5560859421696172,,,,,,,,,,,,night7b_handoff_20260818/official_compact/handoff/R2_final_summary_vs_C00.csv,Specialist/trade-off result; not a unified winner.
RNA+protein,a1,FAMILY_REFERENCE_C00_OR_F00,five_seed_family_reference,5,Night-9B seeds 0-4,0.26920545245702204,0.4086738847402008,0.3389396685986114,,,,,,0.6280959260329384,0.5606016347119973,0.45263935834793134,0.37190407396706154,,,night9b_handoff_20260821/official_compact/outputs/night9b/r1_r2_per_seed_metrics.csv,C00 for A1 and F00/R02 for P22.
RNA+ATAC,p22,FAMILY_REFERENCE_C00_OR_F00,five_seed_family_reference,5,Night-9B seeds 0-4,0.46774015072310043,0.633372656967973,0.5505564038455366,,,,,,0.8949246838922484,0.8710391629777975,0.1314531085624452,0.10507531610775153,,,night9b_handoff_20260821/official_compact/outputs/night9b/r1_r2_per_seed_metrics.csv,C00 for A1 and F00/R02 for P22.
RNA+protein,a1,N02_HIER_ONLY,five_seed_p22_development_frontier,5,Night-9B seeds 0-4,0.26328997775565666,0.40274424637917755,0.33301711206741713,,,,,,0.6805605316382548,0.6175826049693158,0.39592370567449564,0.31943946836174514,7.40804323554039,,night9b_handoff_20260821/official_compact/outputs/night9b/r1_r2_per_seed_metrics.csv,N02 improves P22 but failed the A1 protection gate; development clue only.
RNA+ATAC,p22,N02_HIER_ONLY,five_seed_p22_development_frontier,5,Night-9B seeds 0-4,0.5062567125453918,0.6561870097737948,0.5812218611595934,,,,,,0.9084354040681694,0.8704926174880774,0.13228786118002567,0.09156459593183068,17.26560652665794,,night9b_handoff_20260821/official_compact/outputs/night9b/r1_r2_per_seed_metrics.csv,N02 improves P22 but failed the A1 protection gate; development clue only.
RNA+ATAC,p22,COSMOS_COMMON_HEAD,same_protocol_external_baseline,5,Night-9B seeds 0-4,0.44996671381337255,0.6220084969261934,0.535987605369783,,,,,,0.9290357339197362,0.9202976701952152,0.08299404920454939,0.07096426608026388,,,night9b_handoff_20260821/official_compact/outputs/night9b/cosmos_p22_per_seed_metrics.csv,Fair same-input/K/seed protocol; not a paper-headline comparison.
RNA+ATAC,p22,COSMOS_NATIVE_FIXED,same_protocol_external_baseline,5,Night-9B seeds 0-4,0.27570891133231273,0.520058902076625,0.3978839067044689,,,,,,0.8802023089609676,0.8475136852764862,0.1545872744731729,0.11979769103903244,,,night9b_handoff_20260821/official_compact/outputs/night9b/cosmos_p22_per_seed_metrics.csv,Fair same-input/K/seed protocol; not a paper-headline comparison.
RNA+ATAC,p22,F00_R02_REFERENCE,same_protocol_family_reference,5,Night-9B seeds 0-4,0.46774015072310043,0.633372656967973,0.5505564038455366,,,,,,0.8949246838922484,0.8710391629777975,0.1314531085624452,0.10507531610775153,,,night9b_handoff_20260821/official_compact/outputs/night9b/cosmos_p22_per_seed_metrics.csv,Five-seed F00/R02 reference included in the COSMOS calibration.
RNA+ATAC,misar_e15_5_s1,HR_F00,post_lock_external_accuracy_reference,10,Night-8B seeds 0-9,0.31889793769990593,0.5635133108884847,0.44120562429419524,0.5597389473912016,0.44325130448962363,0.6780319098869183,0.4820972075116706,0.5635133108884847,0.8413408674404398,0.8182003405612843,0.1870200819735138,0.15865913255956018,63.86647223206237,401.03271484375,night8b_cardinality_safe_eval_handoff_20260820/official_compact/outputs/night8b_cardinality_safe_eval/cardinality_safe_20row_metrics.csv,Accuracy/spatial improvement confirmed; runtime gate failed.
RNA+ATAC,misar_e15_5_s1,HR_U00,post_lock_external_baseline,10,Night-8B seeds 0-9,0.30515574210105995,0.5425314461288911,0.4238435941149755,0.5385579890598442,0.4303230375551089,0.6505407514743792,0.4652854691583146,0.5425314461288913,0.8325799226226838,0.8035958041579547,0.2010542718899147,0.16742007737731623,28.24672898845747,400.14453125,night8b_cardinality_safe_eval_handoff_20260820/official_compact/outputs/night8b_cardinality_safe_eval/cardinality_safe_20row_metrics.csv,Unified-head comparator.
