dataset,variant,seed,attention,alternative_0_mean,alternative_1_mean,alternative_0_sd_across_locations,max_row_sum_deviation
a1,abundance_only,0,alpha_omics1,0.4994012415409088,0.5005987286567688,0.14516913890838623,1.1920928955078125e-07
a1,abundance_only,0,alpha_omics2,0.5025589466094971,0.49744105339050293,0.10664499551057816,1.1920928955078125e-07
a1,abundance_only,0,alpha,0.5314896702766418,0.46851032972335815,0.23231135308742523,1.1920928955078125e-07
a1,abundance_only,1,alpha_omics1,0.49895769357681274,0.5010423064231873,0.1323307603597641,1.1920928955078125e-07
a1,abundance_only,1,alpha_omics2,0.5071040391921997,0.4928959608078003,0.09838101267814636,1.1920928955078125e-07
a1,abundance_only,1,alpha,0.507881760597229,0.4921182692050934,0.24375057220458984,1.1920928955078125e-07
a1,abundance_only,2,alpha_omics1,0.5004192590713501,0.4995807409286499,0.13526679575443268,1.1920928955078125e-07
a1,abundance_only,2,alpha_omics2,0.5058791041374207,0.49412089586257935,0.1082371324300766,1.1920928955078125e-07
a1,abundance_only,2,alpha,0.501128613948822,0.498871386051178,0.22003881633281708,1.1920928955078125e-07
a1,abundance_only,3,alpha_omics1,0.4981403052806854,0.5018596649169922,0.15390945971012115,1.1920928955078125e-07
a1,abundance_only,3,alpha_omics2,0.5021497011184692,0.49785032868385315,0.09080765396356583,1.1920928955078125e-07
a1,abundance_only,3,alpha,0.5159125328063965,0.4840875267982483,0.22873492538928986,1.1920928955078125e-07
a1,abundance_only,4,alpha_omics1,0.5024024248123169,0.49759751558303833,0.14443431794643402,1.1920928955078125e-07
a1,abundance_only,4,alpha_omics2,0.5053578615188599,0.49464210867881775,0.10145839303731918,1.1920928955078125e-07
a1,abundance_only,4,alpha,0.5191622972488403,0.48083770275115967,0.24414651095867157,1.1920928955078125e-07
a1,asr_hvg,0,alpha_omics1,0.4994262754917145,0.5005737543106079,0.14511814713478088,1.1920928955078125e-07
a1,asr_hvg,0,alpha_omics2,0.5025585889816284,0.49744144082069397,0.1066480353474617,1.1920928955078125e-07
a1,asr_hvg,0,alpha,0.5315071940422058,0.4684928357601166,0.2322467863559723,1.1920928955078125e-07
a1,asr_hvg,1,alpha_omics1,0.49897438287734985,0.5010256171226501,0.13230568170547485,1.1920928955078125e-07
a1,asr_hvg,1,alpha_omics2,0.5071039199829102,0.49289605021476746,0.09838148951530457,1.1920928955078125e-07
a1,asr_hvg,1,alpha,0.507867157459259,0.49213284254074097,0.24375925958156586,1.1920928955078125e-07
a1,asr_hvg,2,alpha_omics1,0.5004296898841858,0.4995703101158142,0.13524124026298523,1.1920928955078125e-07
a1,asr_hvg,2,alpha_omics2,0.5058788061141968,0.4941212832927704,0.10823658108711243,1.1920928955078125e-07
a1,asr_hvg,2,alpha,0.5011122822761536,0.4988877773284912,0.22000770270824432,1.1920928955078125e-07
a1,asr_hvg,3,alpha_omics1,0.4981503188610077,0.5018497109413147,0.1538858711719513,1.1920928955078125e-07
a1,asr_hvg,3,alpha_omics2,0.5021501779556274,0.49784982204437256,0.09080260992050171,1.1920928955078125e-07
a1,asr_hvg,3,alpha,0.5159528255462646,0.48404714465141296,0.22877569496631622,1.1920928955078125e-07
a1,asr_hvg,4,alpha_omics1,0.5024299025535583,0.49757009744644165,0.14439743757247925,1.1920928955078125e-07
a1,asr_hvg,4,alpha_omics2,0.5053582191467285,0.49464184045791626,0.10145635157823563,1.1920928955078125e-07
a1,asr_hvg,4,alpha,0.5191584825515747,0.4808415174484253,0.24417521059513092,1.1920928955078125e-07
a1,asr_rescue,0,alpha_omics1,0.4983951151371002,0.5016048550605774,0.14633768796920776,1.1920928955078125e-07
a1,asr_rescue,0,alpha_omics2,0.5074979662895203,0.4925020635128021,0.0886884331703186,1.1920928955078125e-07
a1,asr_rescue,0,alpha,0.5265346765518188,0.47346529364585876,0.2706402540206909,1.1920928955078125e-07
a1,asr_rescue,1,alpha_omics1,0.49880221486091614,0.5011977553367615,0.13626399636268616,1.1920928955078125e-07
a1,asr_rescue,1,alpha_omics2,0.5025936365127563,0.49740636348724365,0.10098889470100403,1.1920928955078125e-07
a1,asr_rescue,1,alpha,0.5188117027282715,0.48118826746940613,0.25451526045799255,1.1920928955078125e-07
a1,asr_rescue,2,alpha_omics1,0.4990741014480591,0.5009258985519409,0.1587933748960495,1.1920928955078125e-07
a1,asr_rescue,2,alpha_omics2,0.5067669153213501,0.4932330846786499,0.09785004705190659,1.1920928955078125e-07
a1,asr_rescue,2,alpha,0.5297167897224426,0.47028324007987976,0.2506142556667328,1.1920928955078125e-07
a1,asr_rescue,3,alpha_omics1,0.4963694214820862,0.5036305785179138,0.17271465063095093,1.1920928955078125e-07
a1,asr_rescue,3,alpha_omics2,0.5028820633888245,0.49711793661117554,0.10354216396808624,5.960464477539063e-08
