dataset,variant,attention,alternative_0_mean,alternative_0_seed_sd,alternative_1_mean,alternative_1_seed_sd,max_row_sum_deviation
a1,abundance_only,alpha,0.5151149749755859,0.011544319461251715,0.4848850429058075,0.011544323100050671,1.1920928955078125e-07
a1,abundance_only,alpha_omics1,0.4998641848564148,0.001640013201380325,0.5001357913017273,0.001640026329230268,1.1920928955078125e-07
a1,abundance_only,alpha_omics2,0.5046099305152894,0.0021592848485234724,0.4953900694847107,0.0021592959183081915,1.1920928955078125e-07
a1,asr_hvg,alpha,0.5151195883750915,0.011558145917396933,0.4848804235458374,0.011558153949532517,1.1920928955078125e-07
a1,asr_hvg,alpha_omics1,0.49988211393356324,0.0016448362230542743,0.5001178979873657,0.0016448461323836782,1.1920928955078125e-07
a1,asr_hvg,alpha_omics2,0.5046099424362183,0.0021591867316088304,0.4953900873661041,0.002159184117178437,1.1920928955078125e-07
a1,asr_rescue,alpha,0.5287470698356629,0.006915682434263481,0.47125291228294375,0.006915680344867485,1.1920928955078125e-07
a1,asr_rescue,alpha_omics1,0.49779950380325316,0.001333388315521955,0.5022004842758179,0.0013333972465460263,1.1920928955078125e-07
a1,asr_rescue,alpha_omics2,0.5050097823143005,0.002221072658370716,0.4949902296066284,0.002221063310329053,1.1920928955078125e-07
a1,corrected_unweighted,alpha,0.5151240229606628,0.011570080222825662,0.4848759829998016,0.01157006965718657,1.1920928955078125e-07
a1,corrected_unweighted,alpha_omics1,0.4998896062374115,0.0016428942571652813,0.5001103818416596,0.0016429074488704544,1.1920928955078125e-07
a1,corrected_unweighted,alpha_omics2,0.5046100497245789,0.0021591621601368175,0.4953899562358856,0.0021591845339367266,1.1920928955078125e-07
a1,legacy_exact,alpha,0.5155208230018615,0.011626338113970097,0.48447917103767396,0.01162635022168908,1.1920928955078125e-07
a1,legacy_exact,alpha_omics1,0.49988163113594053,0.0017027287670901739,0.5001183748245239,0.0017027438955333784,1.1920928955078125e-07
a1,legacy_exact,alpha_omics2,0.5045971035957336,0.0021544228668780884,0.4954029142856598,0.0021544243835959582,1.1920928955078125e-07
p22,abundance_only,alpha,0.5987174272537231,0.03360965669338197,0.4012825906276703,0.033609685456771926,1.1920928955078125e-07
p22,abundance_only,alpha_omics1,0.7511205673217773,0.008337398909654962,0.24887940287590027,0.008337359094854935,1.1920928955078125e-07
p22,abundance_only,alpha_omics2,0.8024269223213196,0.01649953325754709,0.19757309556007385,0.01649954061015698,1.1920928955078125e-07
p22,asr_hvg,alpha,0.5989501595497131,0.03357522153133369,0.40104984641075136,0.033575211538430655,1.1920928955078125e-07
