dataset,variant,ari_delta_vs_corrected_unweighted,nmi_delta_vs_corrected_unweighted,ami_delta_vs_corrected_unweighted,fmi_delta_vs_corrected_unweighted,hungarian_macro_f1_delta_vs_corrected_unweighted,spatial_neighbor_agreement_delta_vs_corrected_unweighted
a1,legacy_exact,0.0034485482620680574,-6.110828997157869e-05,-9.560111097606239e-05,0.004852037729862424,0.007323769959967474,0.0028001020538334087
a1,corrected_unweighted,0.0,0.0,0.0,0.0,0.0,0.0
a1,abundance_only,-0.014425641794096083,-0.001035638628319846,-0.0010096253352844808,-0.014451843973511624,-0.0074607696279649915,-0.021010332950631483
a1,asr_hvg,0.0013540192176852706,0.0035458913201036335,0.003528494221107348,0.0035581603263498685,-0.0037107432265806595,0.005858527873453312
a1,asr_rescue,-0.011142766793221515,-0.0024956340692426915,-0.002484852457135256,-0.0112648003830908,-0.014708873875476425,-0.02358400306161501
placenta,legacy_exact,0.21289141642223075,0.19493747691262941,0.1975272456261019,0.18048485433779682,0.10930429002323516,-0.05138387484957879
placenta,corrected_unweighted,0.0,0.0,0.0,0.0,0.0,0.0
placenta,abundance_only,-0.0339627368540274,-0.021775288951386362,-0.022028931641496996,-0.029285260659860146,0.0028411644048090823,-0.0034897713598074365
placenta,asr_hvg,0.01264375533246942,0.009202490449221057,0.009342363754362815,0.010667203585713825,0.021870515749212616,-0.008904933814681049
placenta,asr_rescue,-0.1018319770848124,-0.07464315722723092,-0.07560520846401647,-0.08640804855194212,-0.02010182205631733,0.004452466907340635
p22,legacy_exact,0.000615502986831995,0.0011319441093197158,0.001134769337565178,0.00012945824725008048,0.0010494861830693258,-7.068290561118573e-05
p22,corrected_unweighted,0.0,0.0,0.0,0.0,0.0,0.0
p22,abundance_only,-0.011076686218968734,-0.001222855451805449,-0.0012311545447085681,-0.005972145687076491,-0.006318373220922768,0.00647971944323622
p22,asr_hvg,3.758875947068585e-05,-1.1648335419556233e-05,-1.1596778012989972e-05,7.281870184616679e-07,0.00011207116997924427,-0.00014000652457590856
p22,asr_rescue,-0.010169230683449992,-0.01524285715353868,-0.015267803656169976,-0.009232390626863762,-0.014966307175117488,-0.024923879947803318
