dataset,variant,seed,domain,f1
a1,abundance_only,0,capsule,0.3631123919308357
a1,abundance_only,0,cortex,0.5750452079566004
a1,abundance_only,0,follicle,0.5110132158590309
a1,abundance_only,0,hilum,0.16393442622950818
a1,abundance_only,0,medulla cords,0.4104651162790698
a1,abundance_only,0,medulla sinuses,0.4771784232365145
a1,abundance_only,0,medulla vessels,0.022321428571428572
a1,abundance_only,0,pericapsular adipose tissue,0.5511111111111111
a1,abundance_only,0,subcapsular sinus,0.062322946175637384
a1,abundance_only,0,trabeculae,0.029197080291970802
a1,abundance_only,1,capsule,0.3492957746478873
a1,abundance_only,1,cortex,0.5670009115770283
a1,abundance_only,1,follicle,0.43866171003717475
a1,abundance_only,1,hilum,0.052631578947368425
a1,abundance_only,1,medulla cords,0.45598194130925507
a1,abundance_only,1,medulla sinuses,0.5683789192795197
a1,abundance_only,1,medulla vessels,0.023668639053254437
a1,abundance_only,1,pericapsular adipose tissue,0.6058091286307054
a1,abundance_only,1,subcapsular sinus,0.06422018348623854
a1,abundance_only,1,trabeculae,0.0
a1,abundance_only,2,capsule,0.3482587064676617
a1,abundance_only,2,cortex,0.6301369863013699
a1,abundance_only,2,follicle,0.40714285714285714
a1,abundance_only,2,hilum,0.0037593984962406017
a1,abundance_only,2,medulla cords,0.41569589209074187
a1,abundance_only,2,medulla sinuses,0.48615800135043896
a1,abundance_only,2,medulla vessels,0.05818181818181818
a1,abundance_only,2,pericapsular adipose tissue,0.7760141093474427
a1,abundance_only,2,subcapsular sinus,0.2583732057416268
a1,abundance_only,2,trabeculae,0.0
a1,abundance_only,3,capsule,0.38775510204081626
a1,abundance_only,3,cortex,0.5466063348416289
a1,abundance_only,3,follicle,0.4497991967871485
a1,abundance_only,3,hilum,0.0
a1,abundance_only,3,medulla cords,0.4465799886941776
a1,abundance_only,3,medulla sinuses,0.3975346687211094
a1,abundance_only,3,medulla vessels,0.02631578947368421
a1,abundance_only,3,pericapsular adipose tissue,0.7612456747404843
a1,abundance_only,3,subcapsular sinus,0.07982261640798226
a1,abundance_only,3,trabeculae,0.050156739811912224
a1,abundance_only,4,capsule,0.32390745501285345
a1,abundance_only,4,cortex,0.6356073211314476
a1,abundance_only,4,follicle,0.42066420664206644
a1,abundance_only,4,hilum,0.03791469194312796
a1,abundance_only,4,medulla cords,0.4
a1,abundance_only,4,medulla sinuses,0.4361792054099747
a1,abundance_only,4,medulla vessels,0.05220883534136546
a1,abundance_only,4,pericapsular adipose tissue,0.5889830508474576
a1,abundance_only,4,subcapsular sinus,0.07985480943738657
a1,abundance_only,4,trabeculae,0.0
a1,asr_hvg,0,capsule,0.3631123919308357
a1,asr_hvg,0,cortex,0.5750452079566004
a1,asr_hvg,0,follicle,0.5110132158590309
a1,asr_hvg,0,hilum,0.16393442622950818
a1,asr_hvg,0,medulla cords,0.4104651162790698
a1,asr_hvg,0,medulla sinuses,0.476058292852186
a1,asr_hvg,0,medulla vessels,0.022421524663677132
a1,asr_hvg,0,pericapsular adipose tissue,0.5511111111111111
a1,asr_hvg,0,subcapsular sinus,0.06162464985994399
a1,asr_hvg,0,trabeculae,0.029304029304029304
a1,asr_hvg,1,capsule,0.35028248587570615
a1,asr_hvg,1,cortex,0.5656934306569343
a1,asr_hvg,1,follicle,0.43866171003717475
a1,asr_hvg,1,hilum,0.052631578947368425
a1,asr_hvg,1,medulla cords,0.4574647887323943
a1,asr_hvg,1,medulla sinuses,0.5699067909454061
a1,asr_hvg,1,medulla vessels,0.023880597014925377
a1,asr_hvg,1,pericapsular adipose tissue,0.6058091286307054
a1,asr_hvg,1,subcapsular sinus,0.06466512702078522
a1,asr_hvg,1,trabeculae,0.0
a1,asr_hvg,2,capsule,0.34146341463414637
a1,asr_hvg,2,cortex,0.6892210857592448
a1,asr_hvg,2,follicle,0.397212543554007
a1,asr_hvg,2,hilum,0.0379746835443038
a1,asr_hvg,2,medulla cords,0.5224032586558045
a1,asr_hvg,2,medulla sinuses,0.4710474951203643
a1,asr_hvg,2,medulla vessels,0.057971014492753624
a1,asr_hvg,2,pericapsular adipose tissue,0.5227272727272727
a1,asr_hvg,2,subcapsular sinus,0.24880382775119617
a1,asr_hvg,2,trabeculae,0.0
a1,asr_hvg,3,capsule,0.35672514619883045
a1,asr_hvg,3,cortex,0.5322283609576427
a1,asr_hvg,3,follicle,0.4913793103448275
a1,asr_hvg,3,hilum,0.09836065573770492
a1,asr_hvg,3,medulla cords,0.5328542094455851
a1,asr_hvg,3,medulla sinuses,0.6006600660066006
a1,asr_hvg,3,medulla vessels,0.024096385542168672
a1,asr_hvg,3,pericapsular adipose tissue,0.6511627906976745
a1,asr_hvg,3,subcapsular sinus,0.24203821656050953
a1,asr_hvg,3,trabeculae,0.048192771084337345
a1,asr_hvg,4,capsule,0.3315789473684211
a1,asr_hvg,4,cortex,0.6321934945788156
a1,asr_hvg,4,follicle,0.4113475177304964
a1,asr_hvg,4,hilum,0.037558685446009384
a1,asr_hvg,4,medulla cords,0.3682432432432433
a1,asr_hvg,4,medulla sinuses,0.41346906812842604
a1,asr_hvg,4,medulla vessels,0.0330188679245283
a1,asr_hvg,4,pericapsular adipose tissue,0.5889830508474576
a1,asr_hvg,4,subcapsular sinus,0.007707129094412331
a1,asr_hvg,4,trabeculae,0.0
a1,asr_rescue,0,capsule,0.3314606741573034
a1,asr_rescue,0,cortex,0.5957446808510638
a1,asr_rescue,0,follicle,0.35398230088495575
a1,asr_rescue,0,hilum,0.01098901098901099
a1,asr_rescue,0,medulla cords,0.46786632390745503
a1,asr_rescue,0,medulla sinuses,0.41445126107702795
a1,asr_rescue,0,medulla vessels,0.03160270880361173
a1,asr_rescue,0,pericapsular adipose tissue,0.5587044534412957
a1,asr_rescue,0,subcapsular sinus,0.13157894736842105
a1,asr_rescue,0,trabeculae,0.0
a1,asr_rescue,1,capsule,0.3695652173913043
a1,asr_rescue,1,cortex,0.5909090909090909
a1,asr_rescue,1,follicle,0.4444444444444445
a1,asr_rescue,1,hilum,0.060000000000000005
a1,asr_rescue,1,medulla cords,0.5430393198724762
a1,asr_rescue,1,medulla sinuses,0.47285714285714286
a1,asr_rescue,1,medulla vessels,0.07751937984496124
a1,asr_rescue,1,pericapsular adipose tissue,0.6
a1,asr_rescue,1,subcapsular sinus,0.19004524886877827
a1,asr_rescue,1,trabeculae,0.0
a1,asr_rescue,2,capsule,0.32360742705570295
a1,asr_rescue,2,cortex,0.6959937156323646
a1,asr_rescue,2,follicle,0.40559440559440557
a1,asr_rescue,2,hilum,0.03827751196172249
a1,asr_rescue,2,medulla cords,0.4228228228228228
a1,asr_rescue,2,medulla sinuses,0.4585987261146497
a1,asr_rescue,2,medulla vessels,0.12578616352201258
a1,asr_rescue,2,pericapsular adipose tissue,0.5987261146496815
a1,asr_rescue,2,subcapsular sinus,0.08988764044943821
a1,asr_rescue,2,trabeculae,0.0
a1,asr_rescue,3,capsule,0.34375
a1,asr_rescue,3,cortex,0.5781818181818182
a1,asr_rescue,3,follicle,0.4027303754266211
a1,asr_rescue,3,hilum,0.010443864229765013
a1,asr_rescue,3,medulla cords,0.44056338028169006
a1,asr_rescue,3,medulla sinuses,0.40749063670411984
a1,asr_rescue,3,medulla vessels,0.03498542274052478
a1,asr_rescue,3,pericapsular adipose tissue,0.6260162601626017
a1,asr_rescue,3,subcapsular sinus,0.14393939393939395
a1,asr_rescue,3,trabeculae,0.004246284501061571
a1,asr_rescue,4,capsule,0.28292682926829266
a1,asr_rescue,4,cortex,0.6481632653061223
a1,asr_rescue,4,follicle,0.31351351351351353
a1,asr_rescue,4,hilum,0.008583690987124463
a1,asr_rescue,4,medulla cords,0.3825581395348837
a1,asr_rescue,4,medulla sinuses,0.4759725400457666
a1,asr_rescue,4,medulla vessels,0.037037037037037035
a1,asr_rescue,4,pericapsular adipose tissue,0.6706349206349206
a1,asr_rescue,4,subcapsular sinus,0.21800947867298578
a1,asr_rescue,4,trabeculae,0.0
a1,corrected_unweighted,0,capsule,0.36206896551724144
a1,corrected_unweighted,0,cortex,0.5698827772768259
a1,corrected_unweighted,0,follicle,0.5066666666666667
a1,corrected_unweighted,0,hilum,0.15767634854771787
a1,corrected_unweighted,0,medulla cords,0.5589123867069485
a1,corrected_unweighted,0,medulla sinuses,0.4763271162123386
a1,corrected_unweighted,0,medulla vessels,0.024024024024024024
a1,corrected_unweighted,0,pericapsular adipose tissue,0.5511111111111111
a1,corrected_unweighted,0,subcapsular sinus,0.08536585365853659
a1,corrected_unweighted,0,trabeculae,0.0
a1,corrected_unweighted,1,capsule,0.35127478753541075
a1,corrected_unweighted,1,cortex,0.5617566331198537
a1,corrected_unweighted,1,follicle,0.4402985074626865
a1,corrected_unweighted,1,hilum,0.05235602094240837
a1,corrected_unweighted,1,medulla cords,0.4574647887323943
a1,corrected_unweighted,1,medulla sinuses,0.5680000000000001
a1,corrected_unweighted,1,medulla vessels,0.02373887240356083
a1,corrected_unweighted,1,pericapsular adipose tissue,0.6058091286307054
a1,corrected_unweighted,1,subcapsular sinus,0.0639269406392694
a1,corrected_unweighted,1,trabeculae,0.0
a1,corrected_unweighted,2,capsule,0.3713527851458886
a1,corrected_unweighted,2,cortex,0.7155963302752293
a1,corrected_unweighted,2,follicle,0.40559440559440557
a1,corrected_unweighted,2,hilum,0.008368200836820083
a1,corrected_unweighted,2,medulla cords,0.5161290322580646
a1,corrected_unweighted,2,medulla sinuses,0.42066957787481807
a1,corrected_unweighted,2,medulla vessels,0.06349206349206349
a1,corrected_unweighted,2,pericapsular adipose tissue,0.7736185383244206
a1,corrected_unweighted,2,subcapsular sinus,0.24761904761904766
a1,corrected_unweighted,2,trabeculae,0.0
a1,corrected_unweighted,3,capsule,0.3394255874673629
a1,corrected_unweighted,3,cortex,0.5148698884758364
a1,corrected_unweighted,3,follicle,0.44705882352941173
a1,corrected_unweighted,3,hilum,0.01078167115902965
a1,corrected_unweighted,3,medulla cords,0.4962162162162162
a1,corrected_unweighted,3,medulla sinuses,0.42943143812709034
a1,corrected_unweighted,3,medulla vessels,0.017429193899782133
a1,corrected_unweighted,3,pericapsular adipose tissue,0.6730038022813688
a1,corrected_unweighted,3,subcapsular sinus,0.3121387283236994
a1,corrected_unweighted,3,trabeculae,0.04210526315789474
a1,corrected_unweighted,4,capsule,0.3116883116883117
a1,corrected_unweighted,4,cortex,0.629232039636664
a1,corrected_unweighted,4,follicle,0.41726618705035967
a1,corrected_unweighted,4,hilum,0.03791469194312796
a1,corrected_unweighted,4,medulla cords,0.42978003384094754
a1,corrected_unweighted,4,medulla sinuses,0.421518054532056
a1,corrected_unweighted,4,medulla vessels,0.0358974358974359
a1,corrected_unweighted,4,pericapsular adipose tissue,0.5889830508474576
a1,corrected_unweighted,4,subcapsular sinus,0.07540394973070019
a1,corrected_unweighted,4,trabeculae,0.0
a1,legacy_exact,0,capsule,0.3652173913043478
a1,legacy_exact,0,cortex,0.5721973094170404
a1,legacy_exact,0,follicle,0.5112107623318386
a1,legacy_exact,0,hilum,0.16326530612244897
a1,legacy_exact,0,medulla cords,0.5556680161943319
a1,legacy_exact,0,medulla sinuses,0.484375
a1,legacy_exact,0,medulla vessels,0.02416918429003021
a1,legacy_exact,0,pericapsular adipose tissue,0.5523385300668152
a1,legacy_exact,0,subcapsular sinus,0.0906344410876133
a1,legacy_exact,0,trabeculae,0.0
a1,legacy_exact,1,capsule,0.36697247706422015
a1,legacy_exact,1,cortex,0.6462303231151615
a1,legacy_exact,1,follicle,0.42647058823529416
a1,legacy_exact,1,hilum,0.2097902097902098
a1,legacy_exact,1,medulla cords,0.46328852119958636
a1,legacy_exact,1,medulla sinuses,0.5172413793103448
a1,legacy_exact,1,medulla vessels,0.02375296912114014
a1,legacy_exact,1,pericapsular adipose tissue,0.6141078838174274
a1,legacy_exact,1,subcapsular sinus,0.16042780748663102
a1,legacy_exact,1,trabeculae,0.0
a1,legacy_exact,2,capsule,0.376657824933687
a1,legacy_exact,2,cortex,0.6982156710628393
a1,legacy_exact,2,follicle,0.40425531914893614
a1,legacy_exact,2,hilum,0.003738317757009346
a1,legacy_exact,2,medulla cords,0.515215110178384
a1,legacy_exact,2,medulla sinuses,0.46164978292329956
a1,legacy_exact,2,medulla vessels,0.06779661016949153
a1,legacy_exact,2,pericapsular adipose tissue,0.773049645390071
a1,legacy_exact,2,subcapsular sinus,0.2464454976303318
a1,legacy_exact,2,trabeculae,0.0
a1,legacy_exact,3,capsule,0.3508771929824562
a1,legacy_exact,3,cortex,0.5433212996389891
a1,legacy_exact,3,follicle,0.49565217391304345
a1,legacy_exact,3,hilum,0.08955223880597014
a1,legacy_exact,3,medulla cords,0.4992000000000001
a1,legacy_exact,3,medulla sinuses,0.4281879194630872
a1,legacy_exact,3,medulla vessels,0.0175054704595186
a1,legacy_exact,3,pericapsular adipose tissue,0.6141414141414142
a1,legacy_exact,3,subcapsular sinus,0.06349206349206349
a1,legacy_exact,3,trabeculae,0.0486322188449848
a1,legacy_exact,4,capsule,0.31770833333333337
a1,legacy_exact,4,cortex,0.669260700389105
a1,legacy_exact,4,follicle,0.4199288256227757
a1,legacy_exact,4,hilum,0.0967741935483871
a1,legacy_exact,4,medulla cords,0.45864661654135336
a1,legacy_exact,4,medulla sinuses,0.4259927797833934
a1,legacy_exact,4,medulla vessels,0.027722772277227723
a1,legacy_exact,4,pericapsular adipose tissue,0.5927505330490405
a1,legacy_exact,4,subcapsular sinus,0.08170515097690942
a1,legacy_exact,4,trabeculae,0.0
p22,abundance_only,0,ACB,0.6013215859030837
p22,abundance_only,0,CP,0.8360145303580696
p22,abundance_only,0,L1-L3,0.6810687890847072
p22,abundance_only,0,L4,0.4284221525600836
p22,abundance_only,0,L5,0.0
p22,abundance_only,0,L6a/b,0.0
p22,abundance_only,0,VL,0.6205128205128205
p22,abundance_only,0,ccg/aco,0.7636621717530163
p22,abundance_only,0,others,0.4774170783345095
p22,abundance_only,1,ACB,0.6077097505668935
p22,abundance_only,1,CP,0.8313378448724623
p22,abundance_only,1,L1-L3,0.7002832861189803
p22,abundance_only,1,L4,0.4518743667679837
p22,abundance_only,1,L5,0.35801630434782605
p22,abundance_only,1,L6a/b,0.6508717031738938
p22,abundance_only,1,VL,0.0
p22,abundance_only,1,ccg/aco,0.7937632884479093
p22,abundance_only,1,others,0.366891891891892
p22,abundance_only,2,ACB,0.6121313299944351
p22,abundance_only,2,CP,0.8374512353706112
p22,abundance_only,2,L1-L3,0.6890130353817505
p22,abundance_only,2,L4,0.4720930232558139
p22,abundance_only,2,L5,0.0015503875968992248
p22,abundance_only,2,L6a/b,0.6799444187123668
p22,abundance_only,2,VL,0.08538163001293661
p22,abundance_only,2,ccg/aco,0.7944606413994169
p22,abundance_only,2,others,0.5656350053361793
p22,abundance_only,3,ACB,0.6024808033077377
p22,abundance_only,3,CP,0.8353331631350523
